tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 70.000,,Engenheiro Paulo de Frontin,RJ,698m²,IVONE MIGUEZ CORRETORA DE IMÓVEIS,05/09/2023,https://rj.olx.com.br/serra-angra-dos-reis-e-regiao/terrenos/terreno-em-lago-azul--engenheiro-paulo-de-frontin-1230303843,06/Oct/2023,06:34:44
Terrenos,,R$ 65.000,,Engenheiro Paulo de Frontin,RJ,280m²,Bruno 28,09/09/2023,https://rj.olx.com.br/serra-angra-dos-reis-e-regiao/terrenos/terreno-vendo-ou-troco-por-carro-no-valor-ou-de-menor-valor-com-volta-em-dinheiro-1231788443,06/Oct/2023,06:34:44
Terrenos,,R$ 150.000,,Engenheiro Paulo de Frontin,RJ,3640m²,IMÓVEIS VILELA,19/03/2023,https://rj.olx.com.br/serra-angra-dos-reis-e-regiao/terrenos/terreno-em-morro-azul--engenheiro-paulo-de-frontin-1161362352,06/Oct/2023,06:34:45
Venda - casa em rua pública,3,R$ 260.000,,Engenheiro Paulo de Frontin,RJ,150m²,IVONE MIGUEZ CORRETORA DE IMÓVEIS,10/04/2023,https://rj.olx.com.br/serra-angra-dos-reis-e-regiao/imoveis/casa-em-grama--engenheiro-paulo-de-frontin-1005574189,06/Oct/2023,06:34:45
Venda - casa em rua pública,2,R$ 300.000,,Engenheiro Paulo de Frontin,RJ,684m²,HCM IMÓVEIS,12/04/2023,https://rj.olx.com.br/serra-angra-dos-reis-e-regiao/imoveis/casa-linear-localizada-em-sacra-familia-1010020457,06/Oct/2023,06:34:45
Venda - casa em rua pública,3,R$ 300.000,,Engenheiro Paulo de Frontin,RJ,80m²,Paulo S.,11/09/2023,https://rj.olx.com.br/serra-angra-dos-reis-e-regiao/imoveis/vende-se-casa-3-quartos-3-banheiros-1232616839,06/Oct/2023,06:34:45
Venda - casa em rua pública,4,R$ 290.000,,Engenheiro Paulo de Frontin,RJ,600m²,HCM IMÓVEIS,14/08/2023,https://rj.olx.com.br/serra-angra-dos-reis-e-regiao/imoveis/casa-com-4-quartos-1-suite-600m-de-terreno-totalmente-plano-1221985892,06/Oct/2023,06:34:45
Venda - casa em rua pública,2,R$ 130.000,,Engenheiro Paulo de Frontin,RJ,,Chocolate,22/08/2023,https://rj.olx.com.br/serra-angra-dos-reis-e-regiao/imoveis/vende-se-uma-casa-no-jardim-novo-rodeio-cidade-engenheiro-rj-1224928397,06/Oct/2023,06:34:45
Venda - casa em rua pública,3,R$ 60.000,Sacra Família do Tinguá,Engenheiro Paulo de Frontin,RJ,200m²,Patrick Oliveira,21/09/2023,https://rj.olx.com.br/serra-angra-dos-reis-e-regiao/imoveis/vendo-ou-troco-casa-1236193036,06/Oct/2023,06:34:45
Venda - casa em rua pública,4,R$ 340.000,,Engenheiro Paulo de Frontin,RJ,188m²,NEVES IMÓVEIS,13/04/2023,https://rj.olx.com.br/serra-angra-dos-reis-e-regiao/imoveis/vendo-casa-no-bairro-morro-azul-em-engenheiro-paulo-de-frontin-rj-997734100,06/Oct/2023,06:34:45
Venda - casa em rua pública,4,R$ 650.000,,Engenheiro Paulo de Frontin,RJ,19140m²,Sylvia Regina Valente Soares,08/07/2023,https://rj.olx.com.br/serra-angra-dos-reis-e-regiao/imoveis/casa-para-venda-em-sacra-familia-do-tingua-engenheiro-paulo-de-frontin-rj-1207924262,06/Oct/2023,06:34:45
Terrenos,,R$ 70.000,,Engenheiro Paulo de Frontin,RJ,712m²,IVONE MIGUEZ CORRETORA DE IMÓVEIS,18/03/2023,https://rj.olx.com.br/serra-angra-dos-reis-e-regiao/terrenos/terreno-em-jardim-novo-rodeio-engenheiro-paulo-de-frontin-rj-1127046018,06/Oct/2023,06:34:45
Venda - casa em rua pública,3,R$ 1.390.000,,Engenheiro Paulo de Frontin,RJ,250m²,Alsor Perfis Especiais,01/10/2023,https://rj.olx.com.br/serra-angra-dos-reis-e-regiao/imoveis/casa-1239477821,06/Oct/2023,06:34:45
Terrenos,,R$ 7.000.000,Centro,Sacra Família do Tinguá,RJ,100m²,SILVÉRIO IMÓVEIS,25/02/2023,https://rj.olx.com.br/serra-angra-dos-reis-e-regiao/terrenos/terreno-nova-iguacu-sacra-familia-de-tingua-1037147717,06/Oct/2023,06:34:45
Terrenos,,R$ 50.000,,Engenheiro Paulo de Frontin,RJ,595m²,João S,13/08/2023,https://rj.olx.com.br/serra-angra-dos-reis-e-regiao/terrenos/terreno-em-sacra-familia-do-tingua-1221756752,06/Oct/2023,06:34:45
Venda - casa em rua pública,3,R$ 1.500.000,,Engenheiro Paulo de Frontin,RJ,555m²,SILVÉRIO IMÓVEIS,05/09/2023,https://rj.olx.com.br/serra-angra-dos-reis-e-regiao/imoveis/casa-paulo-de-fronteim-centro-1230263847,06/Oct/2023,06:34:45
Venda - casa em rua pública,3,R$ 300.000,,Engenheiro Paulo de Frontin,RJ,90m²,IVONE MIGUEZ CORRETORA DE IMÓVEIS,04/04/2023,https://rj.olx.com.br/serra-angra-dos-reis-e-regiao/imoveis/casa-em-sacra-familia-do-tingua--engenheiro-paulo-de-frontin-1090375377,06/Oct/2023,06:34:45
Venda - casa em rua pública,5 ou mais,R$ 550.000,Morro Azul do Tinguá,Engenheiro Paulo de Frontin,RJ,1220m²,IVONE MIGUEZ CORRETORA DE IMÓVEIS,05/04/2023,https://rj.olx.com.br/serra-angra-dos-reis-e-regiao/imoveis/casa-em-morro-azul-do-tingua--engenheiro-paulo-de-frontin-1005573366,06/Oct/2023,06:34:45
Venda - casa em rua pública,2,R$ 15.000.000,,Engenheiro Paulo de Frontin,RJ,100m²,Mendonça,15/08/2023,https://rj.olx.com.br/serra-angra-dos-reis-e-regiao/imoveis/casa-em-palmeiras-da-serra-1222305491,06/Oct/2023,06:34:45
Venda - casa em rua pública,3,R$ 320.000,,Engenheiro Paulo de Frontin,RJ,200m²,Classificados,27/09/2023,https://rj.olx.com.br/serra-angra-dos-reis-e-regiao/imoveis/casa-linear-c-3-quartos-pertinho-de-miguel-pereira-1238173317,06/Oct/2023,06:34:45
Venda - casa em rua pública,1,R$ 130.000,,Engenheiro Paulo de Frontin,RJ,,vacomchaves,25/08/2023,https://rj.olx.com.br/serra-angra-dos-reis-e-regiao/imoveis/casa-aconchegante-com-quarto-sala-de-estar-varanda-garagem-em-eng-paulo-de-frontin-1226562913,06/Oct/2023,06:34:45
Venda - casa em rua pública,2,R$ 300.000,Morro Azul do Tinguá,Engenheiro Paulo de Frontin,RJ,80m²,IVONE MIGUEZ CORRETORA DE IMÓVEIS,20/07/2023,https://rj.olx.com.br/serra-angra-dos-reis-e-regiao/imoveis/casa-em-morro-azul-do-tingua--engenheiro-paulo-de-frontin-1212802350,06/Oct/2023,06:34:46
