tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 350.000,,Mangaratiba,RJ,250m²,Vitor Marques,03/10/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/terrenos/vendo-terreno-em-cima-do-mar-no-centro-de-mangaratiba-1239841143,06/Oct/2023,08:19:04
Terrenos,,R$ 13.000.000,,Mangaratiba,RJ,85000m²,CANAÃ IMÓVEIS DE LUXO,02/10/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/terrenos/ilha-paradisiaca-a-venda-na-costa-verde-do-rio-1239612046,06/Oct/2023,08:19:04
Terrenos,,R$ 630.000,,Mangaratiba,RJ,435m²,Vitor Marques,05/10/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/terrenos/vendo-terreno-em-frente-ao-mar-condominio-guity-mangaratiba-1240566067,06/Oct/2023,08:19:04
Terrenos,,R$ 130.000,,Mangaratiba,RJ,,Josy,28/09/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/terrenos/terreno-para-venda-1238530723,06/Oct/2023,08:19:04
Terrenos,,R$ 32.000,,Mangaratiba,RJ,,Lucilene,03/10/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/terrenos/terreno-em-conceicao-de-jacarei-1239890946,06/Oct/2023,08:19:04
Terrenos,,R$ 75.000,,Mangaratiba,RJ,490m²,benhurvarelamangaratiba,05/10/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/terrenos/vendo-excelente-excelente-terreno-na-costa-verde-fazenda-ingaiba-1238656733,06/Oct/2023,08:19:04
Terrenos,,R$ 280.000,,Mangaratiba,RJ,420m²,Imobiliária Otec,04/10/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/terrenos/otimo-terreno-665321694,06/Oct/2023,08:19:04
Terrenos,,R$ 160.000,,Mangaratiba,RJ,454m²,Carmen Imoveis RJ,25/09/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/terrenos/carmen-imoveis-vende-terreno-em-condominio-1214899044,06/Oct/2023,08:19:04
Terrenos,,R$ 650.000,,Mangaratiba,RJ,432m²,RIO UP IMÓVEIS,01/10/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/terrenos/terreno-432m-reserva-do-sahy-1239404621,06/Oct/2023,08:19:04
Terrenos,,R$ 140.000,,Mangaratiba,RJ,960m²,Jr.,02/10/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/terrenos/terreno-lote-condominio-960m-1239717617,06/Oct/2023,08:19:04
Terrenos,,R$ 300.000,,Mangaratiba,RJ,870m²,Vitor Marques,22/09/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/terrenos/vendo-terreno-condominio-pier-51-itaoca-1236631093,06/Oct/2023,08:19:04
