tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 1.200.000,Juscelino,Mesquita,RJ,900m²,joaomarcos.huguenin.tavares,26/09/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/terrenos/oportunidade-unica-para-investidores-terreno-de-900m-para-fins-comerciais-em-mesquita-1237630751,06/Oct/2023,12:26:13
Terrenos,,R$ 0,Cabuis,Nilópolis,RJ,600m²,luciana da silva,28/09/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/terrenos/imovel-a-venda-1238348258,06/Oct/2023,12:26:13
Terrenos,,R$ 60.000,Cosmorama,Mesquita,RJ,371m²,arbbastos,28/09/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/terrenos/lote-royal-ville-pecem-ii-ce-1238323995,06/Oct/2023,12:26:13
Terrenos,,R$ 3.000,Centro,Nilópolis,RJ,500m²,eliaugust2017,19/09/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/terrenos/aluguel-de-terreno-com-500-m2-1235549058,06/Oct/2023,12:26:13
Terrenos,,R$ 40.000,Centro,Mesquita,RJ,195m²,Ryan Mello,25/09/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/terrenos/vendo-terreno-em-unamar-cabo-frio-condominio-bairro-gravata-2-1237513255,06/Oct/2023,12:26:13
Terrenos,,R$ 700.000,Centro,Nilópolis,RJ,50m²,Imobiliária Otec,28/08/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/terrenos/venda-de-terreno-em-nilopolis-987141969,06/Oct/2023,12:26:13
Terrenos,,R$ 12.000,Nova Cidade,Nilópolis,RJ,136m²,claudio27machado,26/09/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/terrenos/terreno-em-unamar-cabo-frio-1237800121,06/Oct/2023,12:26:13
Terrenos,,R$ 600.000,Centro,Nilópolis,RJ,230m²,Dr. David Pecis,05/09/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/terrenos/vendo-terreno-com-uma-casa-e-uma-kitnet-no-centro-de-nilopolis-1230580321,06/Oct/2023,12:26:13
Terrenos,,R$ 2.500,Centro,Nilópolis,RJ,500m²,Claudio Pinto Assessoria Jurídica,11/09/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/terrenos/terreno-centro-de-nilopolis-1084733876,06/Oct/2023,12:26:13
Terrenos,,R$ 1.500.000,Centro,Nilópolis,RJ,1750m²,NIS - NETOS IMOVEIS E SEGUROS,14/09/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/terrenos/terreno-para-venda-em-nilopolis-centro-1233879941,06/Oct/2023,12:26:13
