tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 35.000.000,,Paraty,RJ,,Brasil Corretores Associados,29/09/2023,https://rj.olx.com.br/serra-angra-dos-reis-e-regiao/terrenos/propriedade-a-beira-mar-com-area-total-de-653-000m-e-praia-de-196m-de-extensao-1238806268,06/Oct/2023,06:19:17
Terrenos,,R$ 330.000,,Paraty,RJ,1100m²,Raquel Novaes,30/09/2023,https://rj.olx.com.br/serra-angra-dos-reis-e-regiao/terrenos/terreno-em-paraty-com-cachoeira-1226106249,06/Oct/2023,06:19:17
Terrenos,,R$ 100.000,,Paraty,RJ,0m²,tay,19/09/2023,https://rj.olx.com.br/serra-angra-dos-reis-e-regiao/terrenos/vendo-terreno-em-paraty-1235247123,06/Oct/2023,06:19:17
Terrenos,,R$ 20.000,,Parati,RJ,75m²,Marina,14/09/2023,https://rj.olx.com.br/serra-angra-dos-reis-e-regiao/terrenos/vendo-terreno-em-paraty-1233847240,06/Oct/2023,06:19:17
Terrenos,,R$ 43.000,,Paraty,RJ,150m²,Leandro,21/09/2023,https://rj.olx.com.br/serra-angra-dos-reis-e-regiao/terrenos/terreno-na-prainha-de-mamucaba-1235984405,06/Oct/2023,06:19:17
Terrenos,,R$ 120.000,,Paraty,RJ,900m²,adzanett,21/09/2023,https://rj.olx.com.br/serra-angra-dos-reis-e-regiao/terrenos/terreno-com-cachoeira-1236081208,06/Oct/2023,06:19:18
Terrenos,,R$ 65.000,,Paraty,RJ,1433m²,Fabiana Maia,26/09/2023,https://rj.olx.com.br/serra-angra-dos-reis-e-regiao/terrenos/terreno-em-sao-roque-paraty-rj-1237716760,06/Oct/2023,06:19:18
Terrenos,,R$ 500.000,,Paraty,RJ,500m²,Hiago,26/09/2023,https://rj.olx.com.br/serra-angra-dos-reis-e-regiao/terrenos/terrenos-no-cabore-1237531661,06/Oct/2023,06:19:18
Terrenos,,R$ 370.000,,Paraty,RJ,,Davi Guedes,15/09/2023,https://rj.olx.com.br/serra-angra-dos-reis-e-regiao/terrenos/terreno-bairro-jabaquara-360m2--370-mil-1233992372,06/Oct/2023,06:19:18
Terrenos,,R$ 299.000,,Paraty,RJ,8300m²,DESTAC ANGRA IMÓVEIS,28/09/2023,https://rj.olx.com.br/serra-angra-dos-reis-e-regiao/terrenos/lote-terreno-para-venda-com-8300-metros-quadrados-em-parati-mirim-paraty-rj-1238492235,06/Oct/2023,06:19:18
Terrenos,,R$ 100.000,,Paraty,RJ,600m²,Hugo Bulhões,22/09/2023,https://rj.olx.com.br/serra-angra-dos-reis-e-regiao/terrenos/terrenos-no-portao-vermelho-1236551165,06/Oct/2023,06:19:18
Terrenos,,R$ 400.000,,Paraty,RJ,900m²,Lima,18/09/2023,https://rj.olx.com.br/serra-angra-dos-reis-e-regiao/terrenos/terreno-a-venda-paraty-grauna-1219446817,06/Oct/2023,06:19:18
Terrenos,,R$ 65.000,,Paraty,RJ,,Erick,07/09/2023,https://rj.olx.com.br/serra-angra-dos-reis-e-regiao/terrenos/terreno-em-tarituba-paraty-rj-1231177233,06/Oct/2023,06:19:18
Terrenos,,R$ 600.000,,Paraty,RJ,600m²,Douglas L. Andrade,24/09/2023,https://rj.olx.com.br/serra-angra-dos-reis-e-regiao/terrenos/terreno-para-construcao-e-ou-investimento-1237106971,06/Oct/2023,06:19:18
Terrenos,,R$ 20.000,,Paraty,RJ,,Debora Couto,20/09/2023,https://rj.olx.com.br/serra-angra-dos-reis-e-regiao/terrenos/lote-no-parque-do-sol-nascente-paraty-1235931792,06/Oct/2023,06:19:18
Terrenos,,R$ 110.000,Tarituba,Paraty,RJ,100m²,Lincoln,20/09/2023,https://rj.olx.com.br/serra-angra-dos-reis-e-regiao/terrenos/imovel-a-venda-em-paraty-1225966231,06/Oct/2023,06:19:18
Terrenos,,R$ 55.000,,Paraty,RJ,85m²,MARCOS CORRETOR,24/09/2023,https://rj.olx.com.br/serra-angra-dos-reis-e-regiao/terrenos/vendo-terreno-na-prainha-de-mambucaba-paraty-rj-1237203542,06/Oct/2023,06:19:18
Terrenos,,R$ 25.000,,Paraty,RJ,100m²,Dias,08/09/2023,https://rj.olx.com.br/serra-angra-dos-reis-e-regiao/terrenos/terreno-100m2-parque-sol-nascente-pereque-1231618264,06/Oct/2023,06:19:18
Terrenos,,R$ 1.600.000,,Paraty,RJ,250m²,CARNEIRO LYRA IMOVEIS S/C LTDA ME,16/09/2023,https://rj.olx.com.br/serra-angra-dos-reis-e-regiao/terrenos/area-comercial-a-venda-250-m-por-r-1-600-000-centro-paraty-rj-1234421538,06/Oct/2023,06:19:18
Terrenos,,R$ 390.000,,Paraty,RJ,10m²,ARBO IMÓVEIS,28/09/2023,https://rj.olx.com.br/serra-angra-dos-reis-e-regiao/terrenos/terreno-a-venda-villa-princesa-isabel-paraty-rj-1238292047,06/Oct/2023,06:19:18
Terrenos,,R$ 235.000,,Paraty,RJ,304m²,Susana lima,16/09/2023,https://rj.olx.com.br/serra-angra-dos-reis-e-regiao/terrenos/lote-terreno-para-venda-possui-304-metros-quadrados-em-portal-de-paraty-paraty-rj-1234519698,06/Oct/2023,06:19:18
Terrenos,,R$ 60.000,,Paraty,RJ,500m²,Renan,21/09/2023,https://rj.olx.com.br/serra-angra-dos-reis-e-regiao/terrenos/terreno-em-paraty-proximo-da-cachoeira-1236099141,06/Oct/2023,06:19:18
Terrenos,,R$ 120.000,,Paraty,RJ,600m²,Valquiria,29/09/2023,https://rj.olx.com.br/serra-angra-dos-reis-e-regiao/terrenos/vendo-terreno-em-barra-grande-1238855360,06/Oct/2023,06:19:18
Terrenos,,R$ 298.000,,Paraty,RJ,8330m²,DESTAC ANGRA IMÓVEIS,27/09/2023,https://rj.olx.com.br/serra-angra-dos-reis-e-regiao/terrenos/lote-em-paraty-a-6-km-do-centro-da-cidade-e-a-750-metros-da-rodovia-8-330-m2-1237946547,06/Oct/2023,06:19:18
Terrenos,,R$ 133.000,,Paraty,RJ,600m²,Conde,18/09/2023,https://rj.olx.com.br/serra-angra-dos-reis-e-regiao/terrenos/vende-se-dois-terrenos-com-area-total-de-600-m-1081368829,06/Oct/2023,06:19:19
Terrenos,,R$ 280.000,,Paraty,RJ,,Anderson Marcelino - Corretor de Imóveis,25/09/2023,https://rj.olx.com.br/serra-angra-dos-reis-e-regiao/terrenos/excelente-terreno-em-paraty-proximo-cachoeira-1190701443,06/Oct/2023,06:19:19
