tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 33.000.000,Caju,Rio de Janeiro,RJ,7280m²,Croma Assessoria e Negócios Imobiliários Ltda,02/10/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/terrenos/area-industrial-rio-de-janeiro-1239546241,06/Oct/2023,10:58:36
Outros,,R$ 79.999,São Cristóvão,Rio de Janeiro,RJ,,Arthur J.,03/10/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/terrenos/jazigo-no-cemiterio-do-caju-preco-negociavel-1240099571,06/Oct/2023,10:58:37
Outros,,R$ 85.000,Caju,Rio de Janeiro,RJ,,Paulo,19/09/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/terrenos/jazigo-perpetuo-no-cemiterio-da-penitencia-rio-de-janeiro-rj-caju-1235564057,06/Oct/2023,10:58:37
Terrenos,,R$ 70.000,Caju,Rio de Janeiro,RJ,3m²,Silvinha,19/09/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/terrenos/jazigo-perpetuo-3m-cemiterio-sao-francisco-xavier-1233401636,06/Oct/2023,10:58:37
Outros,,R$ 70.000,São Cristóvão,Rio de Janeiro,RJ,,Frederico Freiman,05/10/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/terrenos/jazigo-perpetuo-cemiterio-sao-francisco-xavier-caju-1240730853,06/Oct/2023,10:58:37
Terrenos,,R$ 5.000.000,São Cristóvão,Rio de Janeiro,RJ,1500m²,NOVA ÉPOCA IMÓVEIS,12/09/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/terrenos/sao-cristovao-terreno-1-quarto-1232747365,06/Oct/2023,10:58:37
Terrenos,,R$ 33.000.000,Caju,Rio de Janeiro,RJ,7280m²,Croma Assessoria e Negócios Imobiliários Ltda,14/09/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/terrenos/area-industrial-rio-de-janeiro-1233608646,06/Oct/2023,10:58:37
Outros,,R$ 65.000,São Cristóvão,Rio de Janeiro,RJ,3m²,Fernando,05/10/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/terrenos/jazigo-perpetuo-cemiterio-sao-francisco-xavier-do-caju-q38-1200554113,06/Oct/2023,10:58:37
Outros,,R$ 60.000,São Cristóvão,Rio de Janeiro,RJ,6m²,Moure,29/08/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/terrenos/jazigo-perpetuo-1223348088,06/Oct/2023,10:58:37
Outros,,R$ 17.900,São Cristóvão,Rio de Janeiro,RJ,3m²,OLIVEIRA,27/09/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/terrenos/ultima-chance-jazigo-perpetuo-caju-cemiterio-sao-francisco-xavier-sepultura-carneiro-963488121,06/Oct/2023,10:58:37
Outros,,R$ 50.000,Caju,Rio de Janeiro,RJ,3m²,labrunie,28/09/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/terrenos/jazigo-cemiterio-caju-jazigo-perpetuo-no-cemiterio-sao-francisco-xavier-caju-1169300011,06/Oct/2023,10:58:37
Outros,,R$ 90.000,São Cristóvão,Rio de Janeiro,RJ,3m²,dornellas.Sergio,03/10/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/terrenos/jazigo-perpetuo-caju-quadra-43-1239958466,06/Oct/2023,10:58:37
Terrenos,,R$ 32.000,São Cristóvão,Rio de Janeiro,RJ,3m²,Yeda K L,14/09/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/terrenos/vendo-jazigo-no-cemiterio-sao-francisco-xavier-1233481908,06/Oct/2023,10:58:37
Terrenos,,R$ 6.300.000,São Cristóvão,Rio de Janeiro,RJ,3566m²,Brasil Brokers Consultoria Imobiliária - Tijuca,23/09/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/terrenos/rio-de-janeiro-terreno-padrao-sao-cristovao-1236990055,06/Oct/2023,10:58:37
Terrenos,,R$ 50.000,São Cristóvão,Rio de Janeiro,RJ,,Aline,25/09/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/terrenos/venda-de-jazigo-perpetuo-no-rj-cemiterio-sao-francisco-xavier-1235360827,06/Oct/2023,10:58:37
Terrenos,,R$ 82.000,São Cristóvão,Rio de Janeiro,RJ,190m²,Eliane,25/09/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/terrenos/terreno-em-xerem-vila-do-sase-1237343494,06/Oct/2023,10:58:37
Outros,,R$ 70.000,Caju,Rio de Janeiro,RJ,3m²,Élio,21/09/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/terrenos/vendo-jazigo-perpetuo-localizado-no-cemiterio-sao-francisco-xavier-cemiterio-do-caju-1236280233,06/Oct/2023,10:58:37
Outros,,R$ 29.000,Caju,Rio de Janeiro,RJ,2m²,joao,04/10/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/terrenos/jazigo-perpetuo-sao-francisco-xavier-caju-1240335412,06/Oct/2023,10:58:37
Terrenos,,R$ 49.000,São Cristóvão,Rio de Janeiro,RJ,2m²,Anna,18/09/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/terrenos/jazigo-1235089292,06/Oct/2023,10:58:37
Outros,,R$ 87.000,Caju,Rio de Janeiro,RJ,,Sheila Alves,26/09/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/terrenos/jazigo-perpetuo-cemiterio-sao-francisco-xavier-bairro-do-caju-quadra-37-1237819250,06/Oct/2023,10:58:37
Outros,,R$ 70.000,São Cristóvão,Rio de Janeiro,RJ,,Daniella,07/09/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/terrenos/jazigo-luxo-3-niveis-cemiterio-do-caju-1231082875,06/Oct/2023,10:58:37
Terrenos,,R$ 2.300.000,São Cristóvão,Rio de Janeiro,RJ,920m²,LOPES NOVA TIJUCA,13/09/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/terrenos/terreno-a-venda-em-sao-cristovao-rj-1233428155,06/Oct/2023,10:58:37
Terrenos,,R$ 5.500,Caju,Rio de Janeiro,RJ,,rcristal,13/09/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/terrenos/jazigo-perpetuo-cemiterio-sao-francisco-xavier-1190696410,06/Oct/2023,10:58:37
Terrenos,,R$ 35.000,São Cristóvão,Rio de Janeiro,RJ,466m²,Vini,24/09/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/terrenos/terreno-de-frente-para-via-lagos-iguaba-grande-1237023894,06/Oct/2023,10:58:37
Terrenos,,R$ 40.000,Caju,Rio de Janeiro,RJ,3m²,Carlos,31/08/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/terrenos/vendo-jazigo-perpetuo-no-cemiterio-sao-francisco-xavier-caju-rio-de-janeiro-1228803892,06/Oct/2023,10:58:37
Outros,,R$ 35.000,Caju,Rio de Janeiro,RJ,3m²,Gabriel Guimarães,03/09/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/terrenos/sepultura-jazigo-cemiterio-s-francisco-xavier-otima-localizacao-1115973274,06/Oct/2023,10:58:37
