tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 56,Raul Veiga,São Gonçalo,RJ,500m²,Nathália Pimentel,06/10/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/terrenos/terreno-em-marica-com-vista-pra-lagoa-1240810395,06/Oct/2023,07:27:08
Terrenos,,R$ 300.000,Jardim Alcântara,São Gonçalo,RJ,2000m²,Fator Assessoria Imobiliária,04/10/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/terrenos/fator-1240-lote-imperdivel-pertinho-estrada-cajueiros-inoa-e-na-fator-659338570,06/Oct/2023,07:27:08
Terrenos,,R$ 2.500.000,Raul Veiga,São Gonçalo,RJ,540m²,ALLIANCA NITERÓI SOLUÇÕES IMOBILIÁRIAS,02/10/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/terrenos/terreno-a-venda-540-m-por-r-2-500-000-00-raul-veiga-sao-goncalo-rj-1239548355,06/Oct/2023,07:27:08
Terrenos,,R$ 40.000,Guaxindiba,São Gonçalo,RJ,360m²,Lucas,21/09/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/terrenos/terreno-guapiacu-1236306113,06/Oct/2023,07:27:08
Terrenos,,R$ 45.000,Bom Retiro,São Gonçalo,RJ,480m²,Fabiano,06/09/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/terrenos/terreno-plano-sao-goncalo-com-escritura-rgi-1150193112,06/Oct/2023,07:27:08
Terrenos,,R$ 190.000,Ipiíba,São Gonçalo,RJ,1720m²,SPIN Jardim Icaraí,01/09/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/terrenos/terreno-a-venda-1720-m-por-r-190-000-00-ipiiba-sao-goncalo-rj-1228870756,06/Oct/2023,07:27:08
Terrenos,,R$ 4.000,Vista Alegre,São Gonçalo,RJ,2500m²,Leczz,10/09/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/terrenos/lote-terreno-2-500-m2-100-plano-sinal-parcel-em-vista-alegre-sao-goncalo-rj-1232250336,06/Oct/2023,07:27:08
Terrenos,,R$ 55.000,Ipiíba,São Gonçalo,RJ,5000m²,ALLIANCA NITERÓI SOLUÇÕES IMOBILIÁRIAS,02/10/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/terrenos/terreno-a-venda-5000-m-por-r-55-000-00-rio-do-ouro-sao-goncalo-rj-1239548217,06/Oct/2023,07:27:08
Terrenos,,R$ 340.000,Alcântara,São Gonçalo,RJ,130m²,L4S,24/09/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/terrenos/lote-terreno-para-venda-em-alcantara-de-130-00m-1237044320,06/Oct/2023,07:27:08
Terrenos,,R$ 60.000,Monjolos,São Gonçalo,RJ,1650m²,Sandro Gomes,05/10/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/terrenos/vendo-terreno-barato-em-monjolos-sg-1240677124,06/Oct/2023,07:27:08
Terrenos,,R$ 60.000,Raul Veiga,São Gonçalo,RJ,450m²,alexandre,05/10/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/terrenos/terreno-em-araruama-1240467170,06/Oct/2023,07:27:08
Terrenos,,R$ 55.000,Marambaia,São Gonçalo,RJ,,Erialdo dos Santos Ramos,12/09/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/terrenos/vendo-terreno-murado-na-rua-santa-catarina-qd-35-lt-25-vila-brasil-manilha-itaborai-1232808433,06/Oct/2023,07:27:08
Terrenos,,null,Marambaia,São Gonçalo,RJ,,Tanara Marques,11/09/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/terrenos/vendo-terreno-no-alcantara-sao-goncalo-informacoes-pelo-zap-1232456551,06/Oct/2023,07:27:08
Terrenos,,R$ 120.000,Guaxindiba,São Gonçalo,RJ,600m²,Brasil Brokers Loja Tavares de Macedo,05/09/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/terrenos/sao-goncalo-terreno-padrao-guaxindiba-1230315584,06/Oct/2023,07:27:08
Terrenos,,R$ 226.600,Ipiíba,São Gonçalo,RJ,2060m²,SPIN Jardim Icaraí,01/09/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/terrenos/terreno-a-venda-2060-m-por-r-226-600-00-ipiiba-sao-goncalo-rj-1228870771,06/Oct/2023,07:27:08
Terrenos,,R$ 82.000,Santa Isabel,São Gonçalo,RJ,525m²,Nilton Imóveis,05/10/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/terrenos/terreno-a-venda-no-laranjal-sg-1190413045,06/Oct/2023,07:27:08
Terrenos,,R$ 50.000,Bom Retiro,São Gonçalo,RJ,540m²,Roberto,16/09/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/terrenos/terreno-no-jardim-bom-retiro-sao-goncalo-1234659612,06/Oct/2023,07:27:08
Terrenos,,R$ 80.000,Guaxindiba,São Gonçalo,RJ,,TORRES ADMINISTRACAO DE IMOVEIS LTDA - ME,01/09/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/terrenos/terreno-a-venda-no-jardim-bom-retiro-1229201885,06/Oct/2023,07:27:08
Terrenos,,R$ 75.000,Marambaia,São Gonçalo,RJ,400m²,REAL ESTATE VENDAS,26/09/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/terrenos/lote-terreno-para-venda-possui-400-metros-quadrados-em-marambaia-sao-goncalo-rj-1237833327,06/Oct/2023,07:27:08
Terrenos,,R$ 120.000,Guaxindiba,São Gonçalo,RJ,600m²,Brasil Brokers Loja Tavares de Macedo,05/09/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/terrenos/sao-goncalo-terreno-padrao-guaxindiba-1230316082,06/Oct/2023,07:27:08
Terrenos,,R$ 35.000,Ipiíba,São Gonçalo,RJ,308m²,pliniomotta4,04/10/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/terrenos/terreno-em-ipiiba-308m-1240388749,06/Oct/2023,07:27:08
Terrenos,,R$ 150.000,Vista Alegre,São Gonçalo,RJ,704m²,Jordelio Imóveis,22/09/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/terrenos/lote-terreno-para-venda-com-704-metros-quadrados-em-vista-alegre-sao-goncalo-rj-1236539032,06/Oct/2023,07:27:08
Terrenos,,R$ 60.000,Guaxindiba,São Gonçalo,RJ,480m²,Brasil Brokers Loja Tavares de Macedo,05/09/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/terrenos/sao-goncalo-terreno-padrao-guaxindiba-1230316237,06/Oct/2023,07:27:08
Terrenos,,R$ 182.000,Ipiíba,São Gonçalo,RJ,1649m²,SPIN Jardim Icaraí,01/09/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/terrenos/terreno-a-venda-1649-m-por-r-182-000-00-ipiiba-sao-goncalo-rj-1228870760,06/Oct/2023,07:27:08
Terrenos,,R$ 220.000,Raul Veiga,São Gonçalo,RJ,480m²,Toninho,19/09/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/terrenos/terreno-em-itaipuacu-1235536037,06/Oct/2023,07:27:09
Terrenos,,R$ 30.000,Santa Isabel,São Gonçalo,RJ,339m²,RC IMOVEIS,21/09/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/terrenos/d730-otima-oportunidade-terreno-em-santa-izabel-1236210373,06/Oct/2023,07:27:09
Terrenos,,R$ 800.000,Vista Alegre,São Gonçalo,RJ,2500m²,Leczz,10/09/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/terrenos/lote-terreno-2-500-m2-100-plano-sinal-parcel-em-vista-alegre-sao-goncalo-rj-1232250338,06/Oct/2023,07:27:09
