tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 295.000,,São José do Vale do Rio Preto,RJ,8700m²,L4S,21/09/2023,https://rj.olx.com.br/serra-angra-dos-reis-e-regiao/terrenos/terreno-para-venda-em-aguas-claras-de-8700-00m-1236259724,06/Oct/2023,06:30:15
Terrenos,,R$ 220.000,,São José do Vale do Rio Preto,RJ,1130m²,L4S,29/09/2023,https://rj.olx.com.br/serra-angra-dos-reis-e-regiao/terrenos/terreno-para-venda-em-sao-jose-do-vale-do-rio-preto-de-1130-00m-1238584771,06/Oct/2023,06:30:15
Venda - casa em rua pública,3,R$ 700.000,Centro,São José do Vale do Rio Preto,RJ,120m²,WILBERT CORRETORA DE IMÓVEIS,19/06/2023,https://rj.olx.com.br/serra-angra-dos-reis-e-regiao/imoveis/casa-para-venda-tem-120-metros-quadrados-com-3-quartos-1199739142,06/Oct/2023,06:30:15
Terrenos,,R$ 800.000,,São José do Vale do Rio Preto,RJ,4000m²,rafa_perelu,18/09/2023,https://rj.olx.com.br/serra-angra-dos-reis-e-regiao/terrenos/terreno-1235183706,06/Oct/2023,06:30:16
Terrenos,,R$ 150.000,,São José do Vale do Rio Preto,RJ,900m²,L4S,15/09/2023,https://rj.olx.com.br/serra-angra-dos-reis-e-regiao/terrenos/terreno-para-venda-em-sao-jose-do-vale-do-rio-preto-de-900-00m-1234265333,06/Oct/2023,06:30:16
Terrenos,,R$ 220.000,,São José do Vale do Rio Preto,RJ,1130m²,RE/MAX VILLAGE,29/09/2023,https://rj.olx.com.br/serra-angra-dos-reis-e-regiao/terrenos/terreno-santa-fe-sao-jose-do-vale-do-rio-preto-rj-1238757904,06/Oct/2023,06:30:16
Venda - casa em rua pública,2,R$ 700.000,,São José do Vale do Rio Preto,RJ,2800m²,HABITAR MELHOR ADMINISTRAÇÃO DE IMÓVEIS,24/07/2023,https://rj.olx.com.br/serra-angra-dos-reis-e-regiao/imoveis/casa-para-venda-tem-2800-metros-quadrados-com-2-quartos-em-c-sao-jose-do-vale-do-rio-pre-1213842066,06/Oct/2023,06:30:16
Terrenos,,R$ 700.000,,São José do Vale do Rio Preto,RJ,452400m²,MARCO IMÓVEIS,11/04/2023,https://rj.olx.com.br/serra-angra-dos-reis-e-regiao/terrenos/terreno-a-venda-452400-m-por-r-700-000-00-barrinha-sao-jose-do-vale-do-rio-preto-rj-1144312587,06/Oct/2023,06:30:16
Terrenos,,R$ 350.000,,São José do Vale do Rio Preto,RJ,3000m²,Leandro,22/09/2023,https://rj.olx.com.br/serra-angra-dos-reis-e-regiao/terrenos/terreno-na-morelli-1236521300,06/Oct/2023,06:30:16
Venda - casa em rua pública,2,R$ 799.000,,São José do Vale do Rio Preto,RJ,180m²,SILVÉRIO IMÓVEIS,17/07/2023,https://rj.olx.com.br/serra-angra-dos-reis-e-regiao/imoveis/casa-sao-jose-do-vale-do-rio-preto-centro-1211137610,06/Oct/2023,06:30:16
