tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 70.000,Anchieta,Rio de Janeiro,RJ,,Phoenix,06/03/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/terrenos/terreno-1155214208,22/Mar/2023,18:53:32
Terrenos,,R$ 300.000,Anchieta,Rio de Janeiro,RJ,594m²,RJ Home,21/03/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/terrenos/terreno-anchieta-1085086628,22/Mar/2023,18:53:32
Terrenos,,R$ 48.000,Anchieta,Rio de Janeiro,RJ,80m²,Marcos Luis,26/02/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/terrenos/vendo-um-lote-de-terreno-1151781914,22/Mar/2023,18:53:32
Terrenos,,R$ 416.000,Anchieta,Rio de Janeiro,RJ,550m²,antonioartemad,18/03/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/terrenos/terreno-550m2-em-anchieta-com-rgi-1132497194,22/Mar/2023,18:53:32
Terrenos,,R$ 3.900.000,Anchieta,Rio de Janeiro,RJ,6530m²,Iuri.imóveis,27/01/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/terrenos/area-comercial-galpao-com-area-em-6530m2-oportunidade-parque-anchieta-923880502,22/Mar/2023,18:53:32
Terrenos,,R$ 395.000,Anchieta,Rio de Janeiro,RJ,,Glaucia,17/03/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/terrenos/terreno-e-casa-de-dois-quartos-na-avenida-nazare-1160732514,22/Mar/2023,18:53:32
Terrenos,,R$ 1.300,Anchieta,Rio de Janeiro,RJ,360m²,Luiz Coutinho Zuim,03/03/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/terrenos/terreno-de-360m2-localizado-em-piratininga-niteroi-rj-1122108728,22/Mar/2023,18:53:32
Terrenos,,R$ 850.000,Anchieta,Rio de Janeiro,RJ,2937m²,RIOIMOB EMPREENDIMENTOS IMOBILIARIOS,24/01/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/terrenos/anchieta-terreno-1137607723,22/Mar/2023,18:53:32
Terrenos,,R$ 60.000,Anchieta,Rio de Janeiro,RJ,80m²,luiz carlos tortora,13/02/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/terrenos/terreno-80-m2-1146628278,22/Mar/2023,18:53:32
Venda - apartamento padrão,2,R$ 204.990,Anchieta,Rio de Janeiro,RJ,35m²,BRJimoveis,31/12/2022,https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/rio-de-janeiro-apartamento-padrao-anchieta-1127621478,22/Mar/2023,18:53:32
Venda - casa em rua pública,1,R$ 60.000,Anchieta,Rio de Janeiro,RJ,60m²,Hamagy,03/09/2022,https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/casa-1-dormitorio-para-venda-em-rio-de-janeiro-anchieta-1-dormitorio-1-banheiro-1079592857,22/Mar/2023,18:53:32
Venda - apartamento kitchenette,1,R$ 25.000,Anchieta,Rio de Janeiro,RJ,30m²,Hamagy,03/09/2022,https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/kitnet-para-venda-em-rio-de-janeiro-anchieta-1-dormitorio-1-banheiro-1079592962,22/Mar/2023,18:53:32
