tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 490.000,,Areal,RJ,1200m²,BORSATO CONSULTORIA IMOBILIÁRIA,20/03/2023,https://rj.olx.com.br/serra-angra-dos-reis-e-regiao/terrenos/borgo-del-vino-primeiro-condominio-vinicola-do-sudeste-do-brasil-999367831,22/Mar/2023,15:30:30
Terrenos,,R$ 150.000,,Areal,RJ,1200m²,Alan Justen Cunha,21/03/2023,https://rj.olx.com.br/serra-angra-dos-reis-e-regiao/terrenos/terreno-dentro-de-condominio-para-venda-possui-1200-metros-quadrados-em-areal-rio-de-1162341304,22/Mar/2023,15:30:30
Terrenos,,R$ 650.000,,Areal,RJ,1145m²,ALEX KLOH,18/03/2023,https://rj.olx.com.br/serra-angra-dos-reis-e-regiao/terrenos/breve-lancamento-borgo-del-vino-logo-lotes-a-partir-de-1200m2-vila-tematica-exclusiv-1160943007,22/Mar/2023,15:30:30
Terrenos,,R$ 580.000,,Areal,RJ,1250m²,ALEX KLOH,18/03/2023,https://rj.olx.com.br/serra-angra-dos-reis-e-regiao/terrenos/breve-lancamento-borgo-del-vino-logo-lotes-a-partir-de-1200m2-vila-tematica-exclusiv-1160942761,22/Mar/2023,15:30:30
Terrenos,,R$ 330.000,,Areal,RJ,1095m²,SILVÉRIO IMÓVEIS,21/03/2023,https://rj.olx.com.br/serra-angra-dos-reis-e-regiao/terrenos/terreno-areal-areal-1078442116,22/Mar/2023,15:30:30
Terrenos,,R$ 580.000,,Areal,RJ,1250m²,ALEX KLOH,18/03/2023,https://rj.olx.com.br/serra-angra-dos-reis-e-regiao/terrenos/breve-lancamento-borgo-del-vino-logo-lotes-a-partir-de-1200m2-vila-tematica-exclusiv-1160942878,22/Mar/2023,15:30:30
Terrenos,,R$ 565.000,,Areal,RJ,2400m²,SILVÉRIO IMÓVEIS,21/03/2023,https://rj.olx.com.br/serra-angra-dos-reis-e-regiao/terrenos/terreno-areal-julioca-1119671749,22/Mar/2023,15:30:30
Terrenos,,null,,Areal,RJ,250000m²,SAIDLER CONSULTORIA & AGRONEGÓCIO,22/03/2023,https://rj.olx.com.br/serra-angra-dos-reis-e-regiao/terrenos/terrenos-industriais-regiao-de-tres-rios-rj-x-areal-rj-736801714,22/Mar/2023,15:30:30
Terrenos,,R$ 120.000,,Areal,RJ,1380m²,L4S,18/03/2023,https://rj.olx.com.br/serra-angra-dos-reis-e-regiao/terrenos/terreno-para-venda-em-areal-de-1380-00m-1160980919,22/Mar/2023,15:30:30
Terrenos,,R$ 240.000,,Areal,RJ,1400m²,LW IMÓVEIS,22/03/2023,https://rj.olx.com.br/serra-angra-dos-reis-e-regiao/terrenos/terreno-residencial-areal-posse-1138925359,22/Mar/2023,15:30:30
Terrenos,,R$ 560.000,,Areal,RJ,79000m²,SILVÉRIO IMÓVEIS,24/02/2023,https://rj.olx.com.br/serra-angra-dos-reis-e-regiao/terrenos/terreno-areal-areal-1150948165,22/Mar/2023,15:30:30
