tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 1.600.000,Glória,Rio de Janeiro,RJ,224m²,Brasil Brokers Consultoria Imobiliária - Botafogo,20/03/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/terrenos/rio-de-janeiro-terreno-padrao-gloria-992339762,22/Mar/2023,18:23:33
Terrenos,,R$ 2.685.000,Glória,Rio de Janeiro,RJ,365m²,REAL UP IMOVEIS,07/01/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/terrenos/terreno-na-gloria-1029034053,22/Mar/2023,18:23:33
Terrenos,,R$ 1.500.000,Glória,Rio de Janeiro,RJ,210m²,ALIANÇA VIVA - FLAMENGO,11/03/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/terrenos/gloria-terreno-1131866451,22/Mar/2023,18:23:33
Terrenos,,R$ 2.699.640,Glória,Rio de Janeiro,RJ,365m²,USUÁRIO NEWCORE,07/02/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/terrenos/lote365m-gloria-rio-de-janeiro-1143828706,22/Mar/2023,18:23:33
Terrenos,,R$ 2.000.000,Glória,Rio de Janeiro,RJ,230m²,MaisVeloz Imóveis Laranjeiras,06/02/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/terrenos/terreno-venda-gloria-rio-de-janeiro-rj-1018216905,22/Mar/2023,18:23:33
Venda - casa em rua pública,5 ou mais,R$ 1.200.000,Glória,Rio de Janeiro,RJ,161m²,CALLERI IMÓVEIS,18/03/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/casa-com-5-dormitorios-a-venda-161-m-por-r-1-200-000-00-gloria-rio-de-janeiro-rj-1064729738,22/Mar/2023,18:23:33
Venda - apartamento padrão,2,R$ 620.000,Glória,Rio de Janeiro,RJ,85m²,ALIANÇA VIVA - FLAMENGO,18/03/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/gloria-apartamento-2-quartos-1083880278,22/Mar/2023,18:23:33
Terrenos,,R$ 2.630.000,Glória,Rio de Janeiro,RJ,365m²,IMOBRAS IMOBILIÁRIA,24/12/2022,https://rj.olx.com.br/rio-de-janeiro-e-regiao/terrenos/excelente-terreno-de-365m-na-gloria--1041041356,22/Mar/2023,18:23:34
Terrenos,,R$ 2.600.000,Glória,Rio de Janeiro,RJ,365m²,MaisVeloz Imóveis Laranjeiras,07/02/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/terrenos/terreno-venda-gloria-rio-de-janeiro-rj-1018218037,22/Mar/2023,18:23:33
Venda - casa em vila,2,R$ 1.300.000,Catete,Rio de Janeiro,RJ,88m²,NOVA ÉPOCA CONSULTORIA IMOBILIÁRIA -,18/03/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/catete-casa-de-vila-2-quartos-sendo-2-suites-1160898730,22/Mar/2023,18:23:33
