tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 19.500.000,Leblon,Rio de Janeiro,RJ,1275m²,REALLER IMÓVEIS,22/03/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/terrenos/rio-de-janeiro-terreno-padrao-leblon-1098125155,22/Mar/2023,18:44:20
Terrenos,,R$ 2.000.000,Vidigal,Rio de Janeiro,RJ,150m²,Privilegio-Investimentos Imobiliários,22/03/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/terrenos/lote-a-venda-vidigal-rio-de-janeiro-rj-1162469526,22/Mar/2023,18:44:21
Terrenos,,R$ 680.000,Vidigal,Rio de Janeiro,RJ,500m²,Jefferson,21/03/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/terrenos/terreno-no-vidigal-com-7-casas-923167424,22/Mar/2023,18:44:21
Terrenos,,R$ 160.000,Leblon,Rio de Janeiro,RJ,90m²,Rita,18/03/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/terrenos/terreno-serra-1160880916,22/Mar/2023,18:44:21
Terrenos,,R$ 4.500.000,Leblon,Rio de Janeiro,RJ,350m²,RE/MAX SOHO,14/03/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/terrenos/oportunidade-jardim-pernambuco-leblon-1159259468,22/Mar/2023,18:44:21
Terrenos,,R$ 790.000,Leblon,Rio de Janeiro,RJ,32m²,Lena Macedo,14/03/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/terrenos/sala-conjunto-para-venda-possui-32-metros-quadrados-com-1-quarto-em-leblon-rio-de-janeir-1034998080,22/Mar/2023,18:44:21
Terrenos,,R$ 19.500.000,Leblon,Rio de Janeiro,RJ,1275m²,MARCUS CAVALCANTI EMPREENDIMENTOS IMOBILIARIOS LTDA,04/03/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/terrenos/jardim-pernambuco-leblon-1128486418,22/Mar/2023,18:44:21
Outros,,R$ 250.000,Leblon,Rio de Janeiro,RJ,6m²,Marcelo,18/02/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/terrenos/jazigo-perpetuo-cemiterio-sao-joao-batista-1149036657,22/Mar/2023,18:44:21
Terrenos,,R$ 1.145.000,Leblon,Rio de Janeiro,RJ,40m²,OKRE IMÓVEIS,18/02/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/terrenos/loja-no-leblon-1148878174,22/Mar/2023,18:44:21
Terrenos,,R$ 75.000,Leblon,Rio de Janeiro,RJ,385m²,Antonio,25/01/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/terrenos/vendo-1138192254,22/Mar/2023,18:44:21
Terrenos,,R$ 2.000.000,Vidigal,Rio de Janeiro,RJ,150m²,Privilegio Leblon,07/12/2022,https://rj.olx.com.br/rio-de-janeiro-e-regiao/terrenos/lote-a-venda-vidigal-rio-de-janeiro-rj-1118675275,22/Mar/2023,18:44:21
Venda - apartamento padrão,4,R$ 1.790.000,Leblon,Rio de Janeiro,RJ,100m²,HBK  IMOVEIS BR,22/03/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/apartamento-venda-leblon-rio-de-janeiro-rj-1162797813,22/Mar/2023,18:44:21
Venda - apartamento padrão,2,R$ 1.920.000,Leblon,Rio de Janeiro,RJ,68m²,HBK  IMOVEIS BR,22/03/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/apartamento-venda-leblon-rio-de-janeiro-rj-1162797702,22/Mar/2023,18:44:21
Venda - apartamento padrão,4,R$ 5.650.000,Leblon,Rio de Janeiro,RJ,224m²,HBK  IMOVEIS BR,22/03/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/apartamento-venda-leblon-rio-de-janeiro-rj-1162797703,22/Mar/2023,18:44:21
Venda - apartamento padrão,4,R$ 3.400.000,Leblon,Rio de Janeiro,RJ,130m²,PLANETA IMÓVEIS,22/03/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/apartamento-para-venda-varanda-4-quartos-2-vagas-proximo-ao-shopping-leblon-1087701947,22/Mar/2023,18:44:22
Venda - apartamento padrão,3,R$ 2.100.000,Leblon,Rio de Janeiro,RJ,90m²,G.SUL - IMÓVEIS,22/03/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/apartamento-para-venda-possui-90-metros-quadrados-com-3-quartos-em-leblon-rio-de-janeiro-909631543,22/Mar/2023,18:44:22
Venda - apartamento padrão,3,R$ 3.000.000,Leblon,Rio de Janeiro,RJ,150m²,STAMBOWSKY ASSESSORIA IMOBILIÁRIA,22/03/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/alto-leblon-vista-e-verde-1038910491,22/Mar/2023,18:44:22
Venda - apartamento padrão,3,R$ 4.100.000,Leblon,Rio de Janeiro,RJ,150m²,Crescer Imóveis,22/03/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/quadissima-da-praia-jose-linhares-vista-lateral-mar-3-quartos-1-vaga-1095084598,22/Mar/2023,18:44:22
Venda - apartamento padrão,1,R$ 1.150.000,Leblon,Rio de Janeiro,RJ,62m²,HBK  IMOVEIS BR,22/03/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/apartamento-venda-leblon-rio-de-janeiro-rj-1162796113,22/Mar/2023,18:44:22
Venda - apartamento padrão,4,R$ 4.400.000,Leblon,Rio de Janeiro,RJ,286m²,ALIANÇA VIVA - IPANEMA,22/03/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/leblon-apartamento-4-quartos-sendo-1-suite-1139298947,22/Mar/2023,18:44:22
Venda - apartamento padrão,2,R$ 2.400.000,Leblon,Rio de Janeiro,RJ,84m²,HBK  IMOVEIS BR,22/03/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/apartamento-venda-leblon-rio-de-janeiro-rj-1162795166,22/Mar/2023,18:44:22
Venda - apartamento padrão,4,R$ 4.700.000,Leblon,Rio de Janeiro,RJ,152m²,KRK imóveis,22/03/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/apartamento-para-venda-em-rio-de-janeiro-leblon-4-dormitorios-1-suite-2-banheiros-2-v-984119148,22/Mar/2023,18:44:22
Venda - apartamento padrão,3,R$ 2.790.000,Leblon,Rio de Janeiro,RJ,100m²,HBK  IMOVEIS BR,22/03/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/apartamento-venda-leblon-rio-de-janeiro-rj-1162793977,22/Mar/2023,18:44:22
Venda - apartamento padrão,3,R$ 1.850.000,Leblon,Rio de Janeiro,RJ,110m²,José Maria Queiróz Melo,22/03/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/apartamento-para-venda-possui-110-metros-quadrados-com-3-quartos-em-leblon-rio-de-janeir-1030057441,22/Mar/2023,18:44:22
Venda - apartamento padrão,3,R$ 1.950.000,Leblon,Rio de Janeiro,RJ,101m²,Marcelo Andrade Imóveis,22/03/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/apartamento-3-quartos-101m2-a-venda-01-vaga-leblon-1057250718,22/Mar/2023,18:44:22
Venda - apartamento padrão,3,R$ 2.499.999,Leblon,Rio de Janeiro,RJ,100m²,Imóveis RJ,22/03/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/apartamento-3-quartos-quadra-da-praia-1162792644,22/Mar/2023,18:44:22
Venda - apartamento padrão,1,R$ 560.000,Leblon,Rio de Janeiro,RJ,20m²,Estadia Digital,22/03/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/apartamento-a-venda-20-m-por-r-560-000-00-leblon-rio-de-janeiro-rj-1073481096,22/Mar/2023,18:44:22
Venda - apartamento cobertura,4,R$ 9.000.000,Leblon,Rio de Janeiro,RJ,129m²,HBK  IMOVEIS BR,22/03/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/cobertura-triplex-para-venda-4-quartos-reformado-leblon-3-vagas-1162791115,22/Mar/2023,18:44:22
Venda - apartamento padrão,1,R$ 350.000,Leblon,Rio de Janeiro,RJ,19m²,HBK  IMOVEIS BR,22/03/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/apartamento-venda-leblon-rio-de-janeiro-rj-1162790997,22/Mar/2023,18:44:22
Venda - apartamento padrão,2,R$ 1.680.000,Leblon,Rio de Janeiro,RJ,80m²,HBK  IMOVEIS BR,22/03/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/apartamento-venda-leblon-rio-de-janeiro-rj-1162790892,22/Mar/2023,18:44:22
Venda - apartamento padrão,1,R$ 750.000,Leblon,Rio de Janeiro,RJ,36m²,JULIO BOGORICIN IMOVEIS - LEBLON,22/03/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/leblon-proximo-metro-antero-quental-frontal-vista-livre-claro-bem-conservado-s-1095246370,22/Mar/2023,18:44:22
Venda - apartamento padrão,3,R$ 2.950.000,Leblon,Rio de Janeiro,RJ,121m²,HBK  IMOVEIS BR,22/03/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/apartamento-venda-leblon-rio-de-janeiro-rj-1162788877,22/Mar/2023,18:44:22
Venda - apartamento padrão,2,R$ 1.600.000,Leblon,Rio de Janeiro,RJ,85m²,JTAVARES IPANEMA,22/03/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/apartamento-em-leblon-8737-1133307397,22/Mar/2023,18:44:22
Venda - apartamento padrão,2,R$ 1.648.000,Leblon,Rio de Janeiro,RJ,74m²,HBK  IMOVEIS BR,22/03/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/apartamento-venda-leblon-rio-de-janeiro-rj-1162788791,22/Mar/2023,18:44:22
Venda - apartamento padrão,2,R$ 2.700.000,Leblon,Rio de Janeiro,RJ,98m²,HBK  IMOVEIS BR,22/03/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/apartamento-venda-leblon-rio-de-janeiro-rj-1162788767,22/Mar/2023,18:44:22
Venda - apartamento cobertura,4,R$ 7.800.000,Leblon,Rio de Janeiro,RJ,250m²,SÓ-LAR CONSULTORIA IMOBILIÁRIA,22/03/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/cobertura-quadrissima-com-vista-do-mar-1033334135,22/Mar/2023,18:44:22
Venda - apartamento padrão,3,R$ 2.500.000,Leblon,Rio de Janeiro,RJ,89m²,RIO BRAZIL IMÓVEIS,22/03/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/apartamento-com-3-dormitorios-a-venda-89-m-por-r-2-500-000-00-leblon-rio-de-janeiro-1153539990,22/Mar/2023,18:44:22
Venda - apartamento padrão,4,R$ 5.500.000,Leblon,Rio de Janeiro,RJ,225m²,CASA NOSSA EMPREENDIMENTOS IMOBILIARIOS LTDA,22/03/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/leblon-proximo-praia-varandao-frente-e-vazio-1102547936,22/Mar/2023,18:44:22
Venda - apartamento padrão,2,R$ 1.800.000,Leblon,Rio de Janeiro,RJ,72m²,SOIMOVEIS IMOBILIARIA,22/03/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/apartamento-venda-leblon-rio-de-janeiro-rj-1162787994,22/Mar/2023,18:44:22
Venda - apartamento padrão,3,R$ 2.600.000,Leblon,Rio de Janeiro,RJ,150m²,GANEM & CARVALHO,22/03/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/timoteo-da-costa-reformado-pronta-entrega-1107583294,22/Mar/2023,18:44:22
Venda - apartamento cobertura,3,R$ 4.400.000,Leblon,Rio de Janeiro,RJ,247m²,SANDRA CARNEIRO CORRETORA,22/03/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/cobertura-para-venda-com-247-metros-quadrados-com-3-quartos-em-leblon-rio-de-janeiro-r-1145942075,22/Mar/2023,18:44:22
Venda - apartamento padrão,1,R$ 2.600.000,Leblon,Rio de Janeiro,RJ,90m²,J A Imóveis,22/03/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/apartamento-para-venda-possui-90-metros-quadrados-com-1-quarto-em-leblon-rio-de-janeiro-1162780809,22/Mar/2023,18:44:22
