tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 110.000,Rocha Miranda,Rio de Janeiro,RJ,185m²,NovaCasa Empreendimentos,21/03/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/terrenos/vendo-lotes-de-terrenos-em-vargem-grande-185m2-1162132521,22/Mar/2023,19:23:05
Terrenos,,R$ 240.000,Rocha Miranda,Rio de Janeiro,RJ,500m²,Portela Imóveis,20/03/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/terrenos/rocha-miranda-excelente-terreno-plano-para-venda-tem-500-metros-quadrados-em-rocha-miranda-1152236327,22/Mar/2023,19:23:05
Terrenos,,R$ 1.300.000,Rocha Miranda,Rio de Janeiro,RJ,1850m²,Medeiros Imóveis RJ,22/03/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/terrenos/area-rocha-miranda-981228155,22/Mar/2023,19:23:05
Terrenos,,R$ 55.000,Rocha Miranda,Rio de Janeiro,RJ,227m²,konceicruz,26/02/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/terrenos/terreno-em-unamar-1152010978,22/Mar/2023,19:23:05
Terrenos,,R$ 600.000,Rocha Miranda,Rio de Janeiro,RJ,510m²,ZELTER IMÓVEIS LTDA,11/03/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/terrenos/terreno-a-venda-rocha-miranda-rio-de-janeiro-rj-1108662471,22/Mar/2023,19:23:05
Terrenos,,R$ 55.000,Rocha Miranda,Rio de Janeiro,RJ,200m²,Kelly,27/02/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/terrenos/terreno-em-campo-grande-1152361582,22/Mar/2023,19:23:05
Terrenos,,R$ 120.000,Rocha Miranda,Rio de Janeiro,RJ,500m²,philipe.oliveiram,06/03/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/terrenos/vendo-terreno-1155559277,22/Mar/2023,19:23:05
Venda - casa em condominio fechado,1,R$ 1.380.000,Rocha Miranda,Rio de Janeiro,RJ,400m²,Rogério,04/03/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/rocha-miranda-1143192425,22/Mar/2023,19:23:05
Terrenos,,R$ 250.000,Rocha Miranda,Rio de Janeiro,RJ,250m²,975040315,20/03/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/terrenos/execelente-terreno-500-metros-valor-250-mil-rocha-miranda-1109420763,22/Mar/2023,19:23:05
Terrenos,,R$ 25.000,Rocha Miranda,Rio de Janeiro,RJ,450m²,Adalberto,21/03/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/terrenos/terreno-araruama-praia-do-barbudo-1162183822,22/Mar/2023,19:23:05
Terrenos,,R$ 250.000,Rocha Miranda,Rio de Janeiro,RJ,500m²,975040315,20/03/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/terrenos/vendo-terrenao-10x50-500mts-valor-250mil-a-vista-3795-8135-rocha-miranda-1098260670,22/Mar/2023,19:23:05
Terrenos,,R$ 330.000,Rocha Miranda,Rio de Janeiro,RJ,374m²,ZAYLA IMOVEIS LTDA,16/03/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/terrenos/terreno-a-venda-em-rocha-miranda-1008574531,22/Mar/2023,19:23:05
Venda - casa em rua pública,2,R$ 180.000,Rocha Miranda,Rio de Janeiro,RJ,90m²,Martins,03/03/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/imovel-a-venda-na-rua-jaguarema-rocha-miranda-1154427914,22/Mar/2023,19:23:05
Venda - apartamento padrão,2,R$ 199.990,Rocha Miranda,Rio de Janeiro,RJ,44m²,Assunção & Cardim Corretores de Imóveis,05/03/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/lindo-apartamento-com-dois-quartos-no-condominio-dez-rocha-miranda-1154884946,22/Mar/2023,19:23:05
Venda - casa em condominio fechado,2,R$ 198.000,Rocha Miranda,Rio de Janeiro,RJ,60m²,ZAYLA IMOVEIS LTDA,06/03/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/casa-com-2-quartos-e-vaga-a-venda-em-rocha-miranda-rj-952299692,22/Mar/2023,19:23:05
Venda - casa em rua pública,3,R$ 599.580,Rocha Miranda,Rio de Janeiro,RJ,250m²,USUÁRIO NEWCORE,03/03/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/casa-com-3-dorm-e-250m-rocha-miranda-rio-de-janeiro-1154061427,22/Mar/2023,19:23:05
Terrenos,,R$ 360.000,Rocha Miranda,Rio de Janeiro,RJ,440m²,Medeiros & Medeiros Imóveis,19/03/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/terrenos/terreno-a-venda-em-rio-de-janeiro-rj-1050031938,22/Mar/2023,19:23:05
Terrenos,,R$ 1.290.000,Rocha Miranda,Rio de Janeiro,RJ,1850m²,FAMMA IMÓVEIS E ASSESSORIA LTDA,17/03/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/terrenos/venda-terreno-com-1850-m-turiacu-rio-de-janeiro-1049520465,22/Mar/2023,19:23:05
Terrenos,,R$ 1.500.000,Rocha Miranda,Rio de Janeiro,RJ,1500m²,NovaCasa Empreendimentos,15/03/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/terrenos/terreno-servindo-pra-galpao-empreendimentos-apartamentos-etc-1102976431,22/Mar/2023,19:23:05
Venda - apartamento padrão,2,R$ 220.000,Rocha Miranda,Rio de Janeiro,RJ,46m²,Lopes Jaylson,05/03/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/apartamento-venda-rocha-miranda-rio-de-janeiro-rj-1154897442,22/Mar/2023,19:23:05
Terrenos,,R$ 1.300.000,Rocha Miranda,Rio de Janeiro,RJ,1850m²,Medeiros Imóveis RJ,12/03/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/terrenos/area-para-venda-em-rio-de-janeiro-rocha-miranda-981228507,22/Mar/2023,19:23:05
Terrenos,,R$ 1.289.140,Rocha Miranda,Rio de Janeiro,RJ,1850m²,USUÁRIO NEWCORE,06/03/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/terrenos/lote1850m-rocha-miranda-rio-de-janeiro-1155325596,22/Mar/2023,19:23:05
Venda - casa em rua pública,3,R$ 280.000,Rocha Miranda,Rio de Janeiro,RJ,120m²,ARBO IMÓVEIS,02/03/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/casa-para-venda-em-rio-de-janeiro-rocha-miranda-3-dormitorios-1-suite-2-banheiros-1153803896,22/Mar/2023,19:23:05
Terrenos,,R$ 1.200.000,Rocha Miranda,Rio de Janeiro,RJ,1500m²,NovaCasa Empreendimentos,24/02/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/terrenos/terreno-em-rocha-miranda-com-1-500m-construtores-galpao-igrejas-fabricas-etc-1151198398,22/Mar/2023,19:23:05
Venda - apartamento padrão,2,R$ 190.000,Colégio,Rio de Janeiro,RJ,52m²,ZELTER IMÓVEIS LTDA,04/03/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/apartamento-a-venda-2-quartos-1-vaga-colegio-rio-de-janeiro-rj-1108663745,22/Mar/2023,19:23:05
Venda - casa em rua pública,5 ou mais,R$ 320.000,Cavalcanti,Rio de Janeiro,RJ,400m²,Felipe Machado,04/03/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/linda-e-ampla-casa-cavalcante-1083228912,22/Mar/2023,19:23:05
Venda - apartamento padrão,2,R$ 150.000,Rocha Miranda,Rio de Janeiro,RJ,43m²,SINAI EMPREENDIMENTOS IMOBILIARIOS LTDA - ME,03/03/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/apartamento-2-quartos-rocha-miranda-1119890339,22/Mar/2023,19:23:05
Venda - apartamento padrão,2,R$ 264.990,Colégio,Rio de Janeiro,RJ,43m²,Família Bacellar Imobiliária,07/09/2022,https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/apartamento-venda-colegio-rio-de-janeiro-rj-1081165670,22/Mar/2023,19:23:05
Terrenos,,R$ 56.000,Cavalcanti,Rio de Janeiro,RJ,112m²,Thiago,09/03/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/terrenos/vendo-terreno-bairro-cavalcanti-1157101613,22/Mar/2023,19:23:06
Venda - apartamento padrão,2,R$ 170.000,Rocha Miranda,Rio de Janeiro,RJ,49m²,Atento  Imóveis,03/03/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/apartamento-venda-rocha-miranda-rio-de-janeiro-rj-1153995426,22/Mar/2023,19:23:06
Venda - apartamento padrão,2,R$ 220.000,Rocha Miranda,Rio de Janeiro,RJ,50m²,GARCEZ POLIVALENTE,06/03/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/apartamento-venda-rocha-miranda-rio-de-janeiro-rj-1121382801,22/Mar/2023,19:23:06
Venda - apartamento padrão,2,R$ 264.000,Colégio,Rio de Janeiro,RJ,43m²,BRJimoveis,09/12/2022,https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/rio-de-janeiro-apartamento-padrao-colegio-1074060703,22/Mar/2023,19:23:06
Venda - casa em rua pública,2,R$ 33.900,Rocha Miranda,Rio de Janeiro,RJ,,G. Borges,02/03/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/casa-em-rocha-miranda-2-quartos-1153883605,22/Mar/2023,19:23:06
