tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 2.950.000,Bom Retiro,Teresópolis,RJ,11000m²,ADÃO REZENDE ASSESSORIA IMOBILIÁRIA,20/03/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/terrenos/area-a-venda-11000-m-bom-retiro-teresopolis-rj-1080027082,22/Mar/2023,18:07:04
Venda - apartamento padrão,2,R$ 610.000,Alto,Teresópolis,RJ,84m²,ADÃO REZENDE ASSESSORIA IMOBILIÁRIA,13/03/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/apartamento-com-2-dormitorios-a-venda-83-m-alto-teresopolis-rj-1135422769,22/Mar/2023,18:07:24
Terrenos,,R$ 270.000,Vargem Grande,Teresópolis,RJ,1700m²,DREAM SERRA ASSESSORIA IMOBILIARIA EIRELI,10/03/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/terrenos/terreno-a-venda-1700-m-por-r-270-000-00-fazenda-boa-fe-teresopolis-rj-1131825245,22/Mar/2023,18:07:24
Terrenos,,R$ 250.000,Albuquerque,Teresópolis,RJ,1070m²,ATTUAL IMÓVEIS,14/03/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/terrenos/terreno-a-venda-1070-m-por-r-250-000-00-albuquerque-teresopolis-rj-1089439691,22/Mar/2023,18:07:24
Venda - apartamento padrão,2,R$ 250.000,Pimenteiras,Teresópolis,RJ,48m²,Maia Imóveis,13/03/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/apartamento-a-venda-no-bairro-pimenteiras-teresopolis-rj-1156341163,22/Mar/2023,18:07:24
Venda - casa em condominio fechado,4,R$ 600.000,Araras,Teresópolis,RJ,123m²,UNIC IMÓVEIS,13/03/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/casa-com-4-dormitorios-a-venda-123-m-por-r-600-000-00-araras-teresopolis-rj-1131875658,22/Mar/2023,18:07:24
Venda - apartamento padrão,3,R$ 650.000,Alto,Teresópolis,RJ,132m²,ALVES & GAMA CONSULTORIA IMOBILIÁRIA,13/03/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/apartamento-para-venda-tem-132-metros-quadrados-com-3-quartos-em-alto-teresopolis-rio-1042441848,22/Mar/2023,18:07:24
Terrenos,,R$ 150.000,Ermitage,Teresópolis,RJ,641m²,HAUS PREMIUM,10/03/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/terrenos/loteamento-a-venda-no-bairro-ermitage-teresopolis-rj-1143843531,22/Mar/2023,18:07:24
Terrenos,,R$ 130.000,Albuquerque,Teresópolis,RJ,344m²,TERRAZO IMOVEIS,05/03/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/terrenos/terreno-a-venda-albuquerque-teresopolis-rj-1154879937,22/Mar/2023,18:07:24
Terrenos,,R$ 150.000,Colônia Alpina,Teresópolis,RJ,1000m²,TERRAZO IMOVEIS,04/03/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/terrenos/terreno-a-venda-colonia-alpina-teresopolis-rj-1134909327,22/Mar/2023,18:07:24
Venda - casa em condominio fechado,3,R$ 540.000,Cascata dos Amores,Teresópolis,RJ,90m²,Heloísa B. M. Sofia,13/03/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/linda-casa-em-condominio-em-bairro-nobre-e-seguro-cercado-de-natureza-com-3qtos-1067438059,22/Mar/2023,18:07:24
Venda - casa em condominio fechado,2,R$ 360.000,Corta Vento,Teresópolis,RJ,60m²,UNIC IMÓVEIS,13/03/2023,https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/casa-com-2-dormitorios-a-venda-60-m-por-r-360-000-00-agrioes-teresopolis-rj-1052686576,22/Mar/2023,18:07:24
