tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Venda - casa em rua pública,2,R$ 90.000,,Santa Cruz,RN,230m²,Wanderley,15/09/2023,https://rn.olx.com.br/rio-grande-do-norte/imoveis/vendo-uma-casa-em-santa-cruz-rn-1234058548,06/Oct/2023,14:36:03
Venda - casa em rua pública,3,R$ 290.000,,Santa Cruz,RN,150m²,jcarlosmnery,12/09/2023,https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-a-venda-em-santa-cruz-1219780223,06/Oct/2023,14:36:03
Venda - apartamento kitchenette,1,R$ 140.000,,Santa Cruz,RN,,Raulan M.,15/09/2023,https://rn.olx.com.br/rio-grande-do-norte/imoveis/vendo-ou-trooc-predio-1234160970,06/Oct/2023,14:36:03
Terrenos,,R$ 45.000,,Santa Cruz,RN,360m²,Brasil Corretores Associados,13/09/2023,https://rn.olx.com.br/rio-grande-do-norte/terrenos/terreno-maracuja-santa-cruz-do-sul-1233098007,06/Oct/2023,14:36:03
Terrenos,,R$ 38.000,,Santa Cruz,RN,,Brasil Corretores Associados,15/06/2023,https://rn.olx.com.br/rio-grande-do-norte/terrenos/lotes-em-frente-a-prf-na-br-406-infraestrutura-rede-de-abastecimento-de-agua-1198182562,06/Oct/2023,14:36:03
Terrenos,,R$ 85.000,,Santa Cruz,RN,300m²,Nildo Alves,05/01/2023,https://rn.olx.com.br/rio-grande-do-norte/terrenos/lotes-em-condominio-fechado-em-santa-cruz-1063551570,06/Oct/2023,14:36:03
Venda - casa em rua pública,2,R$ 80.000,,Santa Cruz,RN,90m²,Ellyda C.,16/08/2023,https://rn.olx.com.br/rio-grande-do-norte/imoveis/venda-de-casa-1222849485,06/Oct/2023,14:36:03
Venda - casa em rua pública,3,R$ 86.000,,Santa Cruz,RN,121m²,Augusto Carvalho,12/09/2023,https://rn.olx.com.br/rio-grande-do-norte/imoveis/vendo-casa-em-acabamento-1233085549,06/Oct/2023,14:36:03
Terrenos,,R$ 15.000,,Santa Cruz,RN,,Felipe Rodrigues,11/09/2023,https://rn.olx.com.br/rio-grande-do-norte/terrenos/terreno-100-81-1232562970,06/Oct/2023,14:36:03
Terrenos,,R$ 65.000,,Santa Cruz,RN,240m²,Ravena T.,01/09/2023,https://rn.olx.com.br/rio-grande-do-norte/terrenos/terreno-no-bairro-hugo-tavares-lot-monsenhor-raimundo-santa-cruz-rn-1228975816,06/Oct/2023,14:36:03
Venda - casa em condominio fechado,4,R$ 590.000,,Santa Cruz,RN,,tamiresloi,24/08/2023,https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-na-praia-de-gracandu-rn-1226124827,06/Oct/2023,14:36:03
Venda - casa em rua pública,3,R$ 300.000,Centro,Santa Cruz,RN,113m²,Ideal Negócios Imobiliários Ltda,13/02/2023,https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-com-3-dormitorios-a-venda-113-m-por-r-300-000-00-jardim-lola-sao-goncalo-amara-1049164411,06/Oct/2023,14:36:03
Venda - casa em rua pública,1,R$ 250.000,,Santa Cruz,RN,140m²,Imóveis IPDA,12/01/2023,https://rn.olx.com.br/rio-grande-do-norte/imoveis/imovel-com-100-metros-quadrados-no-centro-de-santa-cruz-rn-1132778318,06/Oct/2023,14:36:03
