tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 980.000,Nova Betânia,Mossoró,RN,803m²,Janaina,18/08/2023,https://rn.olx.com.br/rio-grande-do-norte/terrenos/vende-se-2-lotes-no-condominio-alphaville-mossoro-frente-poente-sendo-um-deles-esquina-1223753588,21/Aug/2023,22:13:25
Terrenos,,R$ 30.000,Itapetinga,Mossoró,RN,200m²,KM IMÓVEIS,02/08/2023,https://rn.olx.com.br/rio-grande-do-norte/terrenos/venda-terreno-no-loteamento-cidade-oeste-em-mossoro-rn-1217412519,21/Aug/2023,22:13:26
Terrenos,,R$ 60.000,Aeroporto,Mossoró,RN,,Roanne Moreira,07/08/2023,https://rn.olx.com.br/rio-grande-do-norte/terrenos/terreno-6x30-aceito-propostas-aeroporto-2-1219425363,21/Aug/2023,22:13:26
Terrenos,,R$ 180.000,Ilha de Santa Luzia,Mossoró,RN,2150m²,Visão Imobiliária,06/06/2023,https://rn.olx.com.br/rio-grande-do-norte/terrenos/terreno-em-ilha-de-santa-luzia--mossoro-1194590082,21/Aug/2023,22:13:26
Terrenos,,R$ 20.000,Itapetinga,Mossoró,RN,300m²,KM IMÓVEIS,21/04/2023,https://rn.olx.com.br/rio-grande-do-norte/terrenos/venda-terreno-no-tropical-ville-em-mossoro-rn-1175900925,21/Aug/2023,22:13:26
Terrenos,,R$ 89.000,Aeroporto,Mossoró,RN,720m²,KM IMÓVEIS,24/03/2023,https://rn.olx.com.br/rio-grande-do-norte/terrenos/venda-terreno-no-aeroporto-em-mossoro-rn-1099083504,21/Aug/2023,22:13:27
Terrenos,,R$ 385.863,Bela Vista,Mossoró,RN,,ULISSE IMOVEIS,10/08/2023,https://rn.olx.com.br/rio-grande-do-norte/terrenos/lancamento-condominio-americas-1220576743,21/Aug/2023,22:13:27
Terrenos,,R$ 5.000,Presidente Costa e Silva,Mossoró,RN,200m²,leonildo,19/08/2023,https://rn.olx.com.br/rio-grande-do-norte/terrenos/urgente-oportunidade-de-investimento-vejas-minhas-opcoes-1224048090,21/Aug/2023,22:13:27
Terrenos,,R$ 58.000,Rincão,Mossoró,RN,729m²,Erikacristina14,18/08/2023,https://rn.olx.com.br/rio-grande-do-norte/terrenos/tereno-no-loteamento-cidade-universitaria-1223683809,21/Aug/2023,22:13:27
Terrenos,,R$ 700.000,Santa Delmira,Mossoró,RN,2366m²,Jefferson Sampaio,21/08/2023,https://rn.olx.com.br/rio-grande-do-norte/terrenos/vende-se-terreno-de-esquina-com-2366-m-casa-1214668944,21/Aug/2023,22:13:27
Terrenos,,R$ 90.000,Bela Vista,Mossoró,RN,230m²,Amauri Júnior,21/08/2023,https://rn.olx.com.br/rio-grande-do-norte/terrenos/copacabana-residence-mossoro-condicoes-especiais-para-repasse-lote-q6-122-1224872262,21/Aug/2023,22:13:27
Terrenos,,R$ 90.000,Rincão,Mossoró,RN,450m²,KM IMÓVEIS,08/08/2023,https://rn.olx.com.br/rio-grande-do-norte/terrenos/venda-terreno-no-condominio-ecoville-em-mossoro-rn-1219708760,21/Aug/2023,22:13:27
Terrenos,,R$ 1.800.000,Alto de São Manoel,Mossoró,RN,4500m²,Visão Imobiliária,10/08/2023,https://rn.olx.com.br/rio-grande-do-norte/terrenos/vende-se-ou-aluga-se-terreno-comercial-no-alto-de-sao-manoel-1220647769,21/Aug/2023,22:13:28
Terrenos,,R$ 430.000,Abolição,Mossoró,RN,505m²,Queiroz Imóveis,07/08/2023,https://rn.olx.com.br/rio-grande-do-norte/terrenos/terreno-no-quintas-do-lago-1219567041,21/Aug/2023,22:13:28
Terrenos,,R$ 662.000,,Mossoró,RN,,Xico Mezenga,06/08/2023,https://rn.olx.com.br/rio-grande-do-norte/terrenos/terreno-rural-venda-1219177283,21/Aug/2023,22:13:25
Terrenos,,R$ 30.000,Bela Vista,Mossoró,RN,576m²,Avançar Imóveis,08/08/2023,https://rn.olx.com.br/rio-grande-do-norte/terrenos/vendo-na-praia-de-sao-cristovao-mossoro-rn-1219854141,21/Aug/2023,22:13:28
Terrenos,,R$ 180.000,,Mossoró,RN,20000m²,Ricardo Augusto,14/08/2023,https://rn.olx.com.br/rio-grande-do-norte/terrenos/area-em-quiterias-icapui-ce-1221946029,21/Aug/2023,22:13:28
Terrenos,,R$ 400.000,Abolição,Mossoró,RN,427m²,Avançar Imóveis,07/08/2023,https://rn.olx.com.br/rio-grande-do-norte/terrenos/vendo-lote-no-cond-quintas-do-lago-mossoro-1194291204,21/Aug/2023,22:13:28
Terrenos,,R$ 68.000,Rincão,Mossoró,RN,720m²,Costinha,07/08/2023,https://rn.olx.com.br/rio-grande-do-norte/terrenos/vende-se-02-lotes-parque-universitario-1219359460,21/Aug/2023,22:13:28
Terrenos,,R$ 27.500,Rincão,Mossoró,RN,348m²,André,06/08/2023,https://rn.olx.com.br/rio-grande-do-norte/terrenos/terreno-na-praia-de-peixe-gordo-icapui-1219180238,21/Aug/2023,22:13:28
Terrenos,,R$ 70.000,Barrocas,Mossoró,RN,224m²,Warlley Mendes,09/08/2023,https://rn.olx.com.br/rio-grande-do-norte/terrenos/casas-com-terreno-224-4m-1220335151,21/Aug/2023,22:13:28
Terrenos,,null,Nova Betânia,Mossoró,RN,3000000m²,weslley,13/08/2023,https://rn.olx.com.br/rio-grande-do-norte/terrenos/terreno-em-mossoro-vende-se-aluga-se-1214123363,21/Aug/2023,22:13:28
