tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 3.600.000,Itapetinga,Mossoró,RN,3000000m²,j.r.costaneto,24/05/2023,https://rn.olx.com.br/rio-grande-do-norte/terrenos/terreno-30-hectares-1189428907,10/Jul/2023,22:57:58
Terrenos,,R$ 125.000,Rincão,Mossoró,RN,,Ton,29/05/2023,https://rn.olx.com.br/rio-grande-do-norte/terrenos/lote-ninho-residencial-12x30-1191380769,10/Jul/2023,22:57:58
Terrenos,,R$ 750,Bela Vista,Mossoró,RN,29m²,Visão Imobiliária,22/05/2023,https://rn.olx.com.br/rio-grande-do-norte/terrenos/apartamento-em-bela-vista--mossoro-1188592338,10/Jul/2023,22:57:58
Terrenos,,R$ 15.000,Rincão,Mossoró,RN,,Flora,03/06/2023,https://rn.olx.com.br/rio-grande-do-norte/terrenos/vendo-ou-troco-terreno-em-ponta-do-mel-rn-1193865998,10/Jul/2023,22:57:58
Terrenos,,R$ 200.000,Nova Betânia,Mossoró,RN,360m²,ULISSE,31/05/2023,https://rn.olx.com.br/rio-grande-do-norte/terrenos/vende-se-terreno-localizacao-no-bairro-nova-betania-1192243365,10/Jul/2023,22:57:58
Terrenos,,R$ 1.000.000,Abolição,Mossoró,RN,17581m²,Baretta Imóveis,26/06/2023,https://rn.olx.com.br/rio-grande-do-norte/terrenos/vendo-um-excelente-terreno-com-uma-area-total-de17-581-74-m-no-bairro-abolicao-3-local-1173254334,10/Jul/2023,22:57:58
Terrenos,,R$ 95.000,Doze Anos,Mossoró,RN,299m²,Renato,08/06/2023,https://rn.olx.com.br/rio-grande-do-norte/terrenos/vende-se-terreno-todo-murado-de-esquina-abolicao-3-mossoro-1195733368,10/Jul/2023,22:57:59
Terrenos,,R$ 140.000,Alto de São Manoel,Mossoró,RN,360m²,Central Engenharia e Construções,22/05/2023,https://rn.olx.com.br/rio-grande-do-norte/terrenos/oferta-terreno-ninho-residencial-mossoro-rn-1162364442,10/Jul/2023,22:57:59
Terrenos,,R$ 35.000,Àrea Rural de Mossoró,Mossoró,RN,,Visão Imobiliária,12/04/2023,https://rn.olx.com.br/rio-grande-do-norte/terrenos/terreno-em-praia-de-cristovao--areia-branca-1124474438,10/Jul/2023,22:57:59
Terrenos,,R$ 25.000,,Mossoró,RN,300m²,Paula,23/05/2023,https://rn.olx.com.br/rio-grande-do-norte/terrenos/lote-no-bairro-alto-do-sumare-1188799151,10/Jul/2023,22:57:59
Terrenos,,R$ 20.000,Rincão,Mossoró,RN,200m²,lincsud,30/05/2023,https://rn.olx.com.br/rio-grande-do-norte/terrenos/vendo-terreno-10x20m-mossoro-rn-proximo-ao-condominio-ninho-residencial-1192149098,10/Jul/2023,22:57:59
Terrenos,,null,Nova Betânia,Mossoró,RN,375m²,Abraham Lincoln,28/05/2023,https://rn.olx.com.br/rio-grande-do-norte/terrenos/lote-em-condominio-alto-padrao-em-mossoro-1191235518,10/Jul/2023,22:57:59
Terrenos,,R$ 380.000,Bela Vista,Mossoró,RN,1440m²,KM IMÓVEIS,11/04/2023,https://rn.olx.com.br/rio-grande-do-norte/terrenos/venda-terreno-ao-lado-do-boulevard-residence-em-mossoro-1043601910,10/Jul/2023,22:57:59
Terrenos,,R$ 450.000,Nova Betânia,Mossoró,RN,371m²,Baretta Imóveis,29/05/2023,https://rn.olx.com.br/rio-grande-do-norte/terrenos/vendo-lote-no-condominio-alphaville-no-bairro-nova-betania-localizado-na-cidade-de-mosso-1191402774,10/Jul/2023,22:57:59
