tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 690.000,Nova Betânia,Mossoró,RN,1471m²,KM IMÓVEIS,18/02/2023,https://rn.olx.com.br/rio-grande-do-norte/terrenos/venda-area-com-1-471m-no-campos-do-conde-em-mossoro-1149097714,06/Mar/2023,21:25:31
Terrenos,,R$ 100.000,Abolição,Mossoró,RN,1080m²,EDC veiculos,06/03/2023,https://rn.olx.com.br/rio-grande-do-norte/terrenos/terreno-com-1-080m-na-pousada-das-termas-em-mossoro-rn-885969073,06/Mar/2023,21:25:31
Terrenos,,R$ 70.000,Santo Antônio,Mossoró,RN,240m²,KM IMÓVEIS,23/02/2023,https://rn.olx.com.br/rio-grande-do-norte/terrenos/venda-terreno-no-bairro-santo-antonio-em-mossoro-1043606659,06/Mar/2023,21:25:31
Terrenos,,R$ 20.000,Presidente Costa e Silva,Mossoró,RN,200m²,Thereza Leite,04/03/2023,https://rn.olx.com.br/rio-grande-do-norte/terrenos/terreno-no-costa-e-silva-1154565256,06/Mar/2023,21:25:31
Terrenos,,R$ 160.000,Presidente Costa e Silva,Mossoró,RN,1408m²,leonildo,24/02/2023,https://rn.olx.com.br/rio-grande-do-norte/terrenos/oportunidade-para-investidores-e-construtores-esc-publica-1151013798,06/Mar/2023,21:25:31
Terrenos,,R$ 260.000,Abolição,Mossoró,RN,120m²,Estevaz,27/02/2023,https://rn.olx.com.br/rio-grande-do-norte/terrenos/asds-1152257756,06/Mar/2023,21:25:31
Terrenos,,R$ 60.000,Planalto Treze de Maio,Mossoró,RN,432m²,Rafael M.,02/03/2023,https://rn.olx.com.br/rio-grande-do-norte/terrenos/terreno-murado-no-liberdade-i-mossoro-rn-1153815592,06/Mar/2023,21:25:31
Terrenos,,R$ 700.000,Nova Betânia,Mossoró,RN,1216m²,KM IMÓVEIS,05/03/2023,https://rn.olx.com.br/rio-grande-do-norte/terrenos/venda-amplo-terreno-de-esquina-nova-betania-em-mossoro-1043592674,06/Mar/2023,21:25:31
Terrenos,,R$ 5.000,Abolição,Mossoró,RN,110m²,Visão Imobiliária,23/02/2023,https://rn.olx.com.br/rio-grande-do-norte/terrenos/terreno-canteiro-de-obras-em-mossoro-1016137429,06/Mar/2023,21:25:31
Terrenos,,R$ 80.000,Rincão,Mossoró,RN,500m²,KM IMÓVEIS,25/02/2023,https://rn.olx.com.br/rio-grande-do-norte/terrenos/venda-terrenos-disponiveis-no-loteamento-alto-das-brisas-em-mossoro-1074008140,06/Mar/2023,21:25:31
Terrenos,,R$ 11.000.000,Alto da Conceição,Mossoró,RN,774m²,Visão Imobiliária,18/02/2023,https://rn.olx.com.br/rio-grande-do-norte/terrenos/terreno-em-mossoro-1016135868,06/Mar/2023,21:25:32
Terrenos,,R$ 1.700.000,Planalto Treze de Maio,Mossoró,RN,4685m²,KM IMÓVEIS,26/02/2023,https://rn.olx.com.br/rio-grande-do-norte/terrenos/venda-terreno-disponivel-para-venda-no-bairro-p-treze-de-maio-em-mossoro-1044061137,06/Mar/2023,21:25:32
