tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 200.000,,Serra de São Bento,RN,5000m²,IMÓVEIS POTIGUARES,13/03/2023,https://rn.olx.com.br/rio-grande-do-norte/terrenos/vendo-terreno-em-serra-de-sao-bento-rn-1094488162,22/Mar/2023,21:03:27
Terrenos,,R$ 70.000,,Serra de São Bento,RN,240m²,JR,02/02/2023,https://rn.olx.com.br/rio-grande-do-norte/terrenos/oportunidade--terreno-em-serra-de-sao-bento-rn-1023138502,22/Mar/2023,21:03:27
Terrenos,,R$ 20.000,,Serra de São Bento,RN,128m²,carla.moises34,14/03/2023,https://rn.olx.com.br/rio-grande-do-norte/terrenos/terreno-8x16-1159021127,22/Mar/2023,21:03:27
Venda - casa em rua pública,2,R$ 25.000,,Serra de São Bento,RN,100m²,Carlos pontes,28/01/2023,https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-em-rua-popular-em-serra-de-sao-bento-1139827008,22/Mar/2023,21:03:27
Terrenos,,R$ 29.999,,Serra de São Bento,RN,1800m²,Caio César,18/03/2023,https://rn.olx.com.br/rio-grande-do-norte/terrenos/invista-na-regiao-do-parque-estadual-pedra-da-boca-1160932228,22/Mar/2023,21:03:27
Terrenos,,R$ 30.000,,Serra de São Bento,RN,200m²,IMÓVEIS POTIGUARES,16/03/2023,https://rn.olx.com.br/rio-grande-do-norte/terrenos/vendo-lotes-em-serra-de-sao-bento-rn-1094487342,22/Mar/2023,21:03:27
Terrenos,,R$ 35.000,,Serra de São Bento,RN,200m²,Jorge,15/03/2023,https://rn.olx.com.br/rio-grande-do-norte/terrenos/vendo-lote-1159430543,22/Mar/2023,21:03:27
Terrenos,,R$ 20.000,,Serra de São Bento,RN,200m²,IMÓVEIS POTIGUARES,22/03/2023,https://rn.olx.com.br/rio-grande-do-norte/terrenos/vendo-lotes-em-serra-de-sao-bento-rn-1094483889,22/Mar/2023,21:03:27
Outros,,R$ 13.000,,Serra de São Bento,RN,200m²,Elivelton Pereira,08/03/2023,https://rn.olx.com.br/rio-grande-do-norte/terrenos/terreno-em-serra-de-sao-bento-1156604269,22/Mar/2023,21:03:27
Terrenos,,R$ 50.000,,Serra de São Bento,RN,300m²,IMÓVEIS POTIGUARES,03/03/2023,https://rn.olx.com.br/rio-grande-do-norte/terrenos/vendo-lotes-em-serra-de-sao-bento-rio-grande-do-norte-rn-1093686449,22/Mar/2023,21:03:27
Terrenos,,R$ 0,,Serra de São Bento,RN,,Suzana,05/03/2023,https://rn.olx.com.br/rio-grande-do-norte/terrenos/varios-terrenos-em-serra-de-sao-bento-e-monte-das-gameleiras-1124149891,22/Mar/2023,21:03:27
Terrenos,,R$ 100.000,,Serra de São Bento,RN,1000m²,terreno na serra,24/01/2023,https://rn.olx.com.br/rio-grande-do-norte/terrenos/terreno-em-serra-de-sao-bento-1137770744,22/Mar/2023,21:03:27
Terrenos,,null,,Serra de São Bento,RN,4800m²,Marinice Santana,06/02/2023,https://rn.olx.com.br/rio-grande-do-norte/terrenos/vende-se-terreno-de-4-800-m2-no-sitio-cruz-1143581146,22/Mar/2023,21:03:27
Terrenos,,R$ 39.000,,Serra de São Bento,RN,750m²,Gugu SSB,24/02/2023,https://rn.olx.com.br/rio-grande-do-norte/terrenos/vende-se-ou-troca-se-terreno-1150944505,22/Mar/2023,21:03:27
Terrenos,,R$ 30.000,,Serra de São Bento,RN,300m²,ADEGUINAL JUNIOR,20/02/2023,https://rn.olx.com.br/rio-grande-do-norte/terrenos/vende-se-terreno-em-serra-de-sao-bento-rn-em-condominio-fechado-com-200-00m-e-avulsos-962501326,22/Mar/2023,21:03:27
Terrenos,,R$ 0,,Serra de São Bento,RN,240m²,Almir,02/03/2023,https://rn.olx.com.br/rio-grande-do-norte/terrenos/terreno-15-x-16-serra-de-sao-bento-rn-1153606413,22/Mar/2023,21:03:27
Terrenos,,R$ 0,,Serra de São Bento,RN,450m²,Vanessa Gurgel,07/03/2023,https://rn.olx.com.br/rio-grande-do-norte/terrenos/lotes-na-serra-de-sao-bento-1155718915,22/Mar/2023,21:03:27
Terrenos,,R$ 55.000,,Serra de São Bento,RN,200m²,Elsynho,30/01/2023,https://rn.olx.com.br/rio-grande-do-norte/terrenos/um-dos-melhores-lugares-da-serra-1140394220,22/Mar/2023,21:03:27
Terrenos,,R$ 350.000,,Serra de São Bento,RN,20000m²,IMÓVEIS POTIGUARES,08/03/2023,https://rn.olx.com.br/rio-grande-do-norte/terrenos/vendo-terreno-com-2-hectares-em-serra-de-sao-bento-rn-1094486863,22/Mar/2023,21:03:28
Terrenos,,R$ 220.000,,Serra De São Bento,RN,,Marcos,09/03/2023,https://rn.olx.com.br/rio-grande-do-norte/terrenos/terreno-na-av-boa-sorte-21x50-1156855901,22/Mar/2023,21:03:28
Terrenos,,R$ 90.163,,Serra de São Bento,RN,513m²,Stjames Construcoes e Incorporacoes Ltda,01/09/2022,https://rn.olx.com.br/rio-grande-do-norte/terrenos/excelente-oportunidade-de-lote-na-serra-de-sao-bento-rn-1078564784,22/Mar/2023,21:03:28
