tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 45.000,,Cruz Alta,RS,750m²,Douglas Danzmann,04/09/2023,https://rs.olx.com.br/regioes-de-santa-maria-uruguaiana-e-cruz-alta/terrenos/terreno-de-barbada-em-paverama-rs-1230127288,06/Oct/2023,20:10:39
Terrenos,,R$ 65.000,Tamoio,Cruz Alta,RS,621m²,IMOBILIARIAS ASSOCIADAS,04/07/2023,https://rs.olx.com.br/regioes-de-santa-maria-uruguaiana-e-cruz-alta/terrenos/terreno-a-venda-no-bairro-tamoi0-proximo-a-sementes-aurora-em-cruz-alta-rs-1205895789,06/Oct/2023,20:10:39
Venda - apartamento padrão,3,R$ 950.000,Centro,Cruz Alta,RS,257m²,RFB- Negócios Corporativos,04/10/2023,https://rs.olx.com.br/regioes-de-santa-maria-uruguaiana-e-cruz-alta/imoveis/oportunidade-apto-alto-padrao-em-cruz-alta-piso-aquecido-257m2-3-suites-1163130880,06/Oct/2023,20:10:39
Venda - casa em vila,2,R$ 300.000,São Genaro,Cruz Alta,RS,180m²,Araujo,12/09/2023,https://rs.olx.com.br/regioes-de-santa-maria-uruguaiana-e-cruz-alta/imoveis/casa-e-sala-comercial-1232690709,06/Oct/2023,20:10:39
Venda - apartamento padrão,3,R$ 160.000,Toríbio Veríssimo,Cruz Alta,RS,,Dani W.,07/09/2023,https://rs.olx.com.br/regioes-de-santa-maria-uruguaiana-e-cruz-alta/imoveis/apartamento-em-centro-cruz-alta-rs-1231317187,06/Oct/2023,20:10:39
Terrenos,,R$ 750.000,Schettert,Cruz Alta,RS,6404m²,Ali,20/09/2023,https://rs.olx.com.br/regioes-de-santa-maria-uruguaiana-e-cruz-alta/terrenos/vendo-terreno-com-6-404m-1235917330,06/Oct/2023,20:10:40
Venda - casa em rua pública,2,R$ 105.298,Santa Terezinha,Cruz Alta,RS,221m²,Rafael A. Matias,06/04/2023,https://rs.olx.com.br/regioes-de-santa-maria-uruguaiana-e-cruz-alta/imoveis/oportunidade-casa-59-15m-pv-e-221m-tr-abaixo-valor-mercado-cruz-alta-rs-rafael-matias-1169372276,06/Oct/2023,20:10:40
Venda - casa em rua pública,2,R$ 199.206,Melvin Jones,Cruz Alta,RS,364m²,Imobiliária Miellis Retomados,05/08/2023,https://rs.olx.com.br/regioes-de-santa-maria-uruguaiana-e-cruz-alta/imoveis/cruz-alta-casa-padrao---melvin-jones-1218803064,06/Oct/2023,20:10:40
Venda - casa em rua pública,2,R$ 199.206,Melvin Jones,Cruz Alta,RS,364m²,PRIME RESIDENCIAL LTDA-ME,15/09/2023,https://rs.olx.com.br/regioes-de-santa-maria-uruguaiana-e-cruz-alta/imoveis/cruz-alta-casa-padrao---melvin-jones-1234242107,06/Oct/2023,20:10:40
Venda - casa em rua pública,2,R$ 199.206,Melvin Jones,Cruz Alta,RS,181m²,NELCI ROSSI CHOLLET,20/07/2023,https://rs.olx.com.br/regioes-de-santa-maria-uruguaiana-e-cruz-alta/imoveis/casa-para-venda-com-181-metros-quadrados-com-2-quartos-em-melvin-jones-cruz-alta-rs-1212687904,06/Oct/2023,20:10:40
Venda - casa em rua pública,3,R$ 177.650,Jung,Cruz Alta,RS,240m²,Rafael A. Matias,07/05/2023,https://rs.olx.com.br/regioes-de-santa-maria-uruguaiana-e-cruz-alta/imoveis/oportunidade-casa-175-66m-pv-e-240m-tr-abaixo-valor-mercado-cruz-alta-rs-rafael-matias-1182115887,06/Oct/2023,20:10:40
Venda - casa em vila,3,R$ 240.000,Independência,Cruz Alta,RS,70m²,Tatiane,11/09/2023,https://rs.olx.com.br/regioes-de-santa-maria-uruguaiana-e-cruz-alta/imoveis/casa-em-alvenaria-1232464387,06/Oct/2023,20:10:40
Venda - casa em condominio fechado,2,R$ 240.000,Jung,Cruz Alta,RS,70m²,Airton,03/10/2023,https://rs.olx.com.br/regioes-de-santa-maria-uruguaiana-e-cruz-alta/imoveis/casa-em-condominio-1231064700,06/Oct/2023,20:10:40
Venda - casa em rua pública,5 ou mais,R$ 1.790.000,Pedro Bonini,Cruz Alta,RS,527m²,Jonathan D,04/09/2023,https://rs.olx.com.br/regioes-de-santa-maria-uruguaiana-e-cruz-alta/imoveis/residencia-bonini-i-alto-padrao-527-90m-6-quartos-5-suites-1196449391,06/Oct/2023,20:10:40
