tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 85.000,Rincão da Madalena,Gravataí,RS,180m²,Lecio Barros,05/10/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/terrenos/terreno-esquina-gravatai-1236850930,06/Oct/2023,19:08:47
Terrenos,,R$ 138.000,Morada do Vale III,Gravataí,RS,300m²,ELLEVA TRANSAÇÕES IMOBILIÁRIAS,05/10/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/terrenos/terreno-a-venda-morada-do-vale-3-1240725686,06/Oct/2023,19:08:47
Outros,,R$ 75.000,Barnabé,Gravataí,RS,504m²,marcio,06/10/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/terrenos/terreno-estilo-sitio-com-2-casas-barbada-ac-carro-1240925352,06/Oct/2023,19:08:47
Terrenos,,R$ 99.000,Neópolis,Gravataí,RS,132m²,ELLEVA TRANSAÇÕES IMOBILIÁRIAS,05/10/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/terrenos/terreno-a-venda-neopolis-1240725502,06/Oct/2023,19:08:47
Terrenos,,R$ 239.900,Parque dos Anjos,Gravataí,RS,300m²,ELLEVA TRANSAÇÕES IMOBILIÁRIAS,05/10/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/terrenos/terreno-a-venda-parque-dos-anjos-1240725731,06/Oct/2023,19:08:47
Terrenos,,R$ 239.900,Parque dos Anjos,Gravataí,RS,300m²,ELLEVA TRANSAÇÕES IMOBILIÁRIAS,05/10/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/terrenos/terreno-a-venda-parque-do-anjos-1240725725,06/Oct/2023,19:08:47
Terrenos,,R$ 59.000,Mato Alto,Gravataí,RS,544m²,Lions Negócios Imobiliários,05/10/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/terrenos/terreno-a-venda-544-m-mato-alto-gravatai-rs-1240515712,06/Oct/2023,19:08:47
Terrenos,,R$ 650.000,Barnabé,Gravataí,RS,1270m²,ELLEVA TRANSAÇÕES IMOBILIÁRIAS,05/10/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/terrenos/terreno-a-venda-barnabe-1240725510,06/Oct/2023,19:08:47
Terrenos,,R$ 904.000,São Vicente,Gravataí,RS,579m²,ELLEVA TRANSAÇÕES IMOBILIÁRIAS,05/10/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/terrenos/terreno-a-venda-sao-vicente-1240725732,06/Oct/2023,19:08:47
Terrenos,,R$ 280.000,Sítio Sobrado,Gravataí,RS,615m²,ELLEVA TRANSAÇÕES IMOBILIÁRIAS,04/10/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/terrenos/terreno-a-venda-sitio-sobrado-1240348565,06/Oct/2023,19:08:47
