tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Venda - casa em condominio fechado,4,R$ 2.980.000,Daltro Filho,Imigrante,RS,247m²,Absoluta Imóveis,30/06/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/imoveis/xangri-la-casa-de-condominio-condominio-sea-coast-1204586661,06/Oct/2023,21:51:44
Venda - casa em condominio fechado,5 ou mais,R$ 6.350.000,Daltro Filho,Imigrante,RS,398m²,Absoluta Imóveis,18/08/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/imoveis/xangri-la-casa-de-condominio-condominio-enseada-lagos-de-xangri-la-1223571890,06/Oct/2023,21:51:44
Venda - casa em condominio fechado,2,R$ 2.890.000,Daltro Filho,Imigrante,RS,230m²,Samaro Imóveis,20/07/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/imoveis/casas-e-sobrados-em-condominio-fechado-bairro-enseada-1212605514,06/Oct/2023,21:51:44
Venda - casa em condominio fechado,5 ou mais,R$ 5.200.000,Daltro Filho,Imigrante,RS,393m²,Absoluta Imóveis,02/06/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/imoveis/xangri-la-casa-de-condominio-condominio-enseada-lagos-de-xangri-la-1193391730,06/Oct/2023,21:51:44
Venda - casa em condominio fechado,2,R$ 1.590.000,Daltro Filho,Imigrante,RS,145m²,Samaro Imóveis,25/03/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/imoveis/casas-e-sobrados-em-condominio-fechado-bairro-xangri-la-1125889900,06/Oct/2023,21:51:44
Terrenos,,R$ 424.000,,Imigrante,RS,75000m²,Lajeado Imóveis,01/09/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/terrenos/area-a-venda-interior-imigrante-rs-1228893519,06/Oct/2023,21:51:44
Venda - casa em condominio fechado,4,R$ 3.200.000,Daltro Filho,Imigrante,RS,280m²,Absoluta Imóveis,25/03/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/imoveis/xangri-la-casa-de-condominio-condominio-malibu-beach-residence-1038371022,06/Oct/2023,21:51:44
Venda - casa em condominio fechado,2,R$ 5.200.000,Daltro Filho,Imigrante,RS,360m²,Samaro Imóveis,28/03/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/imoveis/casas-e-sobrados-em-condominio-fechado-bairro-centro-1086455243,06/Oct/2023,21:51:44
Venda - casa em condominio fechado,2,R$ 2.200.000,Daltro Filho,Imigrante,RS,242m²,Samaro Imóveis,12/04/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/imoveis/casas-e-sobrados-em-condominio-fechado-bairro-xangri-la-1084629606,06/Oct/2023,21:51:44
Venda - casa em condominio fechado,5 ou mais,R$ 7.490.000,Daltro Filho,Imigrante,RS,467m²,Absoluta Imóveis,06/07/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/imoveis/xangri-la-casa-de-condominio-condominio-sense-1207079492,06/Oct/2023,21:51:44
Venda - casa em condominio fechado,4,R$ 7.000.000,Daltro Filho,Imigrante,RS,464m²,Samaro Imóveis,15/07/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/imoveis/casa-em-condominio-4-dormitorios-bairro-enseada-1210722307,06/Oct/2023,21:51:44
Venda - casa em condominio fechado,2,R$ 8.900.000,Daltro Filho,Imigrante,RS,412m²,Samaro Imóveis,03/04/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/imoveis/casas-e-sobrados-em-condominio-fechado-bairro-centro-1086455231,06/Oct/2023,21:51:44
Venda - casa em condominio fechado,3,R$ 2.900.000,Daltro Filho,Imigrante,RS,220m²,Absoluta Imóveis,30/06/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/imoveis/xangri-la-casa-de-condominio-condominio-enseada-lagos-de-xangri-la-1204668631,06/Oct/2023,21:51:44
Venda - casa em condominio fechado,4,R$ 2.890.000,Daltro Filho,Imigrante,RS,190m²,Absoluta Imóveis,08/06/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/imoveis/xangri-la-casa-de-condominio-condominio-enseada-lagos-de-xangri-la-1195716942,06/Oct/2023,21:51:44
