tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 215.000,,Morro Reuter,RS,300m²,A & K NEGÓCIOS IMOBILIÁRIOS,30/08/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/terrenos/terreno-a-venda-300-m-por-r-215-000-centro-morro-reuter-rio-grande-do-sul-1228210740,06/Oct/2023,22:05:01
Terrenos,,R$ 109.690,,Morro Reuter,RS,573m²,USUÁRIO NEWCORE,26/09/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/terrenos/lote-em-br-116-km-213--birkenthal-morro-reuter-rs-1237677328,06/Oct/2023,22:05:01
Terrenos,,R$ 90.000,,Morro Reuter,RS,573m²,josi.pass,31/08/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/terrenos/terreno-1228427418,06/Oct/2023,22:05:01
Terrenos,,R$ 374.780,,Morro Reuter,RS,6992m²,USUÁRIO NEWCORE,07/09/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/terrenos/lote-em-br116-km-213-birkenthal-morro-reuter-rs-1231155817,06/Oct/2023,22:05:01
Terrenos,,R$ 109.380,,Morro Reuter,RS,410m²,USUÁRIO NEWCORE,18/09/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/terrenos/lote-em-caminho-de-pedestre-tania-bervian-birkenthal-morro-reuter-rs-1234911514,06/Oct/2023,22:05:01
Terrenos,,R$ 1.600.000,,Morro Reuter,RS,91000m²,Auxiliadora Predial - Novo Hamburgo,29/09/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/terrenos/morro-reuter-terreno-padrao-sao-jose-1238892100,06/Oct/2023,22:05:01
Terrenos,,R$ 175.000,,Morro Reuter,RS,459m²,Imobiliária Fábio Dapper,27/09/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/terrenos/terreno-a-venda-no-bairro-linha-gorgen-no-morro-reuter-rs-ref-1518-1237929598,06/Oct/2023,22:05:01
Terrenos,,R$ 2.250.000,,Morro Reuter,RS,35000m²,Máffer Imóveis,26/04/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/terrenos/area-para-venda-35000m-0-dormitorios-centro-1177491305,06/Oct/2023,22:05:01
Terrenos,,R$ 450.000,,Morro Reuter,RS,70000m²,Huendel,09/09/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/terrenos/linda-vista-na-serra-30-km-de-gramado-aceito-proposta-1221715295,06/Oct/2023,22:05:01
Terrenos,,R$ 107.000,,Morro Reuter,RS,573m²,Imobiliária Fábio Dapper,15/06/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/terrenos/terreno-a-venda-no-bairro-birckenthal-em-morro-reuter-rs-ref-1069-1198336312,06/Oct/2023,22:05:01
Terrenos,,R$ 180.900,,Morro Reuter,RS,1503m²,Crédito Real | NH Centro,10/08/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/terrenos/terreno-a-venda-no-morro-reuter-rs-1220723144,06/Oct/2023,22:05:01
Terrenos,,R$ 215.000,,Morro Reuter,RS,490m²,Imobiliária Fábio Dapper,18/04/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/terrenos/terreno-de-esquina-a-venda-na-vila-steil-em-morro-reuter-rs-ref-1317-1174372203,06/Oct/2023,22:05:01
Terrenos,,R$ 480.000,,Morro Reuter,RS,30000m²,AK IMÓVEIS,16/04/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/terrenos/area-de-terra-com-vista-e-acude-a-venda-em-morro-reuter-rs-1109486951,06/Oct/2023,22:05:01
Terrenos,,R$ 185.000,,Morro Reuter,RS,453m²,Imobiliária Fábio Dapper,29/04/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/terrenos/terreno-a-venda-no-centro-morro-reuter-rs-ref-1392-1178835575,06/Oct/2023,22:05:01
Terrenos,,R$ 40.000,,Morro Reuter,RS,7724m²,ERICSON MURILO GOUVEIA,16/04/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/terrenos/area-para-alugar-7723-m-por-r-40-000-00-planalto-morro-reuter-rs-1140652904,06/Oct/2023,22:05:01
Terrenos,,R$ 115.000,,Morro Reuter,RS,5000m²,Imobiliária Fábio Dapper,01/09/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/terrenos/terreno-a-venda-no-bairro-mato-comprido-no-morro-reuter-rs-ref-1503-1229074949,06/Oct/2023,22:05:01
Terrenos,,R$ 138.300,,Morro Reuter,RS,632m²,Auxiliadora Predial - Novo Hamburgo,13/06/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/terrenos/morro-reuter-terreno-padrao-interior-1197441262,06/Oct/2023,22:05:01
Terrenos,,R$ 1.375.000,,Morro Reuter,RS,1281m²,Ritzel Imóveis,10/06/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/terrenos/terreno-a-venda-centro-morro-reuter-rs-1196215588,06/Oct/2023,22:05:01
Terrenos,,R$ 168.350,,Morro Reuter,RS,461m²,USUÁRIO NEWCORE,12/07/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/terrenos/lote-em-rua-jacob-weber-centro-morro-reuter-rs-1209292999,06/Oct/2023,22:05:01
Terrenos,,R$ 168.570,,Morro Reuter,RS,453m²,USUÁRIO NEWCORE,18/07/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/terrenos/lote-em-rua-jacob-weber-centro-morro-reuter-rs-1211579869,06/Oct/2023,22:05:01
Terrenos,,R$ 160.000,,Morro Reuter,RS,950m²,Imobiliária Fábio Dapper,17/05/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/terrenos/terreno-a-venda-no-bairro-belvedere-no-morro-reuter-rs-ref-1407-1186239186,06/Oct/2023,22:05:01
Terrenos,,R$ 420.000,,Morro Reuter,RS,70000m²,AK IMÓVEIS,16/04/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/terrenos/area-de-terras-com-vista-panoramica-a-venda-na-zona-rural-de-morro-reuter-983311665,06/Oct/2023,22:05:01
Terrenos,,R$ 189.000,,Morro Reuter,RS,300m²,Imobiliária Fábio Dapper,16/04/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/terrenos/terreno-a-venda-no-centro-morro-reuter-rs-ref-1162-1078439519,06/Oct/2023,22:05:01
Terrenos,,R$ 137.800,,Morro Reuter,RS,525m²,Crédito Real | NH Centro,10/08/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/terrenos/terreno-a-venda-no-interior-de-morro-reuter-rs-oferta-1220723105,06/Oct/2023,22:05:01
Terrenos,,R$ 415.000,,Morro Reuter,RS,450m²,Imobiliária Fábio Dapper,15/04/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/terrenos/terreno-a-venda-no-centro-de-morro-reuter-rs-ref-1109-1036522548,06/Oct/2023,22:05:01
Terrenos,,R$ 160.000,,Morro Reuter,RS,950m²,Imobiliária Fábio Dapper,17/05/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/terrenos/terreno-a-venda-no-bairro-belvedere-no-morro-reuter-rs-ref-1408-1186236391,06/Oct/2023,22:05:01
Terrenos,,R$ 179.700,,Morro Reuter,RS,970m²,Crédito Real | NH Centro,10/08/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/terrenos/amplo-terreno-em-morro-reuter-rs-oportunidade-1220723153,06/Oct/2023,22:05:01
Terrenos,,R$ 109.640,,Morro Reuter,RS,573m²,USUÁRIO NEWCORE,28/06/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/terrenos/lote-em-br-116-km-213--birkenthal-morro-reuter-rs-1203474502,06/Oct/2023,22:05:02
Venda - casa em rua pública,3,R$ 1.150.000,,Morro Reuter,RS,193m²,Imobiliária Fábio Dapper,09/09/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/imoveis/casa-03-dormitorios-sendo-01-suite-a-venda-no-bairro-planalto-no-morro-reuter-rs-ref-15-1231820802,06/Oct/2023,22:05:03
