tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Venda - casa em rua pública,3,R$ 318.000,,Teutônia,RS,115m²,Auxiliadora Predial - Parque Germania,21/02/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/imoveis/teutonia-casa-padrao-canabarro-1086511293,06/Oct/2023,22:39:36
Terrenos,,R$ 1.590.000,,Teutônia,RS,11175m²,Lajeado Imóveis,01/09/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/terrenos/area-a-venda-canabarro-teutonia-rs-1228893677,06/Oct/2023,22:39:36
Venda - apartamento padrão,2,R$ 500.000,Languiru,Teutônia,RS,93m²,Auxiliadora Predial - Lajeado,27/09/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/imoveis/teutonia-apartamento-padrao-languiru-1237915852,06/Oct/2023,22:39:36
Venda - casa em rua pública,3,R$ 690.000,,Teutônia,RS,270m²,Calmões Marcello,03/09/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/imoveis/casa-para-venda-com-280-metros-quadrados-com-3-quartos-em-canabarro-teutonia-rs-1229619326,06/Oct/2023,22:39:36
Venda - casa em rua pública,2,R$ 125.450,,Teutônia,RS,383m²,Rafael A. Matias,03/04/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/imoveis/oportunidade-casa-47-90m-pv-e-383m-tr-abaixo-valor-mercado-teutonia-rs-rafael-matias-1105949823,06/Oct/2023,22:39:36
Venda - casa em rua pública,3,R$ 380.000,,Teutônia,RS,,Gabriéli,04/09/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/imoveis/casa-a-venda-1230002272,06/Oct/2023,22:39:36
Venda - casa em rua pública,2,R$ 120.250,,Teutônia,RS,237m²,Rafael A. Matias,08/02/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/imoveis/oportunidade-casa-61-71m-pv-e-237-01m-tr-abaixo-valor-mercado-teutonia-rs-rafael-matias-1129548400,06/Oct/2023,22:39:36
Venda - casa em rua pública,3,R$ 250.000,,Teutônia,RS,110m²,patricia santos,01/09/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/imoveis/casa-1229269358,06/Oct/2023,22:39:36
Venda - apartamento padrão,3,R$ 450.000,,Teutônia,RS,117m²,Lajeado Imóveis,10/03/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/imoveis/apartamento-a-venda-3-quartos-1-suite-1-vaga-languiru-teutonia-rs-947365296,06/Oct/2023,22:39:36
Venda - apartamento padrão,4,R$ 396.000,,Teutônia,RS,172m²,Ligue Imóveis Negócios Imobiliários,25/02/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/imoveis/apartamento-a-venda-172-m-por-r-396-000-00-teutonia-teutonia-rs-1057925217,06/Oct/2023,22:39:36
Venda - casa em rua pública,2,R$ 181.000,,Teutônia,RS,57m²,MARIA SERENA,22/07/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/imoveis/casa-para-venda-com-57-metros-quadrados-com-quartos-em-canabarro-teutonia-rs-1213241360,06/Oct/2023,22:39:36
Venda - casa em rua pública,2,R$ 450.000,,Teutônia,RS,106m²,elenicehsb,12/08/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/imoveis/vendo-casa-1221487475,06/Oct/2023,22:39:36
