tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 220.000,Lucas Araújo,Passo Fundo,RS,,RE/MAX,15/11/2022,https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/terrenos/terreno-a-venda-396-m-por-r-220-000-00-vila-lucas-araujo-passo-fundo-rs-1099664101,23/Jan/2023,19:59:30
Terrenos,,R$ 1.660.000,Petrópolis,Passo Fundo,RS,962m²,Bortolini Imóveis,22/01/2023,https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/terrenos/passo-fundo-terreno-padrao-petropolis-986108150,23/Jan/2023,19:59:33
Terrenos,,R$ 1.100,Boqueirão,Passo Fundo,RS,433m²,ARBO,12/03/2022,https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/terrenos/terreno-pra-locacao-1005882068,23/Jan/2023,19:59:33
Terrenos,,R$ 7.200.000,Santa Marta,Passo Fundo,RS,23420m²,Bortolini Imóveis,13/09/2022,https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/terrenos/passo-fundo-terreno-padrao-loteamento-pampa-1027057652,23/Jan/2023,19:59:33
Terrenos,,R$ 170.000,Integração,Passo Fundo,RS,400m²,CORATTO IMOVEIS LTDA,26/06/2022,https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/terrenos/terreno-para-venda-em-integracao-passo-fundo-rs-6524-1050135819,23/Jan/2023,19:59:33
Terrenos,,R$ 1.200,Boqueirão,Passo Fundo,RS,550m²,ARBO,12/03/2022,https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/terrenos/terreno-comercial-1005883454,23/Jan/2023,19:59:33
Terrenos,,R$ 168.000,São Cristóvão,Passo Fundo,RS,,RE/MAX,28/10/2022,https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/terrenos/terreno-proximo-ao-compre-bem-perimetral-1102695284,23/Jan/2023,19:59:33
Terrenos,,R$ 1.300.000,Centro,Passo Fundo,RS,579m²,Bortolini Imóveis,14/09/2022,https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/terrenos/passo-fundo-terreno-padrao-centro-986108791,23/Jan/2023,19:59:33
Terrenos,,R$ 259.000,Valinhos,Passo Fundo,RS,744m²,Bortolini Imóveis,09/09/2022,https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/terrenos/passo-fundo-terreno-padrao-vila-industrial-986108726,23/Jan/2023,19:59:33
Terrenos,,R$ 335.000,Vila Mattos,Passo Fundo,RS,810m²,Bortolini Imóveis,10/09/2022,https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/terrenos/passo-fundo-terreno-padrao-vila-matos-1026017278,23/Jan/2023,19:59:33
Terrenos,,R$ 495.000,Santa Maria,Passo Fundo,RS,375m²,Bortolini Imóveis,22/10/2022,https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/terrenos/passo-fundo-terreno-padrao-sao-cristovao-1036535359,23/Jan/2023,19:59:33
Terrenos,,R$ 220.000,Vila Mattos,Passo Fundo,RS,687m²,ARBO IMÓVEIS,21/01/2023,https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/terrenos/amplo-terreno-no-maggi-1136579023,23/Jan/2023,19:59:33
Terrenos,,R$ 290.000,Centro,Passo Fundo,RS,637m²,LORENZATO & SANTOS,03/09/2022,https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/terrenos/otimo-terreno-central-amplo-1079592644,23/Jan/2023,19:59:33
Terrenos,,R$ 135.000,Vila Cruzeiro,Passo Fundo,RS,200m²,Bortolini Imóveis,11/09/2022,https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/terrenos/passo-fundo-terreno-padrao-vila-cruzeiro-1026017905,23/Jan/2023,19:59:33
