tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 259.000,Nenê Graeff,Passo Fundo,RS,324m²,BENVEGNU IMOVEIS EIRELI,05/05/2023,https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/terrenos/central-park-no-centro-de-tudo-o-parque-linear-1181212391,24/Jul/2023,23:44:47
Terrenos,,R$ 420.200,Cidade Nova,Passo Fundo,RS,444m²,RE/MAX Perfeccta,23/04/2023,https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/terrenos/terreno-cidade-nova-444m2-1176264155,24/Jul/2023,23:44:47
Terrenos,,R$ 110.000,Centro,Passo Fundo,RS,909m²,Arnel Imóveis,28/05/2023,https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/terrenos/terreno-de-frente-para-barragem-do-capingui-em-condominio-fechado-1191090667,24/Jul/2023,23:44:47
Terrenos,,R$ 250.000,Centro,Passo Fundo,RS,300m²,RE/MAX Perfeccta,12/05/2023,https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/terrenos/terreno-privilegiado-e-exclusivo-para-venda-no-bairro-alamos-1184305991,24/Jul/2023,23:44:48
Terrenos,,R$ 345.000,São José,Passo Fundo,RS,240m²,BENVEGNU IMOVEIS EIRELI,12/05/2023,https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/terrenos/terreno-em-condominio-fechado-1184529859,24/Jul/2023,23:44:48
Terrenos,,R$ 268.000,Santa Maria,Passo Fundo,RS,300m²,BENVEGNU IMOVEIS EIRELI,12/05/2023,https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/terrenos/alamos-bairro-parque-1184304919,24/Jul/2023,23:44:48
Terrenos,,R$ 149.900,Integração,Passo Fundo,RS,1700m²,RE/MAX Perfeccta,16/05/2023,https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/terrenos/otima-oportunidade-para-passar-o-final-de-semana-e-festas-1186067474,24/Jul/2023,23:44:48
Terrenos,,R$ 555.000,Centro,Passo Fundo,RS,330m²,EDK INTERMEDIAÇÃO E ADMINISTRAÇÃO DE IMÓVEIS,17/05/2023,https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/terrenos/terreno-a-venda-330-m-por-r-555-000-00-condominio-terras-alpha-sao-jose-dos-campos-1186239461,24/Jul/2023,23:44:48
Terrenos,,R$ 905.000,Centro,Passo Fundo,RS,560m²,ICASA CONSULTORIA E NEGOCIOS IMOBILIARIOS LTDA ME,25/05/2023,https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/terrenos/terreno-a-venda-560-m-por-r-905-000-00-condominio-terras-alpha-sao-jose-dos-campos-1189797820,24/Jul/2023,23:44:49
Terrenos,,R$ 8.000.000,São Cristóvão,Passo Fundo,RS,2383m²,Arnel Imóveis,28/05/2023,https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/terrenos/terreno-comercial-no-bairro-sao-cristovao-para-comprar-1191090548,24/Jul/2023,23:44:49
Terrenos,,R$ 25.000,Vila Cruzeiro,Passo Fundo,RS,0m²,Eric,28/06/2023,https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/terrenos/vendo-terreno-de-direito-9x19-bairro-cruzeiro-1203827816,24/Jul/2023,23:44:49
Terrenos,,R$ 2.300.000,Boqueirão,Passo Fundo,RS,,RE/MAX LUMINA,18/05/2023,https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/terrenos/terreno-na-avenida-brasil-oeste-boqueirao-1186741768,24/Jul/2023,23:44:49
Terrenos,,R$ 400.000,Petrópolis,Passo Fundo,RS,600m²,RE/MAX Perfeccta,14/05/2023,https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/terrenos/terreno-no-central-park-600m-1185089968,24/Jul/2023,23:44:49
Terrenos,,R$ 235.000,São Luiz Gonzaga,Passo Fundo,RS,300m²,RE/MAX Perfeccta,27/06/2023,https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/terrenos/terreno-no-bairro-alamos-1202914063,24/Jul/2023,23:44:49
Terrenos,,R$ 135.000,Santa Marta,Passo Fundo,RS,342m²,Arnel Imóveis,28/05/2023,https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/terrenos/terreno-no-bairro-santa-marta-para-comprar-1191090561,24/Jul/2023,23:44:49
Terrenos,,R$ 370.000,Nenê Graeff,Passo Fundo,RS,390m²,BENVEGNU IMOVEIS EIRELI,11/05/2023,https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/terrenos/central-park-no-centro-de-tudo-o-parque-linear-1183837406,24/Jul/2023,23:44:49
Terrenos,,R$ 319.900,São José,Passo Fundo,RS,240m²,RE/MAX Perfeccta,25/06/2023,https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/terrenos/lote-09-quadra-t-terrano-condominio-clube-1202169037,24/Jul/2023,23:44:49
Terrenos,,R$ 380.000,Vera Cruz,Passo Fundo,RS,625m²,Arnel Imóveis,28/05/2023,https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/terrenos/terreno-na-vera-cruz-para-comprar-1191090575,24/Jul/2023,23:44:49
