tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 155.000,,Três Coroas,RS,405m²,Imobiliária Vetro Imóveis,03/03/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/terrenos/terreno-no-bairro-sander-em-tres-coroas-1154021678,23/Mar/2023,00:00:46
Terrenos,,R$ 160.000,,Três Coroas,RS,423m²,Imobiliária Vetro Imóveis,03/03/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/terrenos/terreno-no-bairro-sander-em-tres-coroas-1154020775,23/Mar/2023,00:00:46
Outros,,null,,Três Coroas,RS,,Perez,11/03/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/terrenos/servico-de-filmagem-e-fotografia-com-drone-em-alta-qualidade-1157873162,23/Mar/2023,00:00:46
Terrenos,,R$ 160.000,,Três Coroas,RS,423m²,Imobiliária Vetro Imóveis,03/03/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/terrenos/terreno-no-bairro-sander-na-cidade-de-tres-coroas-1154021524,23/Mar/2023,00:00:46
Venda - apartamento padrão,3,R$ 525.000,,Três Coroas,RS,77m²,SANTIAGO,20/03/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/imoveis/apartamento-no-espinheiro-3q-2gar-oportunidade-1161834355,23/Mar/2023,00:00:46
Terrenos,,R$ 106.500,,Três Coroas,RS,395m²,Imobiliária Vetro Imóveis,03/03/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/terrenos/terreno-no-bairro-quilombo-em-tres-coroas-1154034563,23/Mar/2023,00:00:46
Terrenos,,R$ 160.000,,Três Coroas,RS,450m²,Imobiliária Vetro Imóveis,03/03/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/terrenos/terreno-no-bairro-quilombo-em-tres-coroas-1154020050,23/Mar/2023,00:00:46
Terrenos,,R$ 352.000,,Três Coroas,RS,1268m²,Imobiliária Vetro Imóveis,03/03/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/terrenos/terreno-no-loteamento-lauffer-em-tres-coroas-1154020025,23/Mar/2023,00:00:46
Terrenos,,R$ 210.000,,Três Coroas,RS,933m²,Triunfo Imóveis,13/02/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/terrenos/terreno-com-vista-de-cinema-em-tres-coroas-1146760718,23/Mar/2023,00:00:46
Terrenos,,R$ 130.000,,Três Coroas,RS,360m²,CARMEN,08/02/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/terrenos/vendo-terreno-cidade-tres-coroas-1144339390,23/Mar/2023,00:00:46
Terrenos,,R$ 99.000,,Três Coroas,RS,803m²,regisalencar,22/02/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/terrenos/vendo-2-terrenos-em-tres-coroas-1150104925,23/Mar/2023,00:00:46
Venda - casa em rua pública,2,R$ 500.000,,Três Coroas,RS,128m²,Imobiliária Vetro Imóveis,03/03/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/imoveis/casa-no-bairro-aguas-claras-em-tres-coroas-1154020242,23/Mar/2023,00:00:46
Terrenos,,R$ 30.000,,Três Coroas,RS,,Edson Luiz,12/02/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/terrenos/vendo-terreno-em-igrejinha-divisa-com-tres-coroas-1146353241,23/Mar/2023,00:00:46
Venda - apartamento padrão,3,R$ 1.520.731,,Três Coroas,RS,100m²,Imobiliária Cadore,16/03/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/imoveis/apartamento-3-dormitorios-a-venda-em-torres-1141180990,23/Mar/2023,00:00:46
Venda - casa em condominio fechado,2,R$ 230.000,,Três Coroas,RS,70m²,João S.,14/03/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/imoveis/excelente-apartamento-venda-permuta-1159044552,23/Mar/2023,00:00:46
Venda - apartamento padrão,2,R$ 775.596,,Três Coroas,RS,73m²,Imobiliária Cadore,18/03/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/imoveis/apartamento-2-quartos-a-venda-no-centro-de-torres-1141180614,23/Mar/2023,00:00:46
Venda - casa em rua pública,2,R$ 585.000,,Três Coroas,RS,80m²,Imobiliária Vetro Imóveis,03/03/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/imoveis/casa-no-centro-de-tres-coroas-1154021083,23/Mar/2023,00:00:47
Venda - apartamento padrão,3,R$ 1.428.121,,Três Coroas,RS,106m²,Imobiliária Cadore,16/03/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/imoveis/apartamento-3-quartos-a-venda-em-torres-1141503944,23/Mar/2023,00:00:47
Venda - casa em rua pública,3,R$ 583.000,,Três Coroas,RS,125m²,Andréia,27/01/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/imoveis/ampla-casa-no-centro-de-tres-coroas-conforto-para-sua-familia-1139195849,23/Mar/2023,00:00:47
Venda - casa em rua pública,2,R$ 649.000,,Três Coroas,RS,145m²,Imobiliária Vetro Imóveis,03/03/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/imoveis/casa-no-bairro-sander-em-tres-coroas-1154040666,23/Mar/2023,00:00:47
Venda - casa em rua pública,2,R$ 585.000,,Três Coroas,RS,80m²,Imobiliária Vetro Imóveis,11/03/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/imoveis/casa-no-centro-de-tres-coroas-1113764871,23/Mar/2023,00:00:47
Venda - casa em rua pública,3,R$ 410.000,,Três Coroas,RS,120m²,Realiza Negócios Imobiliários,16/02/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/imoveis/realiza-vende-sitio-em-tres-coroas-1026273292,23/Mar/2023,00:00:47
Venda - casa em rua pública,3,R$ 790.000,,Três Coroas,RS,170m²,Imobiliária Gramado Garden,22/02/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/imoveis/casa-com-3-dormitorios-a-venda-170-m-por-r-790-000-00-figueira-tres-coroas-rs-1017741038,23/Mar/2023,00:00:47
Venda - casa em rua pública,3,R$ 3.498.000,,Três Coroas,RS,336m²,Broker UP,09/02/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/imoveis/casa-terrea-em-linha-28--tres-coroas-1144894058,23/Mar/2023,00:00:47
Venda - casa em vila,2,R$ 250.000,,Três Coroas,RS,1m²,Vanda Lima,01/03/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/imoveis/vende-se-casa-escriturado-1153018236,23/Mar/2023,00:00:47
Venda - casa em rua pública,2,R$ 189.000,,Três Coroas,RS,60m²,Imobiliária Vetro Imóveis,03/03/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/imoveis/casa-no-bairro-sander-em-tres-coroas-1154020192,23/Mar/2023,00:00:47
Venda - casa em rua pública,2,R$ 189.000,,Três Coroas,RS,60m²,Auxiliadora Predial - Gramado,27/02/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/imoveis/tres-coroas-casa-padrao-centro-978772864,23/Mar/2023,00:00:47
Venda - casa em rua pública,2,R$ 200.000,,Três Coroas,RS,99m²,BLACK INVESTIMENTOS IMOBILIARIOS,07/03/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/imoveis/casa-2-dormitorios-a-venda-zona-rural-tres-coroas-rs-1156072848,23/Mar/2023,00:00:47
