tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 85.000,Ponche Verde,Cachoeira do Sul,RS,300m²,Crédito Real | Cachoeira do Sul,18/03/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/terrenos/cachoeira-do-sul-terreno-padrao-ponche-verde-1113681580,23/Mar/2023,00:07:17
Terrenos,,R$ 430.000,Soares,Cachoeira do Sul,RS,774m²,Crédito Real | Cachoeira do Sul,19/03/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/terrenos/cachoeira-do-sul-terreno-padrao-soares-1142559519,23/Mar/2023,00:07:17
Terrenos,,R$ 68.900,Santa Helena,Cachoeira do Sul,RS,,Crédito Real | Cachoeira do Sul,22/03/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/terrenos/cachoeira-do-sul-terreno-padrao-universitario-1057752986,23/Mar/2023,00:07:17
Terrenos,,R$ 159.000,Ponche Verde,Cachoeira do Sul,RS,322m²,Crédito Real | Cachoeira do Sul,22/03/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/terrenos/cachoeira-do-sul-terreno-padrao-ponche-verde-1111586597,23/Mar/2023,00:07:17
Terrenos,,R$ 1.298.500,Volta da Charqueada,Cachoeira do Sul,RS,6125m²,Crédito Real | Cachoeira do Sul,20/03/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/terrenos/cachoeira-do-sul-terreno-padrao-volta-da-charqueada-1121376740,23/Mar/2023,00:07:17
Terrenos,,R$ 106.000,Tibiriça,Cachoeira do Sul,RS,250m²,Crédito Real | Cachoeira do Sul,20/03/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/terrenos/cachoeira-do-sul-terreno-padrao-tibirica-1100046769,23/Mar/2023,00:07:17
Terrenos,,R$ 64.000,Ponche Verde,Cachoeira do Sul,RS,207m²,Crédito Real | Cachoeira do Sul,20/03/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/terrenos/cachoeira-do-sul-terreno-padrao-ponche-verde-1111954517,23/Mar/2023,00:07:17
Terrenos,,R$ 120.000,Soares,Cachoeira do Sul,RS,433m²,Crédito Real | Cachoeira do Sul,21/03/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/terrenos/cachoeira-do-sul-terreno-padrao-soares-1122303388,23/Mar/2023,00:07:17
Terrenos,,R$ 62.000,Tibiriça,Cachoeira do Sul,RS,315m²,Crédito Real | Cachoeira do Sul,19/03/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/terrenos/cachoeira-do-sul-terreno-padrao-tibirica-1057765867,23/Mar/2023,00:07:17
Venda - casa em rua pública,3,R$ 1.800.000,Drews,Cachoeira do Sul,RS,563m²,Crédito Real | Cachoeira do Sul,17/03/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/imoveis/cachoeira-do-sul-casa-padrao-drews-1107719661,23/Mar/2023,00:07:17
Venda - casa em rua pública,2,R$ 229.000,Universitário,Cachoeira do Sul,RS,70m²,Crédito Real | Cachoeira do Sul,15/03/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/imoveis/cachoeira-do-sul-casa-padrao-universitario-1136256729,23/Mar/2023,00:07:17
Terrenos,,R$ 300.000,Santo Antônio,Cachoeira do Sul,RS,1131m²,Crédito Real | Cachoeira do Sul,21/03/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/terrenos/cachoeira-do-sul-terreno-padrao-marques-ribeiro-985331575,23/Mar/2023,00:07:17
Terrenos,,R$ 700.000,Noemia,Cachoeira do Sul,RS,2300m²,Crédito Real | Cachoeira do Sul,18/03/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/terrenos/cachoeira-do-sul-terreno-padrao-noemia-989173699,23/Mar/2023,00:07:17
Venda - casa em rua pública,2,R$ 655.000,Soares,Cachoeira do Sul,RS,385m²,Crédito Real | Cachoeira do Sul,12/03/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/imoveis/cachoeira-do-sul-casa-padrao-soares-1115861899,23/Mar/2023,00:07:17
Terrenos,,R$ 128.000,Soares,Cachoeira do Sul,RS,384m²,Crédito Real | Cachoeira do Sul,21/03/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/terrenos/cachoeira-do-sul-terreno-padrao-soares-991355820,23/Mar/2023,00:07:17
Terrenos,,R$ 480.000,Santa Helena,Cachoeira do Sul,RS,774m²,Crédito Real | Cachoeira do Sul,16/03/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/terrenos/cachoeira-do-sul-terreno-padrao-santa-helena-985331613,23/Mar/2023,00:07:17
Terrenos,,R$ 175.000,Volta da Charqueada,Cachoeira do Sul,RS,600m²,Samir,16/03/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/terrenos/terreno-do-sobrado-lote-16-1132796365,23/Mar/2023,00:07:17
Terrenos,,R$ 90.000,Tibiriça,Cachoeira do Sul,RS,300m²,Crédito Real | Cachoeira do Sul,17/03/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/terrenos/cachoeira-do-sul-terreno-padrao-tibirica-1154003013,23/Mar/2023,00:07:17
Terrenos,,R$ 96.000,Visconde de Mauá,Cachoeira do Sul,RS,1800m²,Crédito Real | Cachoeira do Sul,15/03/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/terrenos/cachoeira-do-sul-terreno-padrao-visconde-de-maua-985331975,23/Mar/2023,00:07:17
Terrenos,,R$ 85.000,Noemia,Cachoeira do Sul,RS,440m²,Crédito Real | Cachoeira do Sul,20/03/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/terrenos/cachoeira-do-sul-terreno-padrao-noemia-985367866,23/Mar/2023,00:07:17
Terrenos,,R$ 120.000,Ponche Verde,Cachoeira do Sul,RS,642m²,Crédito Real | Cachoeira do Sul,19/03/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/terrenos/cachoeira-do-sul-terreno-padrao-ponche-verde-985332023,23/Mar/2023,00:07:17
Terrenos,,R$ 75.000,Visconde de Mauá,Cachoeira do Sul,RS,30m²,Crédito Real | Cachoeira do Sul,14/03/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/terrenos/cachoeira-do-sul-terreno-padrao-visconde-de-maua-1057772548,23/Mar/2023,00:07:17
Terrenos,,R$ 106.000,Soares,Cachoeira do Sul,RS,370m²,Crédito Real | Cachoeira do Sul,16/03/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/terrenos/cachoeira-do-sul-terreno-padrao-soares-1111584833,23/Mar/2023,00:07:17
Terrenos,,R$ 69.000,Ponche Verde,Cachoeira do Sul,RS,394m²,Crédito Real | Cachoeira do Sul,16/03/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/terrenos/cachoeira-do-sul-terreno-padrao-ponche-verde-1112687924,23/Mar/2023,00:07:17
Terrenos,,R$ 90.100,Noemia,Cachoeira do Sul,RS,400m²,Crédito Real | Cachoeira do Sul,13/03/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/terrenos/cachoeira-do-sul-terreno-padrao-noemia-985331563,23/Mar/2023,00:07:17
Terrenos,,R$ 85.000,Visconde de Mauá,Cachoeira do Sul,RS,280m²,Crédito Real | Cachoeira do Sul,21/03/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/terrenos/cachoeira-do-sul-terreno-padrao-prado-985331796,23/Mar/2023,00:07:17
Terrenos,,R$ 110.000,Santo Antônio,Cachoeira do Sul,RS,560m²,Crédito Real | Cachoeira do Sul,21/03/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/terrenos/cachoeira-do-sul-terreno-padrao-santo-antonio-985331623,23/Mar/2023,00:07:17
Terrenos,,R$ 160.000,Visconde de Mauá,Cachoeira do Sul,RS,1800m²,Crédito Real | Cachoeira do Sul,15/03/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/terrenos/cachoeira-do-sul-terreno-padrao-visconde-de-maua-1111101635,23/Mar/2023,00:07:17
Terrenos,,R$ 70.000,Noemia,Cachoeira do Sul,RS,365m²,Crédito Real | Cachoeira do Sul,16/03/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/terrenos/cachoeira-do-sul-terreno-padrao-noemia-1090903257,23/Mar/2023,00:07:17
Terrenos,,R$ 130.000,Noemia,Cachoeira do Sul,RS,300m²,Crédito Real | Cachoeira do Sul,14/03/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/terrenos/cachoeira-do-sul-terreno-padrao-noemia-985331997,23/Mar/2023,00:07:18
Venda - casa em rua pública,1,R$ 180.000,Noemia,Cachoeira do Sul,RS,52m²,Crédito Real | Cachoeira do Sul,22/03/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/imoveis/cachoeira-do-sul-casa-padrao-noemia-1103475357,23/Mar/2023,00:07:18
Terrenos,,R$ 85.000,Soares,Cachoeira do Sul,RS,387m²,Crédito Real | Cachoeira do Sul,11/03/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/terrenos/cachoeira-do-sul-terreno-padrao-soares-985331732,23/Mar/2023,00:07:18
Terrenos,,R$ 466.400,Centro,Cachoeira do Sul,RS,431m²,Crédito Real | Cachoeira do Sul,19/03/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/terrenos/cachoeira-do-sul-terreno-padrao-centro-985332074,23/Mar/2023,00:07:18
Venda - casa em rua pública,2,R$ 650.000,Santa Helena,Cachoeira do Sul,RS,82m²,Crédito Real | Cachoeira do Sul,15/03/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/imoveis/cachoeira-do-sul-casa-padrao-santa-helena-985332136,23/Mar/2023,00:07:18
Terrenos,,R$ 190.000,Santa Helena,Cachoeira do Sul,RS,330m²,Crédito Real | Cachoeira do Sul,12/03/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/terrenos/cachoeira-do-sul-terreno-padrao-santa-helena-985331890,23/Mar/2023,00:07:18
Terrenos,,R$ 122.000,Ponche Verde,Cachoeira do Sul,RS,340m²,Crédito Real | Cachoeira do Sul,08/03/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/terrenos/cachoeira-do-sul-terreno-padrao-ponche-verde-1111954876,23/Mar/2023,00:07:18
Venda - casa em rua pública,2,R$ 583.000,Santa Helena,Cachoeira do Sul,RS,87m²,Crédito Real | Cachoeira do Sul,16/03/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/imoveis/cachoeira-do-sul-casa-padrao-santa-helena-1063764226,23/Mar/2023,00:07:18
Terrenos,,R$ 600.000,Soares,Cachoeira do Sul,RS,935m²,Crédito Real | Cachoeira do Sul,11/03/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/terrenos/cachoeira-do-sul-terreno-padrao-soares-985332026,23/Mar/2023,00:07:18
Terrenos,,R$ 120.000,Soares,Cachoeira do Sul,RS,433m²,Crédito Real | Cachoeira do Sul,08/03/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/terrenos/cachoeira-do-sul-terreno-padrao-soares-1122310993,23/Mar/2023,00:07:18
Terrenos,,R$ 75.000,Ponche Verde,Cachoeira do Sul,RS,310m²,Crédito Real | Cachoeira do Sul,11/03/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/terrenos/cachoeira-do-sul-terreno-padrao-ponche-verde-985331885,23/Mar/2023,00:07:18
Terrenos,,R$ 64.000,Ponche Verde,Cachoeira do Sul,RS,207m²,Crédito Real | Cachoeira do Sul,10/03/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/terrenos/cachoeira-do-sul-terreno-padrao-ponche-verde-1111957610,23/Mar/2023,00:07:18
Venda - casa em rua pública,2,R$ 138.000,Soares,Cachoeira do Sul,RS,360m²,Crédito Real | Cachoeira do Sul,14/03/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/imoveis/cachoeira-do-sul-casa-padrao-soares-1152936601,23/Mar/2023,00:07:18
Terrenos,,R$ 670,Noemia,Cachoeira do Sul,RS,180m²,Crédito Real | Carlos Gomes.,07/08/2022,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/terrenos/cachoeira-do-sul-terreno-padrao-noemia-995880843,23/Mar/2023,00:07:18
Terrenos,,R$ 470.000,Barcelos,Cachoeira do Sul,RS,915m²,Crédito Real | Cachoeira do Sul,19/03/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/terrenos/cachoeira-do-sul-terreno-padrao-barcelos-1154002594,23/Mar/2023,00:07:18
Terrenos,,R$ 90.000,Drews,Cachoeira do Sul,RS,330m²,ines,31/01/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/terrenos/terreno-330-m2-1140623598,23/Mar/2023,00:07:18
Venda - apartamento padrão,4,R$ 850.000,Gonçalves,Cachoeira do Sul,RS,255m²,Crédito Real | Cachoeira do Sul,16/03/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/imoveis/cachoeira-do-sul-apartamento-padrao-goncalves-985331777,23/Mar/2023,00:07:18
Venda - casa em rua pública,2,R$ 360.000,Oliveira,Cachoeira do Sul,RS,588m²,Crédito Real | Cachoeira do Sul,22/03/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/imoveis/cachoeira-do-sul-casa-padrao-oliveira-985331920,23/Mar/2023,00:07:18
Terrenos,,R$ 85.000,Visconde de Mauá,Cachoeira do Sul,RS,280m²,Crédito Real | Cachoeira do Sul,09/03/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/terrenos/cachoeira-do-sul-terreno-padrao-visconde-de-maua-985332069,23/Mar/2023,00:07:18
Venda - casa em rua pública,5 ou mais,R$ 500.000,São José,Cachoeira do Sul,RS,230m²,Crédito Real | Cachoeira do Sul,17/03/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/imoveis/cachoeira-do-sul-casa-padrao-sao-jose-1117163962,23/Mar/2023,00:07:18
Venda - apartamento padrão,3,R$ 1.250.000,Santo Antônio,Cachoeira do Sul,RS,147m²,Crédito Real | Cachoeira do Sul,16/03/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/imoveis/cachoeira-do-sul-apartamento-padrao-santo-antonio-1148005357,23/Mar/2023,00:07:18
Terrenos,,R$ 140.000,Centro,Cachoeira do Sul,RS,520m²,Crédito Real | Cachoeira do Sul,05/03/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/terrenos/cachoeira-do-sul-terreno-padrao-centro-1110587942,23/Mar/2023,00:07:18
Venda - casa em rua pública,3,R$ 212.000,Quinta da Boa Vista,Cachoeira do Sul,RS,80m²,Crédito Real | Cachoeira do Sul,18/03/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/imoveis/cachoeira-do-sul-casa-padrao-quinta-da-boa-vista-1134796381,23/Mar/2023,00:07:18
Venda - casa em rua pública,5 ou mais,R$ 2.600.000,Soares,Cachoeira do Sul,RS,493m²,Crédito Real | Cachoeira do Sul,18/03/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/imoveis/cachoeira-do-sul-casa-padrao-soares-1137439761,23/Mar/2023,00:07:18
Venda - casa em rua pública,2,R$ 160.000,Universitário,Cachoeira do Sul,RS,80m²,Crédito Real | Cachoeira do Sul,16/03/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/imoveis/cachoeira-do-sul-casa-padrao-passo-do-moura-1138486741,23/Mar/2023,00:07:18
Venda - casa em rua pública,2,R$ 270.000,Marina,Cachoeira do Sul,RS,106m²,Crédito Real | Cachoeira do Sul,17/03/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/imoveis/cachoeira-do-sul-casa-padrao-marina-985332072,23/Mar/2023,00:07:18
Venda - casa em rua pública,3,R$ 680.000,Santo Antônio,Cachoeira do Sul,RS,270m²,Crédito Real | Cachoeira do Sul,17/03/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/imoveis/casa-a-venda-1115860829,23/Mar/2023,00:07:18
Venda - casa em rua pública,3,R$ 477.000,Santo Antônio,Cachoeira do Sul,RS,177m²,Crédito Real | Cachoeira do Sul,23/03/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/imoveis/cachoeira-do-sul-casa-padrao-santo-antonio-1027847187,23/Mar/2023,00:07:18
Venda - casa em rua pública,5 ou mais,R$ 1.500.000,Centro,Cachoeira do Sul,RS,140m²,Crédito Real | Cachoeira do Sul,21/03/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/imoveis/sobrado-a-venda-1072201483,23/Mar/2023,00:07:18
Venda - apartamento padrão,2,R$ 205.000,Medianeira,Cachoeira do Sul,RS,53m²,Crédito Real | Cachoeira do Sul,15/03/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/imoveis/cachoeira-do-sul-apartamento-padrao-medianeira-1145271080,23/Mar/2023,00:07:18
Venda - casa em rua pública,5 ou mais,R$ 636.000,Medianeira,Cachoeira do Sul,RS,434m²,Crédito Real | Cachoeira do Sul,15/03/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/imoveis/cachoeira-do-sul-casa-padrao-medianeira-985331735,23/Mar/2023,00:07:18
Venda - casa em rua pública,2,R$ 250.000,Santa Helena,Cachoeira do Sul,RS,387m²,Crédito Real | Cachoeira do Sul,12/03/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/imoveis/cachoeira-do-sul-casa-padrao-santa-helena-1126394168,23/Mar/2023,00:07:18
Venda - casa em rua pública,4,R$ 1.500.000,Santo Antônio,Cachoeira do Sul,RS,369m²,Crédito Real | Cachoeira do Sul,22/03/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/imoveis/cachoeira-do-sul-casa-padrao-santo-antonio-1110590808,23/Mar/2023,00:07:18
Venda - casa em rua pública,2,R$ 280.000,Visconde de Mauá,Cachoeira do Sul,RS,154m²,Crédito Real | Cachoeira do Sul,23/03/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/imoveis/cachoeira-do-sul-casa-padrao-visconde-de-maua-1011621216,23/Mar/2023,00:07:18
Venda - casa em rua pública,3,R$ 340.000,Oliveira,Cachoeira do Sul,RS,133m²,Crédito Real | Cachoeira do Sul,17/03/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/imoveis/cachoeira-do-sul-casa-padrao-oliveira-1126795069,23/Mar/2023,00:07:18
Venda - casa em rua pública,3,R$ 149.000,Soares,Cachoeira do Sul,RS,90m²,Imóveis Crédito Real,15/03/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/imoveis/cachoeira-do-sul-casa-padrao-soares-1159497320,23/Mar/2023,00:07:18
Venda - apartamento padrão,2,R$ 530.000,Santo Antônio,Cachoeira do Sul,RS,106m²,Crédito Real ? Agência Brokers,18/03/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/imoveis/apartamento-2-dormitorios-com-115-42m-privativos-bairro-santo-antonio-1160861826,23/Mar/2023,00:07:18
Venda - casa em rua pública,2,R$ 170.000,Ponche Verde,Cachoeira do Sul,RS,75m²,Crédito Real | Cachoeira do Sul,16/03/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/imoveis/cachoeira-do-sul-casa-padrao-ponche-verde-985331770,23/Mar/2023,00:07:18
Venda - casa em rua pública,3,R$ 532.000,Volta da Charqueada,Cachoeira do Sul,RS,190m²,Crédito Real | Cachoeira do Sul,14/03/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/imoveis/cachoeira-do-sul-casa-padrao-volta-da-charqueada-985331964,23/Mar/2023,00:07:18
Venda - casa em rua pública,3,R$ 636.000,Santo Antônio,Cachoeira do Sul,RS,566m²,Crédito Real | Cachoeira do Sul,14/03/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/imoveis/cachoeira-do-sul-casa-padrao-santo-antonio-1027847265,23/Mar/2023,00:07:18
Venda - casa em rua pública,2,R$ 250.000,Medianeira,Cachoeira do Sul,RS,465m²,Crédito Real | Cachoeira do Sul,13/03/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/imoveis/cachoeira-do-sul-casa-padrao-medianeira-1124920579,23/Mar/2023,00:07:18
Venda - casa em rua pública,1,R$ 130.000,Tibiriça,Cachoeira do Sul,RS,330m²,Imóveis Crédito Real,13/03/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/imoveis/cachoeira-do-sul-casa-padrao-tibirica-1156727307,23/Mar/2023,00:07:18
