tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 300.000,,Estrela,RS,754m²,Auxiliadora Predial - Lajeado,12/03/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/terrenos/estrela-terreno-padrao-pinheiros-1115886439,23/Mar/2023,00:17:21
Terrenos,,R$ 75.000,,Estrela,RS,,Crédito Real I Demandda,05/03/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/terrenos/terreno-a-venda-em-estrela-1118582865,23/Mar/2023,00:17:21
Terrenos,,R$ 290.000,,Estrela,RS,1044m²,Auxiliadora Predial - Lajeado,06/03/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/terrenos/estrela-terreno-padrao-pinheiros-1144705821,23/Mar/2023,00:17:21
Terrenos,,R$ 450.000,,Estrela,RS,974m²,Crédito Real I Demandda,20/03/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/terrenos/terreno-a-venda-em-estrela-1118584270,23/Mar/2023,00:17:21
Terrenos,,R$ 318.000,,Estrela,RS,532m²,Auxiliadora Predial - Lajeado,03/03/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/terrenos/estrela-terreno-padrao-pinheiros-1079077162,23/Mar/2023,00:17:21
Terrenos,,R$ 70.000,,Estrela,RS,326m²,Auxiliadora Predial - Lajeado,28/02/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/terrenos/estrela-terreno-padrao-pinheiros-1144762897,23/Mar/2023,00:17:21
Terrenos,,R$ 850.000,,Estrela,RS,75000m²,Lajeado Imóveis,01/02/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/terrenos/estrela-terreno-padrao-interior-947788947,23/Mar/2023,00:17:21
Terrenos,,R$ 340.000,,Estrela,RS,777m²,Auxiliadora Predial - Lajeado,27/02/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/terrenos/estrela-terreno-padrao-dos-estados-1071570181,23/Mar/2023,00:17:21
Terrenos,,R$ 1.375.000,,Estrela,RS,48000m²,Lajeado Imóveis,04/03/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/terrenos/estrela-terreno-padrao-sao-jose-947789336,23/Mar/2023,00:17:21
Terrenos,,R$ 530.000,,Estrela,RS,457m²,Lajeado Imóveis,21/01/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/terrenos/estrela-terreno-padrao-boa-uniao-947365727,23/Mar/2023,00:17:22
Terrenos,,R$ 700.000,,Estrela,RS,1697m²,Crédito Real I Demandda,23/03/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/terrenos/terreno-a-venda-em-estrela-1118584505,23/Mar/2023,00:17:22
Terrenos,,R$ 846.500,,Estrela,RS,1693m²,Crédito Real I Demandda,20/03/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/terrenos/terreno-a-venda-em-estrela-1118573878,23/Mar/2023,00:17:22
