tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 188.000,,Feliz,RS,535m²,Enove Imobiliária,15/03/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/terrenos/venda-terreno-com-535-82-m-picada-cara-feliz-1061723892,23/Mar/2023,00:18:22
Terrenos,,R$ 115,,Feliz,RS,528m²,rosemmaurer,19/02/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/terrenos/terreno-na-cidade-de-feliz-rs-1149196546,23/Mar/2023,00:18:22
Venda - apartamento padrão,2,R$ 375.000,,Feliz,RS,72m²,Imobiliária Cadore,16/02/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/imoveis/apartamento-dois-quartos-em-feliz-1138083305,23/Mar/2023,00:18:22
Terrenos,,R$ 249.000,,Feliz,RS,450m²,André Santana Jesus,21/03/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/terrenos/espetacular-terreno-450m2-1020614641,23/Mar/2023,00:18:22
Terrenos,,R$ 177.000,,Feliz,RS,504m²,Enove Imobiliária,14/02/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/terrenos/venda-terreno-com-504-97-m-picada-cara-feliz-1061722656,23/Mar/2023,00:18:23
Terrenos,,R$ 5.000.000,,Feliz,RS,22216m²,Única Negócios Imobiliários,21/03/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/terrenos/feliz-terreno-padrao-centro-1099144843,23/Mar/2023,00:18:23
Terrenos,,R$ 649.000,,Feliz,RS,1545m²,Enove Imobiliária,31/01/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/terrenos/venda-terreno-com-1545-02-m-picada-cara-feliz-1061721797,23/Mar/2023,00:18:23
Terrenos,,R$ 126.000,,Feliz,RS,360m²,Enove Imobiliária,04/03/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/terrenos/venda-terreno-com-360-01-m-picada-cara-feliz-1061723963,23/Mar/2023,00:18:23
Venda - casa em rua pública,4,R$ 1.160.000,,Feliz,RS,177m²,Fluence Imóveis,18/02/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/imoveis/casa-a-venda-4-quartos-2-suites-2-vagas-bom-fim-alto-feliz-rs-1021423109,23/Mar/2023,00:18:23
Venda - casa em rua pública,3,R$ 450.000,,Feliz,RS,142m²,Fluence Imóveis,06/03/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/imoveis/casa-a-venda-3-quartos-1-vaga-picada-cara-feliz-rs-1155535313,23/Mar/2023,00:18:23
Venda - casa em rua pública,2,R$ 297.000,,Feliz,RS,84m²,AK IMÓVEIS,17/03/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/imoveis/sobrados-novos-com-dois-quartos-em-otima-localizacao-a-venda-em-feliz-rs-950439843,23/Mar/2023,00:18:23
Venda - apartamento padrão,2,R$ 182.000,,Feliz,RS,48m²,Ganso,21/01/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/imoveis/apartamento-com-otima-localizacao-1136694875,23/Mar/2023,00:18:23
Venda - casa em rua pública,2,R$ 475.000,,Feliz,RS,85m²,Fluence Imóveis,24/02/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/imoveis/casa-a-venda-2-quartos-1-vaga-vila-rica-feliz-rs-1151003748,23/Mar/2023,00:18:23
Venda - casa em rua pública,1,R$ 33.000,,Feliz,RS,36m²,AMVBIKE,08/02/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/imoveis/container-casa-1144461229,23/Mar/2023,00:18:23
