tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 100.000,,Marau,RS,,RE/MAX,11/03/2023,https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/terrenos/terreno-bairro-fuga-1157740504,22/Mar/2023,22:05:43
Terrenos,,R$ 100.000,,Marau,RS,,RE/MAX,11/03/2023,https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/terrenos/terreno-com-351-metros-proximo-ao-hcr-1157732312,22/Mar/2023,22:05:43
Terrenos,,R$ 180.000,,Marau,RS,,RE/MAX,11/03/2023,https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/terrenos/terreno-localizado-a-100-metros-do-hospital-cristo-redentor-1157716990,22/Mar/2023,22:05:43
Terrenos,,R$ 225.000,,Marau,RS,,RE/MAX,11/03/2023,https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/terrenos/terreno-diferenciado-villa-bella-1157731491,22/Mar/2023,22:05:43
Terrenos,,R$ 295.000,,Marau,RS,,RE/MAX,11/03/2023,https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/terrenos/terreno-plano-com-490m-localizado-no-loteamento-santorini-1157716981,22/Mar/2023,22:05:43
Terrenos,,R$ 190.000,,Marau,RS,,RE/MAX,11/03/2023,https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/terrenos/lote-condominio-lagoa-park-1157669837,22/Mar/2023,22:05:43
Terrenos,,R$ 180.000,,Marau,RS,,RE/MAX,11/03/2023,https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/terrenos/terreno-com-757-metros-quadrados-a-500-metros-do-centro-1157691814,22/Mar/2023,22:05:43
Terrenos,,R$ 205.000,,Marau,RS,,RE/MAX,11/03/2023,https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/terrenos/terreno-falquembak-1157669884,22/Mar/2023,22:05:43
Terrenos,,R$ 750.000,,Marau,RS,,RE/MAX,11/03/2023,https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/terrenos/terreno-a-venda-1500-m-por-r-750-000-00-via-marau-parque-empresarial-marau-rs-1157712371,22/Mar/2023,22:05:43
Terrenos,,R$ 100.000,,Marau,RS,,RE/MAX,11/03/2023,https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/terrenos/terreno-a-venda-326-m-bella-vida-marau-rs-1157670574,22/Mar/2023,22:05:43
Terrenos,,R$ 88.000,,Marau,RS,,RE/MAX,11/03/2023,https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/terrenos/terreno-a-venda-308-m-por-r-88-000-00-bem-viver-marau-rs-1157750788,22/Mar/2023,22:05:43
Terrenos,,R$ 165.000,,Marau,RS,,RE/MAX,11/03/2023,https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/terrenos/terreno-jardim-america-380-84-1157740511,22/Mar/2023,22:05:43
Terrenos,,R$ 230.000,,Marau,RS,,RE/MAX,11/03/2023,https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/terrenos/terreno-a-venda-480-m-por-r-230-000-00-loteamento-santa-tereza-marau-rs-1157823166,22/Mar/2023,22:05:43
Venda - apartamento padrão,3,R$ 745.000,,Marau,RS,149m²,RE/MAX,11/03/2023,https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/imoveis/apartamento-centro-marau-rs-1157670448,22/Mar/2023,22:05:43
Venda - casa em condominio fechado,2,R$ 165.000,,Marau,RS,53m²,RE/MAX,11/03/2023,https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/imoveis/casa-geminada-1157736971,22/Mar/2023,22:05:44
Terrenos,,R$ 129.000,,Marau,RS,,RE/MAX,11/03/2023,https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/terrenos/terreno-proximo-do-centro-e-hospital-cristo-redentor-1157738259,22/Mar/2023,22:05:44
Terrenos,,R$ 1.200.000,,Marau,RS,,RE/MAX,11/03/2023,https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/terrenos/area-com-9-838-metros-quadrados-localizada-a-300-metros-da-avenida-julio-borella-1157711229,22/Mar/2023,22:05:44
Terrenos,,R$ 676.000,,Marau,RS,,RE/MAX,11/03/2023,https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/terrenos/lote-alto-padrao-1157712562,22/Mar/2023,22:05:44
Terrenos,,R$ 96.500,,Marau,RS,,RE/MAX,11/03/2023,https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/terrenos/otimo-terreno-para-investir-ou-morar-bem-1157738245,22/Mar/2023,22:05:44
Terrenos,,R$ 79.900,,Marau,RS,,RE/MAX,11/03/2023,https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/terrenos/terreno-lot-araucaria-1157711179,22/Mar/2023,22:05:44
Terrenos,,R$ 380.000,,Marau,RS,504m²,Lucas Mistura,13/02/2023,https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/terrenos/terreno-504-metros-loteamento-bela-vista-centro-1146415343,22/Mar/2023,22:05:44
Terrenos,,R$ 2.800.000,,Marau,RS,,RE/MAX,11/03/2023,https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/terrenos/terreno-com-1-250m2-no-centro-de-marau-1157750596,22/Mar/2023,22:05:44
Terrenos,,R$ 120.000,,Marau,RS,,RE/MAX,11/03/2023,https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/terrenos/terreno-jardim-dourado-1157729471,22/Mar/2023,22:05:44
Terrenos,,R$ 318.000,,Marau,RS,,RE/MAX,11/03/2023,https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/terrenos/terreno-proximo-balneario-noe-1157670096,22/Mar/2023,22:05:44
Venda - casa em rua pública,3,R$ 1.995.000,,Marau,RS,503m²,RE/MAX,11/03/2023,https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/imoveis/linda-casa-de-alto-padrao-em-area-central-1157731721,22/Mar/2023,22:05:44
Terrenos,,R$ 120.000,,Marau,RS,900m²,Sadi Monteiro,14/02/2023,https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/terrenos/vendo-ou-troco-por-veiculo-do-meu-interesse-preferencia-camionete-1147138978,22/Mar/2023,22:05:44
