tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 79.000,,Nova Santa Rita,RS,200m²,CARLOS ALBERTO HINTERHOLZ,20/03/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/terrenos/terrenos-em-nova-santa-rita-rs-1094887989,22/Mar/2023,23:13:46
Terrenos,,R$ 150.000,,Nova Santa Rita,RS,330m²,Kasa Imóveis,20/03/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/terrenos/nova-santa-rita-terreno-padrao-california-983311827,22/Mar/2023,23:13:46
Terrenos,,R$ 145.000,,Nova Santa Rita,RS,360m²,GALLINA NEGOCIOS IMOBILIARIOS LTDA - ME,21/03/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/terrenos/terreno-a-venda-com-360m-por-r-145-000-00-no-bairro-centro-nova-santa-rita-rs-1023689544,22/Mar/2023,23:13:46
Terrenos,,R$ 110.700,,Nova Santa Rita,RS,330m²,Imobiliária Ideeal,21/03/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/terrenos/terreno-a-venda-california-nova-santa-rita-rs-923151464,22/Mar/2023,23:13:46
Terrenos,,R$ 595.000,,Nova Santa Rita,RS,3000m²,Metropolitana Corretora de Imoveis LTDA-ME,21/03/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/terrenos/terreno-comercial-industrial-com-3000m-estrada-da-pedreira-nova-santa-rita-rs-proximo-a-a-1045875892,22/Mar/2023,23:13:46
Terrenos,,R$ 354.000,,Nova Santa Rita,RS,420m²,PRONTO CITY CONSULTORIA IMOBILIARIA LTDA - EPP,21/03/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/terrenos/reservas-do-lago-1139224807,22/Mar/2023,23:13:46
Terrenos,,R$ 60.000,,Nova Santa Rita,RS,45m²,cardoso segue ai,21/03/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/terrenos/terreno-em-nova-santa-rita-10x35-aceito-brick-ou-proposta-1161902383,22/Mar/2023,23:13:46
Terrenos,,R$ 95.000,,Nova Santa Rita,RS,160m²,CARLOS ALBERTO HINTERHOLZ,21/03/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/terrenos/terrenos-no-berto-cirio-nova-santa-rita-200m-1031464825,22/Mar/2023,23:13:47
Terrenos,,R$ 130.000,,Nova Santa Rita,RS,300m²,Imobiliária Ideeal,20/03/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/terrenos/terreno-a-venda-berto-cirio-nova-santa-rita-rs-1078174576,22/Mar/2023,23:13:47
Terrenos,,R$ 366.000,,Nova Santa Rita,RS,1122m²,Metropolitana Corretora de Imoveis LTDA-ME,20/03/2023,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/terrenos/terreno-de-esquina-pronto-para-construcao-bairro-california-lagos-da-california-1045877964,22/Mar/2023,23:13:47
