tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 600.000,Passo Manso,Blumenau,SC,1640m²,ICAU IMÓVEIS,12/03/2023,https://sc.olx.com.br/norte-de-santa-catarina/terrenos/terreno-no-passo-manso-1073516371,23/Mar/2023,09:27:08
Terrenos,,R$ 500.000,Garcia,Blumenau,SC,342m²,CADORE IMOVEIS LTDA - EPP,07/03/2023,https://sc.olx.com.br/norte-de-santa-catarina/terrenos/terreno-em-blumenau-cadore-imoveis-954755585,23/Mar/2023,09:27:27
Terrenos,,R$ 180.000,Itoupavazinha,Blumenau,SC,667m²,CONCEITO IMOBILIARIA,15/03/2023,https://sc.olx.com.br/norte-de-santa-catarina/terrenos/blumenau-terreno-padrao-itoupavazinha-1026184240,23/Mar/2023,09:27:27
Terrenos,,R$ 1.500,Vorstadt,Blumenau,SC,400m²,RAYMUNDI EMPREENDIMENTOS IMOBILIARIOS LTDA - ME,14/03/2023,https://sc.olx.com.br/norte-de-santa-catarina/terrenos/terreno-para-fins-comerciais-localizada-na-rua-itajai-bairro-vorstadt-proximo-ao-sesi-em-1145207528,23/Mar/2023,09:27:27
Terrenos,,R$ 500.000,Itoupava Seca,Blumenau,SC,300m²,EFETIVA CONSULTORIA IMOBILIARIA EIRELE EPP,14/03/2023,https://sc.olx.com.br/norte-de-santa-catarina/terrenos/blumenau-terreno-padrao-itoupava-seca-1121649236,23/Mar/2023,09:27:27
Terrenos,,R$ 600.000,Velha Central,Blumenau,SC,41508m²,CONCEITO IMOBILIARIA,14/03/2023,https://sc.olx.com.br/norte-de-santa-catarina/terrenos/blumenau-terreno-padrao-velha-central-1025465150,23/Mar/2023,09:27:27
Terrenos,,R$ 5.500.000,Velha,Blumenau,SC,28000m²,Terrena Imóveis,17/03/2023,https://sc.olx.com.br/norte-de-santa-catarina/terrenos/terreno-a-venda-28000-m-velha-blumenau-sc-995832321,23/Mar/2023,09:27:27
Terrenos,,R$ 4.000.000,Fortaleza,Blumenau,SC,3250m²,ALAMEDA IMÓVEIS,15/03/2023,https://sc.olx.com.br/norte-de-santa-catarina/terrenos/terreno-a-venda-3250-m-por-r-4-000-000-00-fortaleza-blumenau-sc-1139516856,23/Mar/2023,09:27:27
Terrenos,,R$ 349.900,Escola Agrícola,Blumenau,SC,456m²,Valmir Fabricio,14/03/2023,https://sc.olx.com.br/norte-de-santa-catarina/terrenos/blumenau-terreno-padrao-escola-agricola-1070965436,23/Mar/2023,09:27:27
Terrenos,,R$ 277.122,Benedito,Indaial,SC,,João Goedert Imóveis Ltda ME,20/03/2023,https://sc.olx.com.br/norte-de-santa-catarina/terrenos/area-residencial-em-indaial-sc-benedito-1068998071,23/Mar/2023,09:27:27
Terrenos,,R$ 60.000,Velha Grande,Blumenau,SC,200m²,williamdouglasramoscarvalho,14/03/2023,https://sc.olx.com.br/norte-de-santa-catarina/terrenos/vendo-terreno-sem-casa-emcima-do-lote-1159283833,23/Mar/2023,09:27:27
Terrenos,,R$ 345.600,Itoupava Norte,Blumenau,SC,315m²,IMOBILIARIA BLUMENHOUSE LTDA - ME,20/03/2023,https://sc.olx.com.br/norte-de-santa-catarina/terrenos/otimo-terreno-para-construcao-no-bairro-agua-verde-1146911976,23/Mar/2023,09:27:27
Terrenos,,R$ 250.000,Garcia,Blumenau,SC,660m²,Jaime Constantino Pisetta,20/03/2023,https://sc.olx.com.br/norte-de-santa-catarina/terrenos/terreno-no-bairro-garcia-em-blumenau-979668864,23/Mar/2023,09:27:27
Terrenos,,R$ 285.000,Centro,Blumenau,SC,387m²,IMOVEIS PORTAL LTDA - ME,20/02/2023,https://sc.olx.com.br/norte-de-santa-catarina/terrenos/excelente-terreno-na-fortaleza-pode-terminar-a-obra-iniciada-ou-fazer-sobrados-geminados-1128432673,23/Mar/2023,09:27:27
Terrenos,,R$ 10.650.000,Itoupava Norte,Blumenau,SC,6782m²,L Fernando Imobiliária Ltda.,14/03/2023,https://sc.olx.com.br/norte-de-santa-catarina/terrenos/blumenau-terreno-padrao-itoupava-norte-987527362,23/Mar/2023,09:27:27
Terrenos,,R$ 115.000,Garcia,Blumenau,SC,303m²,ALLES IMÓVEIS,20/02/2023,https://sc.olx.com.br/norte-de-santa-catarina/terrenos/lotes-no-bairro-araponguinhas-na-cidade-de-timbo-sc-1145236922,23/Mar/2023,09:27:27
Terrenos,,R$ 2.100.000,Itoupava Central,Blumenau,SC,3900m²,La Vita Imóveis,20/02/2023,https://sc.olx.com.br/norte-de-santa-catarina/terrenos/terreno-a-venda-3900-m-por-r-2-100-000-00-itoupava-central-blumenau-sc-1049662193,23/Mar/2023,09:27:27
Terrenos,,R$ 450.000,Do Salto,Blumenau,SC,1349m²,Abelardo Imóveis Ltda,20/02/2023,https://sc.olx.com.br/norte-de-santa-catarina/terrenos/blumenau-terreno-padrao-escola-agricola-1015188023,23/Mar/2023,09:27:27
Terrenos,,R$ 1.200.000,Victor Konder,Blumenau,SC,175m²,ANEXO IMOVEIS,20/03/2023,https://sc.olx.com.br/norte-de-santa-catarina/terrenos/excelente-opcao-de-casa-comercial-no-bairro-victor-konder-veja-agora-o-anuncio-e-solicite-1073976686,23/Mar/2023,09:27:27
Terrenos,,R$ 1.300.000,Centro,Blumenau,SC,1372m²,Maína Imóveis,20/03/2023,https://sc.olx.com.br/norte-de-santa-catarina/terrenos/blumenau-terreno-padrao-centro-929336144,23/Mar/2023,09:27:27
Terrenos,,R$ 650.000,Velha Central,Blumenau,SC,1740m²,BARBIERI NEGOCIOS IMOBILIARIOS LTDA,20/03/2023,https://sc.olx.com.br/norte-de-santa-catarina/terrenos/blumenau-terreno-padrao-velha-central-934617511,23/Mar/2023,09:27:27
Terrenos,,R$ 330.000,Ponta Aguda,Blumenau,SC,359m²,SHS Imóveis,20/03/2023,https://sc.olx.com.br/norte-de-santa-catarina/terrenos/terreno-a-venda-359-m-por-r-330-000-00-ponta-aguda-blumenau-sc-1154062913,23/Mar/2023,09:27:27
Terrenos,,R$ 800.000,Salto do Norte,Blumenau,SC,1257m²,IMOBILIÁRIA ITOUPAVA LTDA,20/03/2023,https://sc.olx.com.br/norte-de-santa-catarina/terrenos/terreno-para-venda-em-blumenau-salto-do-norte-989203610,23/Mar/2023,09:27:27
Terrenos,,R$ 450.000,Do Salto,Blumenau,SC,,ABVALE IMÓVEIS LTDA.,14/03/2023,https://sc.olx.com.br/norte-de-santa-catarina/terrenos/blumenau-terreno-padrao-escola-agricola-1154470672,23/Mar/2023,09:27:27
Terrenos,,R$ 210.000,Fortaleza Alta,Blumenau,SC,360m²,Pamplona Imóveis,15/03/2023,https://sc.olx.com.br/norte-de-santa-catarina/terrenos/valor-para-investidores-somente-em-fevereiro-1146882434,23/Mar/2023,09:27:27
Terrenos,,R$ 200.000,Velha Central,Blumenau,SC,247m²,CONCEITO IMOBILIARIA,20/02/2023,https://sc.olx.com.br/norte-de-santa-catarina/terrenos/blumenau-terreno-padrao-velha-central-1092302997,23/Mar/2023,09:27:27
Terrenos,,R$ 690.000,Fortaleza,Blumenau,SC,,DINAMICA ASSESSORIA IMOBILIARIA LTDA ME,20/02/2023,https://sc.olx.com.br/norte-de-santa-catarina/terrenos/excelente-terreno-a-venda-no-bairro-tribess-1145039380,23/Mar/2023,09:27:27
Terrenos,,R$ 1.800.000,Velha,Blumenau,SC,848m²,ZELT Imóveis LTDA EPP,14/03/2023,https://sc.olx.com.br/norte-de-santa-catarina/terrenos/terreno-a-venda-em-blumenau-no-bairro-velha-998494474,23/Mar/2023,09:27:27
Terrenos,,R$ 4.260.000,Itoupava Central,Blumenau,SC,3276m²,Schork Imoveis Ltda,20/02/2023,https://sc.olx.com.br/norte-de-santa-catarina/terrenos/terreno-a-venda-3276-m-por-r-4-260-000-00-itoupava-central-blumenau-sc-930840066,23/Mar/2023,09:27:27
Terrenos,,R$ 14.000.000,Itoupava Central,Blumenau,SC,17500m²,JDL Imóveis,20/03/2023,https://sc.olx.com.br/norte-de-santa-catarina/terrenos/terreno-a-venda-17500-m-por-r-14-000-000-00-itoupava-central-blumenau-sc-937062667,23/Mar/2023,09:27:27
Terrenos,,R$ 400.000,Vorstadt,Blumenau,SC,480m²,Abelardo Imóveis Ltda,20/02/2023,https://sc.olx.com.br/norte-de-santa-catarina/terrenos/blumenau-terreno-padrao-vorstadt-1007226383,23/Mar/2023,09:27:27
Terrenos,,R$ 430.000,Ponta Aguda,Blumenau,SC,402m²,JDL Imóveis,23/02/2023,https://sc.olx.com.br/norte-de-santa-catarina/terrenos/terreno-a-venda-401-m-por-r-430-000-00-ponta-aguda-blumenau-sc-982267072,23/Mar/2023,09:27:27
Terrenos,,R$ 890.000,Escola Agrícola,Blumenau,SC,937m²,La Vita Imóveis,23/02/2023,https://sc.olx.com.br/norte-de-santa-catarina/terrenos/terreno-a-venda-936-m-por-r-890-000-00-escola-agricola-blumenau-sc-1063437080,23/Mar/2023,09:27:27
Terrenos,,R$ 950.000,Valparaiso,Blumenau,SC,,RT Imóveis,22/02/2023,https://sc.olx.com.br/norte-de-santa-catarina/terrenos/blumenau-terreno-padrao-garcia-903365002,23/Mar/2023,09:27:27
Terrenos,,R$ 170.000,Itoupava Central,Blumenau,SC,435m²,Schork Imoveis Ltda,14/03/2023,https://sc.olx.com.br/norte-de-santa-catarina/terrenos/terreno-a-venda-435-m-por-r-170-000-00-itoupava-central-blumenau-sc-1067722354,23/Mar/2023,09:27:27
Terrenos,,R$ 380.000,Vila Nova,Blumenau,SC,405m²,La Vita Imóveis,22/02/2023,https://sc.olx.com.br/norte-de-santa-catarina/terrenos/terreno-a-venda-405-m-por-r-380-000-00-vila-nova-blumenau-sc-1049653797,23/Mar/2023,09:27:27
Terrenos,,R$ 667.926,Ponta Aguda,Blumenau,SC,513m²,CONCEITO IMOBILIARIA,22/02/2023,https://sc.olx.com.br/norte-de-santa-catarina/terrenos/blumenau-terreno-padrao-ponta-aguda-1107291899,23/Mar/2023,09:27:27
Terrenos,,R$ 350.000,Escola Agrícola,Blumenau,SC,432m²,L Fernando Imobiliária Ltda.,20/02/2023,https://sc.olx.com.br/norte-de-santa-catarina/terrenos/blumenau-terreno-padrao-escola-agricola-987527129,23/Mar/2023,09:27:27
Terrenos,,R$ 535.000,Itoupava Central,Blumenau,SC,1326m²,Schork Imoveis Ltda,23/02/2023,https://sc.olx.com.br/norte-de-santa-catarina/terrenos/terreno-a-venda-1325-m-por-r-535-000-00-itoupava-central-blumenau-sc-930840784,23/Mar/2023,09:27:28
Terrenos,,R$ 250.000,Garcia,Blumenau,SC,315m²,Rafael Giachini,22/02/2023,https://sc.olx.com.br/norte-de-santa-catarina/terrenos/vendo-ou-troco-1150161799,23/Mar/2023,09:27:28
Terrenos,,R$ 185.000,Escola Agrícola,Blumenau,SC,260m²,Livia,23/02/2023,https://sc.olx.com.br/norte-de-santa-catarina/terrenos/terreno-escriturado-em-picarras-1124368935,23/Mar/2023,09:27:28
Terrenos,,R$ 1.350.000,Itoupava Norte,Blumenau,SC,688m²,DINAMICA ASSESSORIA IMOBILIARIA LTDA ME,20/02/2023,https://sc.olx.com.br/norte-de-santa-catarina/terrenos/terreno-em-loteamento-fechado-bairro-itoupava-norte-em-blumenau-auto-padrao-1145032823,23/Mar/2023,09:27:28
Terrenos,,R$ 330.000,Warnow,Indaial,SC,518m²,Imobiliária Factor,23/02/2023,https://sc.olx.com.br/norte-de-santa-catarina/terrenos/terreno-com-pontencial-para-comercio-galpao-na-cidade-de-indaial-warnow-1120994427,23/Mar/2023,09:27:28
Terrenos,,R$ 4.000.000,Itoupava Central,Blumenau,SC,15051m²,La Vita Imóveis,20/02/2023,https://sc.olx.com.br/norte-de-santa-catarina/terrenos/terreno-a-venda-15051-m-por-r-4-000-000-itoupava-central-blumenau-sc-la-vita-imov-1075265266,23/Mar/2023,09:27:28
Terrenos,,R$ 395.000,Velha,Blumenau,SC,300m²,SKYHAUS IMOVEIS LTDA,23/02/2023,https://sc.olx.com.br/norte-de-santa-catarina/terrenos/terreno-a-venda-300-m-por-r-395-000-00-velha-blumenau-sc-1150505082,23/Mar/2023,09:27:28
Terrenos,,R$ 790.000,Garcia,Blumenau,SC,714m²,BARBIERI NEGOCIOS IMOBILIARIOS LTDA,23/02/2023,https://sc.olx.com.br/norte-de-santa-catarina/terrenos/blumenau-terreno-padrao-garcia-1150470459,23/Mar/2023,09:27:28
Terrenos,,R$ 570.000,Itoupava Norte,Blumenau,SC,318m²,BARBIERI NEGOCIOS IMOBILIARIOS LTDA,20/02/2023,https://sc.olx.com.br/norte-de-santa-catarina/terrenos/blumenau-terreno-padrao-itoupava-norte-1121726062,23/Mar/2023,09:27:28
Terrenos,,R$ 2.900.000,Bom Retiro,Blumenau,SC,1336m²,ZELT Imóveis LTDA EPP,22/02/2023,https://sc.olx.com.br/norte-de-santa-catarina/terrenos/terreno-a-venda-no-bairro-bom-retiro-em-blumenau-1026329174,23/Mar/2023,09:27:28
Terrenos,,R$ 400.000,Itoupava Seca,Blumenau,SC,,RT Imóveis,21/03/2023,https://sc.olx.com.br/norte-de-santa-catarina/terrenos/blumenau-terreno-padrao-velha-1148820558,23/Mar/2023,09:27:28
Terrenos,,R$ 310.000,Estrada das Areias,Indaial,SC,407m²,TERRA IMOBILIÁRIA,10/03/2023,https://sc.olx.com.br/norte-de-santa-catarina/terrenos/lindo-terreno-no-loteamento-terra-nobre-1157240741,23/Mar/2023,09:27:28
Terrenos,,R$ 365.000,Itoupava Seca,Blumenau,SC,373m²,Abelardo Imóveis Ltda,22/02/2023,https://sc.olx.com.br/norte-de-santa-catarina/terrenos/blumenau-terreno-padrao-itoupava-seca-1150186367,23/Mar/2023,09:27:28
Terrenos,,R$ 360.000,Estrada das Areias,Indaial,SC,451m²,TERRA IMOBILIÁRIA,10/03/2023,https://sc.olx.com.br/norte-de-santa-catarina/terrenos/lindo-terreno-no-loteamento-terra-nobre-1157203075,23/Mar/2023,09:27:28
Terrenos,,R$ 425.000,Velha,Blumenau,SC,692m²,AVALIE NEGOCIOS IMOBILIARIOS,10/03/2023,https://sc.olx.com.br/norte-de-santa-catarina/terrenos/terreno-a-venda-proximo-vila-germanca-livre-de-enchentes-1145100275,23/Mar/2023,09:27:28
