tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 75.000,,Forquilhinha,SC,551m²,GAIDZINSKI IMOVEIS LTDA,21/03/2023,https://sc.olx.com.br/florianopolis-e-regiao/terrenos/terreno-com-489-62-m-de-frente-para-o-asfalto-no-bairro-santa-cruz-em-forquilhinha-1020467774,23/Mar/2023,02:16:08
Terrenos,,R$ 96.000,,Forquilhinha,SC,360m²,Richard Batista Severino,18/03/2023,https://sc.olx.com.br/florianopolis-e-regiao/terrenos/terreno-entre-criciuma-e-forquilhinha-lote-com-parcelamento-direto-1020487990,23/Mar/2023,02:16:08
Terrenos,,R$ 70.000,,Forquilhinha,SC,418m²,Maicon Savi,19/03/2023,https://sc.olx.com.br/florianopolis-e-regiao/terrenos/terreno-bairro-santa-cruz-em-forquilhinha-sc-1161440676,23/Mar/2023,02:16:08
Terrenos,,R$ 90.000,,Forquilhinha,SC,360m²,Imobiliária Pilar,21/03/2023,https://sc.olx.com.br/florianopolis-e-regiao/terrenos/forquilhinha-terreno-padrao-santa-cruz-994540601,23/Mar/2023,02:16:08
Terrenos,,R$ 87.100,,Forquilhinha,SC,360m²,USUÁRIO NEWCORE,28/02/2023,https://sc.olx.com.br/florianopolis-e-regiao/terrenos/lote360m-centro-forquilhinha-1152932416,23/Mar/2023,02:16:08
Terrenos,,R$ 100.000,,Forquilhinha,SC,370m²,Imobiliária Pilar,14/03/2023,https://sc.olx.com.br/florianopolis-e-regiao/terrenos/forquilhinha-terreno-padrao-vila-lourdes-1039998253,23/Mar/2023,02:16:08
Terrenos,,R$ 300.000,,Forquilhinha,SC,723m²,Franciele,27/02/2023,https://sc.olx.com.br/florianopolis-e-regiao/terrenos/terrenos-totalizando-723-60m2-1152173584,23/Mar/2023,02:16:08
Terrenos,,R$ 119.590,,Forquilhinha,SC,490m²,USUÁRIO NEWCORE,25/02/2023,https://sc.olx.com.br/florianopolis-e-regiao/terrenos/lote490m-centro-forquilhinha-1151616320,23/Mar/2023,02:16:08
Terrenos,,R$ 75.000,,Forquilhinha,SC,364m²,Clairton Zanelato CRECI-SC 35064,11/03/2023,https://sc.olx.com.br/florianopolis-e-regiao/terrenos/vendo-lote-em-forquilhinha-sc-1157904056,23/Mar/2023,02:16:08
Terrenos,,R$ 65.000,,Forquilhinha,SC,338m²,GAIDZINSKI IMOVEIS LTDA,17/03/2023,https://sc.olx.com.br/florianopolis-e-regiao/terrenos/terreno-em-forquilhinha-a-5-minutos-da-coopera-1020446450,23/Mar/2023,02:16:08
Venda - casa em rua pública,2,R$ 160.000,,Forquilhinha,SC,49m²,dinunesteixeira.93,01/02/2023,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/casa-em-forquilhinha-bairro-vila-franca-1141340944,23/Mar/2023,02:16:08
Terrenos,,R$ 165.000,,Forquilhinha,SC,200m²,Jooaquim Almeida,28/01/2023,https://sc.olx.com.br/florianopolis-e-regiao/terrenos/terreno-para-venda-em-forquilhinha-forquilhinha-1139544251,23/Mar/2023,02:16:08
Venda - casa em rua pública,4,R$ 460.000,,Forquilhinha,SC,332m²,Imobiliária Pilar,17/03/2023,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/sideropolis-casa-padrao-cohab-994541017,23/Mar/2023,02:16:08
Terrenos,,R$ 75.000,,Forquilhinha,SC,328m²,Guilherme Cardoso,04/03/2023,https://sc.olx.com.br/florianopolis-e-regiao/terrenos/terreno-forquilhinha-1154707772,23/Mar/2023,02:16:08
Terrenos,,R$ 85.000,,Forquilhinha,SC,360m²,Imobiliária Pilar,22/03/2023,https://sc.olx.com.br/florianopolis-e-regiao/terrenos/forquilhinha-terreno-padrao-santa-cruz-994540761,23/Mar/2023,02:16:08
Venda - casa em rua pública,2,R$ 310.000,,Forquilhinha,SC,96m²,Imobiliária Gerson Zanette,21/03/2023,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/casa-a-venda-no-bairro-santa-isabel-forquilhinha-sc-1161959380,23/Mar/2023,02:16:08
Terrenos,,R$ 90.000,,Forquilhinha,SC,362m²,Éder Anacleto Costa,22/03/2023,https://sc.olx.com.br/florianopolis-e-regiao/terrenos/terreno-no-bairro-vila-lourdes-forquilhinha-sc-1049773803,23/Mar/2023,02:16:08
Terrenos,,R$ 125.000,,Forquilhinha,SC,385m²,Imobiliária Pilar,22/03/2023,https://sc.olx.com.br/florianopolis-e-regiao/terrenos/forquilhinha-terreno-padrao-santa-ana-994540394,23/Mar/2023,02:16:08
Terrenos,,R$ 100.000,,Forquilhinha,SC,351m²,deise.chechetto,08/02/2023,https://sc.olx.com.br/florianopolis-e-regiao/terrenos/barbada-1144459587,23/Mar/2023,02:16:08
Terrenos,,R$ 360.000,,Forquilhinha,SC,360m²,Derderian,27/02/2023,https://sc.olx.com.br/florianopolis-e-regiao/terrenos/lote-360m2-forquilinhas-sao-jose-sc-1152152048,23/Mar/2023,02:16:08
Terrenos,,R$ 110.000,,Forquilhinha,SC,420m²,Imobiliária Pilar,14/03/2023,https://sc.olx.com.br/florianopolis-e-regiao/terrenos/forquilhinha-terreno-padrao-vila-lourdes-1039998292,23/Mar/2023,02:16:08
