tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Venda - casa em rua pública,5 ou mais,R$ 550.000,,Itabaianinha,SE,450m²,Lucas pedreiro,10/09/2023,https://se.olx.com.br/sergipe/imoveis/sobrado-com-duas-casa-e-um-galpao-8x19-1232255653,08/Oct/2023,19:13:13
Terrenos,,R$ 45.000,,Itabaianinha,SE,260m²,IphonesOff,07/09/2023,https://se.olx.com.br/sergipe/terrenos/terreno-13x20-otimo-para-chacara-1231175683,08/Oct/2023,19:13:13
Venda - casa em rua pública,3,R$ 95.000,,Itabaianinha,SE,,Elza S.,01/09/2023,https://se.olx.com.br/sergipe/imoveis/vendo-casa-povoado-jardim-1229172379,08/Oct/2023,19:13:13
Venda - casa em rua pública,3,R$ 160.000,,Itabaianinha,SE,,Wedson V.,31/08/2023,https://se.olx.com.br/sergipe/imoveis/vendo-um-predio-nu-conjunto-albano-fraco-rua-joao-bispos-dos-santos-itabaianinha-1228473550,08/Oct/2023,19:13:13
Terrenos,,R$ 45.000,,Itabaianinha,SE,200m²,Tainá,13/09/2023,https://se.olx.com.br/sergipe/terrenos/condominio-nossa-senhora-da-conceicao-1233226895,08/Oct/2023,19:13:13
Terrenos,,R$ 4.000,,Itabaianinha,SE,7m²,marcos.lauriano,01/09/2023,https://se.olx.com.br/sergipe/terrenos/terreno-no-povoado-montalvao-itabaianinha-tamanho-14comprimento-7-largura-1229230299,08/Oct/2023,19:13:13
Outros,,R$ 120.000,,Itabaianinha,SE,,Ton,11/09/2023,https://se.olx.com.br/sergipe/terrenos/vende-se-terreno-1232617511,08/Oct/2023,19:13:13
Terrenos,,R$ 67.000,,Itabaianinha,SE,250m²,Dário Souza Andrade,15/09/2023,https://se.olx.com.br/sergipe/terrenos/terreno-de-250m2-1234013527,08/Oct/2023,19:13:13
Terrenos,,R$ 1.000.000,,Itabaianinha,SE,7000m²,Domus Imóveis,10/08/2023,https://se.olx.com.br/sergipe/terrenos/lote-para-venda-em-itabaianinha-itabaianinha-1220883440,08/Oct/2023,19:13:13
Venda - casa em rua pública,3,null,,Itabaianinha,SE,,Layane A.,02/09/2023,https://se.olx.com.br/sergipe/imoveis/casa-1229274995,08/Oct/2023,19:13:13
Venda - casa em rua pública,2,null,,Itabaianinha,SE,,Jeninho,29/08/2023,https://se.olx.com.br/sergipe/imoveis/casa-em-itabaianinha-para-vender-1227756290,08/Oct/2023,19:13:13
Terrenos,,R$ 25.000,,Itabaianinha,SE,108m²,cledson santos,22/08/2023,https://se.olx.com.br/sergipe/terrenos/terreno-bairro-caraibas-1225018515,08/Oct/2023,19:13:13
Terrenos,,R$ 20.000,,Itabaianinha,SE,,Robertinha Santos,10/08/2023,https://se.olx.com.br/sergipe/terrenos/chao-vendo-ou-troco-1220805204,08/Oct/2023,19:13:13
Venda - casa em rua pública,3,null,,Itabaianinha,SE,,OLX,16/08/2023,https://se.olx.com.br/sergipe/imoveis/casa-no-centro-em-itabaianinha-tem-escritura-1222676968,08/Oct/2023,19:13:13
Venda - casa em rua pública,3,R$ 150.000,,Itabaianinha,SE,,Cali,19/08/2023,https://se.olx.com.br/sergipe/imoveis/casa-nova-1224167712,08/Oct/2023,19:13:13
Venda - casa em rua pública,5 ou mais,R$ 1.620.000,,Itabaianinha,SE,400m²,ON IMOB NEGOCIOS IMOBILIARIOS LTDA,19/06/2023,https://se.olx.com.br/sergipe/imoveis/casa-na-aruana-750m-6-quartos-4-suites-dce-possibilidade-de-porteira-fechada-e-local-1199840830,08/Oct/2023,19:13:13
