tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 80.000,Residencial Bebedouro,Bebedouro,SP,250m²,Lazaroto Personalizados,13/09/2023,https://sp.olx.com.br/regiao-de-sao-jose-do-rio-preto/terrenos/terreno-250-m-bebedouro-sp-1233215752,07/Oct/2023,14:16:46
Venda - casa em rua pública,1,R$ 128.043,Jardim Califórnia,Bebedouro,SP,94m²,Mega Leilões,10/08/2023,https://sp.olx.com.br/regiao-de-sao-jose-do-rio-preto/imoveis/casa-94-m-jardim-california-bebedouro-sp-1220888141,07/Oct/2023,14:16:46
Terrenos,,R$ 128.000,Centro,Bebedouro,SP,1000m²,Lázaro Vieira,24/08/2023,https://sp.olx.com.br/regiao-de-sao-jose-do-rio-preto/terrenos/lotes-para-chacara-1226157720,07/Oct/2023,14:16:46
Venda - casa em rua pública,2,R$ 160.000,Residencial Antonia Santaella,Bebedouro,SP,80m²,Chacrinha,01/10/2023,https://sp.olx.com.br/regiao-de-sao-jose-do-rio-preto/imoveis/vendo-ou-troco-casa-no-santaella-bebedouro-sp-1239369555,07/Oct/2023,14:16:46
Terrenos,,R$ 4.000.000,Centro,Bebedouro,SP,1074m²,Rosa & Rangel ? Consultoria e Assessoria Imobiliária,20/04/2023,https://sp.olx.com.br/regiao-de-sao-jose-do-rio-preto/terrenos/area-no-centro-de-bebedouro-para-investidores-imobiliaria-rosa-e-rangel-1175561070,07/Oct/2023,14:16:47
Venda - casa em rua pública,4,R$ 350.000,Centro,Bebedouro,SP,,Bia,25/09/2023,https://sp.olx.com.br/regiao-de-sao-jose-do-rio-preto/imoveis/venda-imovel-1237311046,07/Oct/2023,14:16:47
Venda - casa em rua pública,2,R$ 300.000,Jardim Casagrande,Bebedouro,SP,180m²,Trevisan ABC Imóveis e Seguros,30/08/2023,https://sp.olx.com.br/regiao-de-sao-jose-do-rio-preto/imoveis/casa-com-02-dorms-a-venda-180-m-jardim-casa-grande-bebedouro-sp-1227993583,07/Oct/2023,14:16:47
Venda - casa em rua pública,2,R$ 140.000,Jardim de Lúcia,Bebedouro,SP,65m²,Fabrina Ferreira Luz,16/08/2023,https://sp.olx.com.br/regiao-de-sao-jose-do-rio-preto/imoveis/casa-1223044134,07/Oct/2023,14:16:47
Terrenos,,R$ 120.000,Jardim Primavera,Bebedouro,SP,286m²,Leandro,07/10/2023,https://sp.olx.com.br/regiao-de-sao-jose-do-rio-preto/terrenos/terreno-1241324918,07/Oct/2023,14:16:47
Venda - casa em rua pública,3,R$ 420.000,Centro,Bebedouro,SP,200m²,Clélia S.,01/09/2023,https://sp.olx.com.br/regiao-de-sao-jose-do-rio-preto/imoveis/vende-se-ou-troca-casa-em-bebedouro-sp-1229211959,07/Oct/2023,14:16:47
Terrenos,,R$ 610.000,Jardim das Laranjeiras,Bebedouro,SP,900m²,Connectt Imóveis,24/06/2022,https://sp.olx.com.br/regiao-de-sao-jose-do-rio-preto/terrenos/area-a-venda-900-m-por-r-610-000-00-jardim-das-laranjeiras-bebedouro-sp-1049408023,07/Oct/2023,14:16:47
Terrenos,,R$ 51.490,Vila Irmã Antonieta Farani,Bebedouro,SP,280m²,Marcelo Luis Campanini Junior,18/08/2023,https://sp.olx.com.br/regiao-de-sao-jose-do-rio-preto/terrenos/terreno-280m-10x28-1223711594,07/Oct/2023,14:16:47
Venda - casa em rua pública,3,R$ 280.000,Residencial Pedro Maia,Bebedouro,SP,250m²,Airton Neves Almeida,02/10/2023,https://sp.olx.com.br/regiao-de-sao-jose-do-rio-preto/imoveis/casa-no-interior-com-3-quartos-edicula-e-varanda-1239794010,07/Oct/2023,14:16:47
Terrenos,,R$ 60.000,Centro,Bebedouro,SP,200m²,Adriana,14/08/2023,https://sp.olx.com.br/regiao-de-sao-jose-do-rio-preto/terrenos/terreno-quitado-8x25m-1221926429,07/Oct/2023,14:16:47
Terrenos,,R$ 4.000,Vila Maria,Bebedouro,SP,480m²,MQ OLIMP,06/10/2023,https://sp.olx.com.br/regiao-de-sao-jose-do-rio-preto/terrenos/patio-480m-centro-de-bebedouro-sp-locacao-1241072443,07/Oct/2023,14:16:47
