tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 2.700.000,Riviera,Bertioga,SP,700m²,SRW Imobiliária,01/10/2023,https://sp.olx.com.br/baixada-santista-e-litoral-sul/terrenos/terreno-a-venda-700-m-por-r-2-700-000-00-riviera-modulo-15-bertioga-sp-1239331387,07/Oct/2023,08:22:02
Terrenos,,R$ 2.180.000,Riviera,Bertioga,SP,420m²,UNIK BR,05/10/2023,https://sp.olx.com.br/baixada-santista-e-litoral-sul/terrenos/imovel-para-venda-em-bertioga-riviera-de-sao-lourenco-1240563859,07/Oct/2023,08:22:02
Terrenos,,R$ 230.000,Chácaras,Bertioga,SP,3800m²,L4S,03/10/2023,https://sp.olx.com.br/baixada-santista-e-litoral-sul/terrenos/terreno-para-venda-em-chacaras-de-3800-00m-1240065242,07/Oct/2023,08:22:02
Terrenos,,R$ 3.385.480,Riviera,Bertioga,SP,846m²,Imobiliária Pedro de Lima - Unidade Riviera,02/10/2023,https://sp.olx.com.br/baixada-santista-e-litoral-sul/terrenos/imovel-para-venda-em-bertioga-riviera-de-sao-lourenco-1239517550,07/Oct/2023,08:22:02
Terrenos,,R$ 1.500.000,Riviera,Bertioga,SP,525m²,VENTURA RIVIERA,02/10/2023,https://sp.olx.com.br/baixada-santista-e-litoral-sul/terrenos/terreno-a-venda-525-m-por-r-1-500-000-riviera-modulo-22-bertioga-sp-1239541973,07/Oct/2023,08:22:02
Terrenos,,R$ 170.000,Boraceia,Bertioga,SP,450m²,ARBO IMÓVEIS,26/09/2023,https://sp.olx.com.br/baixada-santista-e-litoral-sul/terrenos/terreno-para-venda-em-bertioga-sp-no-bairro-balneario-mogiano-1237631501,07/Oct/2023,08:22:02
Terrenos,,R$ 3.400.000,Riviera,Bertioga,SP,617m²,SRW Imobiliária,27/09/2023,https://sp.olx.com.br/baixada-santista-e-litoral-sul/terrenos/terreno-a-venda-617-m-por-r-3-400-000-riviera-modulo-17-bertioga-sp-1238122196,07/Oct/2023,08:22:02
Terrenos,,R$ 1.500.000,Riviera,Bertioga,SP,525m²,G20 Riviera,29/09/2023,https://sp.olx.com.br/baixada-santista-e-litoral-sul/terrenos/terreno-a-venda-525-m-por-r-1-500-000-00-riviera-modulo-22-bertioga-sp-1238695067,07/Oct/2023,08:22:02
Terrenos,,R$ 2.400.000,Boraceia,Bertioga,SP,1215m²,L4S,05/10/2023,https://sp.olx.com.br/baixada-santista-e-litoral-sul/terrenos/terreno-para-venda-em-centro-de-1215-00m-1240510352,07/Oct/2023,08:22:02
Terrenos,,R$ 350.000,Guaratuba,Bertioga,SP,451m²,AMG,30/09/2023,https://sp.olx.com.br/baixada-santista-e-litoral-sul/terrenos/terreno-a-venda-451-m-por-r-350-000-00-guaratuba-bertioga-sp-1238911746,07/Oct/2023,08:22:02
Terrenos,,R$ 60.000,Chácaras,Bertioga,SP,,Sss,27/09/2023,https://sp.olx.com.br/baixada-santista-e-litoral-sul/terrenos/terreno-em-bertioga-1237948300,07/Oct/2023,08:22:02
Terrenos,,R$ 350.000,Guaratuba,Bertioga,SP,451m²,AMG,30/09/2023,https://sp.olx.com.br/baixada-santista-e-litoral-sul/terrenos/terreno-a-venda-451-m-por-r-350-000-00-guaratuba-bertioga-sp-1239187557,07/Oct/2023,08:22:02
Terrenos,,R$ 2.700.000,Riviera,Bertioga,SP,700m²,Imobiliária Pedro de Lima - Unidade Riviera,02/10/2023,https://sp.olx.com.br/baixada-santista-e-litoral-sul/terrenos/imovel-para-venda-em-bertioga-riviera-de-sao-lourenco-1239517931,07/Oct/2023,08:22:02
