tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 85.000,GSP Life Boituva,Boituva,SP,140m²,L4S,07/10/2023,https://sp.olx.com.br/regiao-de-sorocaba/terrenos/terreno-para-venda-em-gsp-life-boituva-de-140-00m-1241183476,07/Oct/2023,12:09:43
Terrenos,,R$ 280.000,Residencial São José de Boituva,Boituva,SP,1000m²,L4S,03/10/2023,https://sp.olx.com.br/regiao-de-sorocaba/terrenos/terreno-para-venda-em-sao-jose-de-boituva-de-1000-00m-1240056940,07/Oct/2023,12:09:43
Terrenos,,R$ 220.000,Residencial Campo Belo,Boituva,SP,1003m²,L4S,07/10/2023,https://sp.olx.com.br/regiao-de-sorocaba/terrenos/terreno-para-venda-em-residencial-campo-belo-de-1003-00m-1241180811,07/Oct/2023,12:09:43
Terrenos,,R$ 600.000,Flora Ville,Boituva,SP,600m²,L4S,07/10/2023,https://sp.olx.com.br/regiao-de-sorocaba/terrenos/terreno-para-venda-em-flora-ville-de-600-00m-1241182072,07/Oct/2023,12:09:43
Terrenos,,R$ 160.000,Jardim Valparaíso,Boituva,SP,,Cássio Carniel Batista,06/10/2023,https://sp.olx.com.br/regiao-de-sorocaba/terrenos/otimo-terreno-em-condominio-para-venda-1240836279,07/Oct/2023,12:09:43
Terrenos,,R$ 510.000,Parque das Árvores,Boituva,SP,1000m²,Barrilari Imoveis e Empreendimentos,05/10/2023,https://sp.olx.com.br/regiao-de-sorocaba/terrenos/terreno-a-venda-1000-m-por-r-510-000-parque-das-arvores-boituva-sp-1240601378,07/Oct/2023,12:09:43
Terrenos,,R$ 2.600.000,Jardim Amélia,Boituva,SP,10000m²,L4S,05/10/2023,https://sp.olx.com.br/regiao-de-sorocaba/terrenos/terreno-para-venda-em-jardim-amelia-de-10000-00m-1240509970,07/Oct/2023,12:09:43
Terrenos,,R$ 160.000,Recanto Maravilha,Boituva,SP,1000m²,Vendo em Boituva,06/10/2023,https://sp.olx.com.br/regiao-de-sorocaba/terrenos/terreno-para-venda-em-boituva-recanto-maravilha-1240955818,07/Oct/2023,12:09:43
Terrenos,,R$ 100.000,Centro,Boituva,SP,240m²,Cele Duarte,03/10/2023,https://sp.olx.com.br/regiao-de-sorocaba/terrenos/vendo-terreno-8x30-1240084421,07/Oct/2023,12:09:43
Terrenos,,R$ 65.000,Terra de Santa Cruz I,Boituva,SP,125m²,L4S,03/10/2023,https://sp.olx.com.br/regiao-de-sorocaba/terrenos/terreno-para-venda-em-terra-de-santa-cruz-i-de-125-00m-1239837447,07/Oct/2023,12:09:43
Terrenos,,R$ 318.000,Portal Ville Jardins,Boituva,SP,260m²,L4S,07/10/2023,https://sp.olx.com.br/regiao-de-sorocaba/terrenos/terreno-para-venda-em-portal-ville-jardim-europa-de-260-00m-1241178772,07/Oct/2023,12:09:43
Terrenos,,R$ 190.000,Jardim Santa Adélia,Boituva,SP,1000m²,Imobiliaria Jazz,03/10/2023,https://sp.olx.com.br/regiao-de-sorocaba/terrenos/terreno-a-venda-no-bairro-santa-adelia-boituva-sp-possui-1000m-1239897306,07/Oct/2023,12:09:43
