tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 445.000,Santa Inês,Caieiras,SP,3185m²,MIRANTTE IMÓVEIS - AG. SERRA DA CANTAREIRA,07/10/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-em-serra-da-cantareira-1241199484,08/Oct/2023,14:01:26
Terrenos,,R$ 120.000,Santa Inês,Caieiras,SP,697m²,MIRANTTE IMÓVEIS - AG. SERRA DA CANTAREIRA,06/10/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-em-santa-ines-1240860485,08/Oct/2023,14:01:26
Terrenos,,R$ 189.440,Laranjeiras,Caieiras,SP,175m²,USUÁRIO NEWCORE,24/09/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/lote-em-rua-patativa-laranjeiras-caieiras-sp-1237182902,08/Oct/2023,14:01:26
Terrenos,,R$ 295.000,Laranjeiras,Caieiras,SP,175m²,CASA BELLU EMPREENDIMENTOS IMOBILIARIOS EIRELI - ME,29/09/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-em-laranjeiras--caieiras-1238827657,08/Oct/2023,14:01:26
Terrenos,,R$ 95.000,Serpa,Caieiras,SP,145m²,Micaele,02/10/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/vendo-terreno-em-caieiras-1239505986,08/Oct/2023,14:01:26
Terrenos,,R$ 88.890,Serpa,Caieiras,SP,150m²,USUÁRIO NEWCORE,23/09/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/lote-em-avenida-marcelino-bressiani-serpa-caieiras-sp-1236779629,08/Oct/2023,14:01:26
Terrenos,,R$ 48.000,,Caieiras,SP,135m²,Silva,03/10/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-lote-em-franco-da-rocha-prox-rodao-entrada-48-mil-1240064020,08/Oct/2023,14:01:26
Terrenos,,R$ 3.100.000,Santa Inês,Caieiras,SP,96800m²,SEGALI NEGÓCIOS IMOBILIÁRIOS LTDA,21/09/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-venda-96800m-cantareira-sp-1236049186,08/Oct/2023,14:01:26
Terrenos,,R$ 129.230,Santa Inês,Caieiras,SP,300m²,USUÁRIO NEWCORE,23/09/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/lote-em-estrada-santa-ines-santa-ines-caieiras-sp-1236779342,08/Oct/2023,14:01:27
Terrenos,,R$ 1.300,Serpa,Caieiras,SP,50m²,Gustavo R. Souza,28/09/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/ponto-comercial-loja-para-aluguel-com-50-m-perto-do-federzoni-jd-dos-eucaliptos-caieira-1238204856,08/Oct/2023,14:01:27
