tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 80.000,,Cedral,SP,180m²,Imobiliária Oliva,27/09/2023,https://sp.olx.com.br/regiao-de-sao-jose-do-rio-preto/terrenos/terreno-a-venda-180-m-por-r-80-000-00-mais-parque-cedral-sp-1238160406,07/Oct/2023,15:26:08
Terrenos,,R$ 80.000,,Cedral,SP,180m²,L4S,25/09/2023,https://sp.olx.com.br/regiao-de-sao-jose-do-rio-preto/terrenos/terreno-para-venda-em-mais-parque-de-180-00m-1237487098,07/Oct/2023,15:26:08
Terrenos,,R$ 65.000,,Cedral,SP,180m²,L4S,18/09/2023,https://sp.olx.com.br/regiao-de-sao-jose-do-rio-preto/terrenos/terreno-para-venda-em-jardim-sao-paulo-de-180-00m-1234866348,07/Oct/2023,15:26:08
Terrenos,,R$ 15,,Cedral,SP,180m²,Max Soares Oliveira,24/09/2023,https://sp.olx.com.br/regiao-de-sao-jose-do-rio-preto/terrenos/vendo-terreno-1237208276,07/Oct/2023,15:26:08
Terrenos,,R$ 5.000.000,,Cedral,SP,25000m²,Imobiliária Redentora,16/09/2023,https://sp.olx.com.br/regiao-de-sao-jose-do-rio-preto/terrenos/terreno-area-em-cedral-1234376114,07/Oct/2023,15:26:08
Terrenos,,R$ 23.000,,Cedral,SP,180m²,Rodrigues,03/10/2023,https://sp.olx.com.br/regiao-de-sao-jose-do-rio-preto/terrenos/oportunidade-terreno-otimo-1239942273,07/Oct/2023,15:26:08
Terrenos,,R$ 240.000,,Cedral,SP,367m²,L4S,18/09/2023,https://sp.olx.com.br/regiao-de-sao-jose-do-rio-preto/terrenos/terreno-para-venda-em-centro-de-367-00m-1234867520,07/Oct/2023,15:26:08
Terrenos,,R$ 80.000,,Cedral,SP,180m²,TUGÃO IMOVEIS LTDA ME,20/09/2023,https://sp.olx.com.br/regiao-de-sao-jose-do-rio-preto/terrenos/terreno-residencial-para-venda-mais-parque-cedral-1235713517,07/Oct/2023,15:26:08
Terrenos,,R$ 300.000,,Cedral,SP,532m²,Taís Imóveis,11/09/2023,https://sp.olx.com.br/regiao-de-sao-jose-do-rio-preto/terrenos/terreno-532-m-distrito-industrial-de-cedral-sp-1232552046,07/Oct/2023,15:26:08
Terrenos,,R$ 5.000.000,,Cedral,SP,25000m²,LOCABENS NEGOCIOS IMOBILIARIOS LTDA - EPP,16/09/2023,https://sp.olx.com.br/regiao-de-sao-jose-do-rio-preto/terrenos/terreno-area-em-cedral-1234421632,07/Oct/2023,15:26:08
Terrenos,,R$ 85.000,,Cedral,SP,180m²,FIT PRIME EMPREENDIMENTOS,30/09/2023,https://sp.olx.com.br/regiao-de-sao-jose-do-rio-preto/terrenos/terreno-a-venda-180-m-por-r-85-000-portal-do-cedro-cedral-sao-paulo-1239004250,07/Oct/2023,15:26:08
