tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 980.000,,Cordeirópolis,SP,4500m²,ELDORADO IMOBILIARIA UNIDADE HORTOLANDIA,13/09/2023,https://sp.olx.com.br/grande-campinas/terrenos/area-a-venda-4500-m-por-r-980-000-00-cascalho-cordeiropolis-sp-1233220872,07/Oct/2023,20:29:42
Terrenos,,R$ 2.000.000,,Cordeirópolis,SP,20000m²,Flavio Celoti,04/09/2023,https://sp.olx.com.br/grande-campinas/terrenos/cordeiropolis-sp-1230219150,07/Oct/2023,20:29:42
Terrenos,,R$ 590.000,,Cordeirópolis,SP,2500m²,ELDORADO IMOBILIARIA LTDA,18/07/2023,https://sp.olx.com.br/grande-campinas/terrenos/area-a-venda-2500-m-por-r-590-000-00-cascalho-cordeiropolis-sp-1211498261,07/Oct/2023,20:29:42
Terrenos,,R$ 476.362,Jardim Flamboyant,Cordeirópolis,SP,574m²,Mattiazzo Imóveis,30/03/2023,https://sp.olx.com.br/grande-campinas/terrenos/cordeiropolis-terreno-padrao-jardim-flamboyant-991955733,07/Oct/2023,20:29:42
Terrenos,,R$ 30.000.000,,Cordeirópolis,SP,100m²,XAVIER CAMARGO IMOBILIÁRIA,05/07/2023,https://sp.olx.com.br/grande-campinas/terrenos/area-de-expansao-urbana-a-venda-em-cordeiropolis-1206690726,07/Oct/2023,20:29:42
Terrenos,,R$ 4.800.000,,Cordeirópolis,SP,39531m²,FARIA & NOGUEIRA NEGÓCIOS IMOBILIÁRIOS,07/04/2023,https://sp.olx.com.br/grande-campinas/terrenos/area-a-venda-distrito-industrial-cordeiropolis-sp-1090020237,07/Oct/2023,20:29:42
Terrenos,,R$ 190.000,,Cordeirópolis,SP,270m²,MAIMONI & FERNANDES CORRETORA DE IMOVEIS,20/03/2023,https://sp.olx.com.br/grande-campinas/terrenos/terreno-a-venda-270-m-por-r-190-000-00-jardim-residencial-florenca-cordeiropolis-sp-991831728,07/Oct/2023,20:29:42
Terrenos,,R$ 850.000,,Cordeirópolis,SP,70m²,XAVIER CAMARGO IMOBILIÁRIA,05/07/2023,https://sp.olx.com.br/grande-campinas/terrenos/chacara-a-venda-no-bairro-cascalho-1206769496,07/Oct/2023,20:29:42
Terrenos,,R$ 472.702,Jardim Flamboyant,Cordeirópolis,SP,570m²,Mattiazzo Imóveis,09/03/2023,https://sp.olx.com.br/grande-campinas/terrenos/cordeiropolis-terreno-padrao-jardim-flamboyant-991955616,07/Oct/2023,20:29:42
Terrenos,,R$ 488.422,Jardim Flamboyant,Cordeirópolis,SP,588m²,Mattiazzo Imóveis,12/04/2023,https://sp.olx.com.br/grande-campinas/terrenos/cordeiropolis-terreno-padrao-jardim-flamboyant-991955831,07/Oct/2023,20:29:42
