tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 79.000,,Itanhaém,SP,260m²,Rasek Imóveis,05/10/2023,https://sp.olx.com.br/baixada-santista-e-litoral-sul/terrenos/terreno-gaivotas-itanhaem-r-79-mil-cod-1267-1240513772,07/Oct/2023,07:44:06
Terrenos,,R$ 65.000,,Itanhaém,SP,360m²,Rasek Imóveis,05/10/2023,https://sp.olx.com.br/baixada-santista-e-litoral-sul/terrenos/terreno-estancia-eucaliptos-peruibe-r-65-mil-cod-392-1240512951,07/Oct/2023,07:44:06
Terrenos,,R$ 1.500.000,,Itanhaém,SP,1450m²,Rasek Imóveis,05/10/2023,https://sp.olx.com.br/baixada-santista-e-litoral-sul/terrenos/terreno-suarao-itanhaem-r-1-5-mi-cod-1487-1240512576,07/Oct/2023,07:44:06
Terrenos,,R$ 145.000,,Itanhaém,SP,250m²,Rasek Imóveis,05/10/2023,https://sp.olx.com.br/baixada-santista-e-litoral-sul/terrenos/terreno-jamaica-itanhaem-r-145-mil-cod-1526-1240512560,07/Oct/2023,07:44:06
Terrenos,,R$ 100.000,,Itanhaém,SP,253m²,Rasek Imóveis,05/10/2023,https://sp.olx.com.br/baixada-santista-e-litoral-sul/terrenos/terreno-campos-eliseos-itanhaem-r-100-mil-cod-896-1240511807,07/Oct/2023,07:44:06
Terrenos,,R$ 50.000,,Itanhaém,SP,330m²,Biro,05/10/2023,https://sp.olx.com.br/baixada-santista-e-litoral-sul/terrenos/vende-se-terreno-murado-no-litoral-sp-1077432263,07/Oct/2023,07:44:06
Terrenos,,R$ 140.000,,Itanhaém,SP,250m²,Rasek Imóveis,05/10/2023,https://sp.olx.com.br/baixada-santista-e-litoral-sul/terrenos/terreno-bopiranga-itanhaem-r-140-mil-cod-701-1240512483,07/Oct/2023,07:44:06
Terrenos,,R$ 12.000,,Itanhaém,SP,,Jailton S.,04/10/2023,https://sp.olx.com.br/baixada-santista-e-litoral-sul/terrenos/terreno-itanhaem-1231056198,07/Oct/2023,07:44:06
Terrenos,,R$ 55,,Itanhaém,SP,300m²,Sidnei S.,05/10/2023,https://sp.olx.com.br/baixada-santista-e-litoral-sul/terrenos/vendo-terreno-no-jardim-santa-terezinha-itanhaem-com-escritura-1240588979,07/Oct/2023,07:44:06
Terrenos,,R$ 899.600,,Itanhaém,SP,1250m²,USUÁRIO NEWCORE,05/10/2023,https://sp.olx.com.br/baixada-santista-e-litoral-sul/terrenos/lote-em-rua-olegario-mariano-de-moraes-jardim-corumba-itanhaem-sp-1240518737,07/Oct/2023,07:44:06
Terrenos,,R$ 450.000,,Itanhaém,SP,750m²,Rasek Imóveis,05/10/2023,https://sp.olx.com.br/baixada-santista-e-litoral-sul/terrenos/terreno-tupy-itanhaem-r-450-mil-cod-1282-1240511189,07/Oct/2023,07:44:06
Terrenos,,R$ 140.000,,Itanhaém,SP,420m²,ALEX FERRARI,06/10/2023,https://sp.olx.com.br/baixada-santista-e-litoral-sul/terrenos/terreno-para-venda-em-itanhaem-cibratel-2-1240855449,07/Oct/2023,07:44:06
Terrenos,,R$ 420.000,,Itanhaém,SP,750m²,Rasek Imóveis,05/10/2023,https://sp.olx.com.br/baixada-santista-e-litoral-sul/terrenos/terreno-bopiranga-itanhaem-r-420-mil-cod-699-1240512961,07/Oct/2023,07:44:06
Terrenos,,R$ 400.000,,Itanhaém,SP,866m²,Rasek Imóveis,05/10/2023,https://sp.olx.com.br/baixada-santista-e-litoral-sul/terrenos/terreno-sao-fernando-itanhaem-r-400-mil-cod-1241-1240513002,07/Oct/2023,07:44:06
Terrenos,,R$ 120.000,,Itanhaém,SP,279m²,Biro,04/10/2023,https://sp.olx.com.br/baixada-santista-e-litoral-sul/terrenos/vende-se-excelente-terreno-com-279-mts2-a-450-mts2-da-praia-na-cidade-de-itanhaem-1237240387,07/Oct/2023,07:44:06
Terrenos,,R$ 100.000,,Itanhaém,SP,300m²,Talita J.,05/10/2023,https://sp.olx.com.br/baixada-santista-e-litoral-sul/terrenos/terreno-300-m2-em-itanhaem-jardim-sao-fernando-1240721806,07/Oct/2023,07:44:07
Terrenos,,R$ 120.000,,Itanhaém,SP,336m²,Rasek Imóveis,05/10/2023,https://sp.olx.com.br/baixada-santista-e-litoral-sul/terrenos/terreno-cibratel-ii-itanhaem-r-120-mil-cod-1327-1240512559,07/Oct/2023,07:44:07
Terrenos,,R$ 175.000,,Itanhaém,SP,343m²,Rasek Imóveis,05/10/2023,https://sp.olx.com.br/baixada-santista-e-litoral-sul/terrenos/terreno-grandesp-itanhaem-r-175-mil-cod-1462-1240512424,07/Oct/2023,07:44:07
Terrenos,,R$ 300.000,,Itanhaém,SP,533m²,Rasek Imóveis,05/10/2023,https://sp.olx.com.br/baixada-santista-e-litoral-sul/terrenos/terreno-jardim-iemanja-itanhaem-r-300-mil-cod-1070-1240511488,07/Oct/2023,07:44:07
Terrenos,,R$ 95.000,,Itanhaém,SP,250m²,Rasek Imóveis,05/10/2023,https://sp.olx.com.br/baixada-santista-e-litoral-sul/terrenos/terreno-gaivotas-itanhaem-r-95-mil-cod-1199-1240511283,07/Oct/2023,07:44:07
Terrenos,,R$ 160.000,,Itanhaém,SP,260m²,Rasek Imóveis,05/10/2023,https://sp.olx.com.br/baixada-santista-e-litoral-sul/terrenos/terreno-gaivotas-itanhaem-r-160-mil-cod-1287-1240511132,07/Oct/2023,07:44:07
Terrenos,,R$ 140.000,,Itanhaém,SP,250m²,Rasek Imóveis,05/10/2023,https://sp.olx.com.br/baixada-santista-e-litoral-sul/terrenos/terreno-bopiranga-itanhaem-r-140-mil-cod-698-1240511515,07/Oct/2023,07:44:07
Terrenos,,R$ 180.000,,Itanhaém,SP,370m²,Rasek Imóveis,05/10/2023,https://sp.olx.com.br/baixada-santista-e-litoral-sul/terrenos/terreno-jardim-fazendinha-itanhaem-r-180-mil-cod-1392-1240499781,07/Oct/2023,07:44:07
Terrenos,,R$ 110.000,,Itanhaém,SP,250m²,ALEX FERRARI,06/10/2023,https://sp.olx.com.br/baixada-santista-e-litoral-sul/terrenos/terreno-para-venda-em-itanhaem-nossa-senhora-do-sion-1240855493,07/Oct/2023,07:44:07
Terrenos,,R$ 140.000,,Itanhaém,SP,250m²,Rasek Imóveis,05/10/2023,https://sp.olx.com.br/baixada-santista-e-litoral-sul/terrenos/terreno-bopiranga-itanhaem-r-140-mil-cod-694-1240512519,07/Oct/2023,07:44:07
Terrenos,,R$ 1.100.000,,Itanhaém,SP,1054m²,Rasek Imóveis,05/10/2023,https://sp.olx.com.br/baixada-santista-e-litoral-sul/terrenos/terreno-gaivotas-itanhaem-r-1-1-mi-cod-1243-1240516330,07/Oct/2023,07:44:07
Terrenos,,R$ 185.000,,Itanhaém,SP,478m²,Rasek Imóveis,05/10/2023,https://sp.olx.com.br/baixada-santista-e-litoral-sul/terrenos/terreno-cibratel-ii-itanhaem-r-185-mil-cod-465-1240513314,07/Oct/2023,07:44:07
Terrenos,,R$ 110.000,,Itanhaém,SP,420m²,Rasek Imóveis,05/10/2023,https://sp.olx.com.br/baixada-santista-e-litoral-sul/terrenos/terreno-cibratel-ii-itanhaem-r-110-mil-cod-1349-1240513317,07/Oct/2023,07:44:07
Terrenos,,R$ 160.000,,Itanhaém,SP,300m²,Fabiana Pacheco Almeida de Abreu,05/10/2023,https://sp.olx.com.br/baixada-santista-e-litoral-sul/terrenos/terreno-a-venda-300-m-por-r-160-000-00-cidade-simalar-itanhaem-sp-1240558004,07/Oct/2023,07:44:07
Terrenos,,R$ 48.000,,Itanhaém,SP,125m²,Rasek Imóveis,05/10/2023,https://sp.olx.com.br/baixada-santista-e-litoral-sul/terrenos/terreno-nova-itanhaem-itanhaem-r-48-mil-cod-1119-1240511650,07/Oct/2023,07:44:07
Terrenos,,R$ 140.000,,Itanhaém,SP,384m²,Rasek Imóveis,05/10/2023,https://sp.olx.com.br/baixada-santista-e-litoral-sul/terrenos/terreno-bopiranga-itanhaem-r-140-mil-cod-695-1240513118,07/Oct/2023,07:44:07
Terrenos,,R$ 15.000,,Itanhaém,SP,135m²,Pamela souza,02/10/2023,https://sp.olx.com.br/baixada-santista-e-litoral-sul/terrenos/terreno-em-itanhaem-1230442489,07/Oct/2023,07:44:08
Terrenos,,R$ 90.000,,Itanhaém,SP,250m²,Petra Ramos,02/10/2023,https://sp.olx.com.br/baixada-santista-e-litoral-sul/terrenos/peruibe-itanhaem-300-m-da-praia-1239550867,07/Oct/2023,07:44:08
Terrenos,,R$ 135.000,,Itanhaém,SP,334m²,RM IMÓVEIS LTDA,29/09/2023,https://sp.olx.com.br/baixada-santista-e-litoral-sul/terrenos/terreno-escriturado-e-aterrado-com-334m-no-bairro-jardim-grandesp-1238846616,07/Oct/2023,07:44:08
Terrenos,,R$ 50.000,,Itanhaém,SP,292m²,Cida,04/10/2023,https://sp.olx.com.br/baixada-santista-e-litoral-sul/terrenos/terreno-em-itanhaem-sp-lote-33-quadra-g-gleba-18-jardim-coronel-1240309320,07/Oct/2023,07:44:08
Terrenos,,R$ 110.000,,Itanhaém,SP,300m²,Rasek Imóveis,05/10/2023,https://sp.olx.com.br/baixada-santista-e-litoral-sul/terrenos/terreno-cibratel-ii-itanhaem-r-110-mil-cod-1106-1240498263,07/Oct/2023,07:44:08
Terrenos,,R$ 70.000,,Itanhaém,SP,320m²,Isabella nantes,02/10/2023,https://sp.olx.com.br/baixada-santista-e-litoral-sul/terrenos/terreno-na-praia-de-divisa-itanhaem-e-mongagua-de-10x32m-1239780094,07/Oct/2023,07:44:08
Terrenos,,R$ 480.000,,Itanhaém,SP,1050m²,Rasek Imóveis,05/10/2023,https://sp.olx.com.br/baixada-santista-e-litoral-sul/terrenos/terreno-jamaica-itanhaem-r-480-mil-cod-697-1240498232,07/Oct/2023,07:44:08
Terrenos,,R$ 30.000,,Itanhaém,SP,270m²,carlos,29/09/2023,https://sp.olx.com.br/baixada-santista-e-litoral-sul/terrenos/jardim-coronel-1238665662,07/Oct/2023,07:44:08
Terrenos,,R$ 110.000,,Itanhaém,SP,300m²,RODRIGO SOUZA IMOBILIARIA,30/09/2023,https://sp.olx.com.br/baixada-santista-e-litoral-sul/terrenos/terreno-a-venda-300-m-por-r-110-000-00-santa-terezinha-itanhaem-sp-1238985116,07/Oct/2023,07:44:08
Terrenos,,R$ 150.000,,Itanhaém,SP,308m²,Rasek Imóveis,05/10/2023,https://sp.olx.com.br/baixada-santista-e-litoral-sul/terrenos/terreno-gaivotas-itanhaem-r-150-mil-cod-1245-1240498258,07/Oct/2023,07:44:08
Terrenos,,R$ 5.000,,Itanhaém,SP,125m²,Itabens,02/10/2023,https://sp.olx.com.br/baixada-santista-e-litoral-sul/terrenos/oportunidade-da-semana-terreno-em-itanhaem-1239495534,07/Oct/2023,07:44:08
Terrenos,,R$ 840.000,,Itanhaém,SP,1500m²,Rasek Imóveis,05/10/2023,https://sp.olx.com.br/baixada-santista-e-litoral-sul/terrenos/terreno-bopiranga-itanhaem-r-840-mil-cod-696-1240498230,07/Oct/2023,07:44:08
Terrenos,,R$ 180.000,,Itanhaém,SP,270m²,Litorall Soluções Imobiliárias,30/09/2023,https://sp.olx.com.br/baixada-santista-e-litoral-sul/terrenos/terreno-a-venda-jardim-marilu-itanhaem-sp-1238975993,07/Oct/2023,07:44:08
Terrenos,,R$ 94.370,,Itanhaém,SP,283m²,USUÁRIO NEWCORE,30/09/2023,https://sp.olx.com.br/baixada-santista-e-litoral-sul/terrenos/lote-em-avenida-benedito-antonio-muniz-lote-28-quadra-7-balneario-aclimacao-itanh-1238917587,07/Oct/2023,07:44:08
Terrenos,,R$ 630.000,,Itanhaém,SP,312m²,Imóveis Nobre Ltda ME,30/09/2023,https://sp.olx.com.br/baixada-santista-e-litoral-sul/terrenos/terreno-no-bairro-centro-1239093613,07/Oct/2023,07:44:08
Terrenos,,R$ 105.000,,Itanhaém,SP,332m²,RM IMÓVEIS LTDA,30/09/2023,https://sp.olx.com.br/baixada-santista-e-litoral-sul/terrenos/terreno-de-332m-escriturado-localizado-no-bairro-jardim-palmeiras-1239159914,07/Oct/2023,07:44:08
Terrenos,,null,,Itanhaém,SP,429m²,Andre O.,02/10/2023,https://sp.olx.com.br/baixada-santista-e-litoral-sul/terrenos/vende-se-terreno-jardim-cibrateii-metragem-14-por-32-5-1239738126,07/Oct/2023,07:44:08
Terrenos,,R$ 135.000,,Itanhaém,SP,300m²,RM IMÓVEIS LTDA,30/09/2023,https://sp.olx.com.br/baixada-santista-e-litoral-sul/terrenos/terreno-escriturado-com-300-metros-quadrados-no-bairro-jardim-regina-itanhaem-sp-1238913462,07/Oct/2023,07:44:08
Terrenos,,R$ 12.000,,Itanhaém,SP,,Jailton S.,04/10/2023,https://sp.olx.com.br/baixada-santista-e-litoral-sul/terrenos/terreno-itanhaem-1231056198,07/Oct/2023,07:44:08
Terrenos,,R$ 135.000,,Itanhaém,SP,300m²,RM IMÓVEIS LTDA,30/09/2023,https://sp.olx.com.br/baixada-santista-e-litoral-sul/terrenos/terreno-para-venda-com-300-metros-quadrados-em-jardim-regina-itanhaem-sp-1239188505,07/Oct/2023,07:44:08
Terrenos,,R$ 60.000,,Itanhaém,SP,258m²,bea1234jesus5678,02/10/2023,https://sp.olx.com.br/baixada-santista-e-litoral-sul/terrenos/terreno-na-praia-de-itanhaem-1239551034,07/Oct/2023,07:44:08
Terrenos,,R$ 85.000,,Itanhaém,SP,280m²,Edson Nascimento da Hora Júnior,01/10/2023,https://sp.olx.com.br/baixada-santista-e-litoral-sul/terrenos/lote-inteiro-em-itanhaem-pertinho-da-rodovia-1239276701,07/Oct/2023,07:44:09
