tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 120.000,Vila Lambari,Mococa,SP,180m²,MAIS MAIS IMÓVEIS,25/08/2023,https://sp.olx.com.br/grande-campinas/terrenos/terreno-a-venda-no-condominio-sao-miguel-mococa-1226601830,07/Oct/2023,18:08:03
Terrenos,,R$ 80.000,Loteamento Residencial Vale Verde,Mococa,SP,250m²,ELDORADO IMOBILIARIA UNIDADE HORTOLANDIA,13/09/2023,https://sp.olx.com.br/grande-campinas/terrenos/excelente-terreno-a-venda-residencial-vale-verde-mococa-sp-1233169653,07/Oct/2023,18:08:03
Terrenos,,R$ 319.261,Distrito Industrial I,Mococa,SP,1066m²,Anderson e Jacqueline Imobiliaria e Administração de Bens e Imóveis LTDA,19/05/2023,https://sp.olx.com.br/grande-campinas/terrenos/mococa-terreno-padrao---distrito-industrial-i-1187395629,07/Oct/2023,18:08:03
Terrenos,,R$ 80.000,Loteamento Residencial Vale Verde,Mococa,SP,250m²,ELDORADO IMOBILIARIA LTDA,14/04/2023,https://sp.olx.com.br/grande-campinas/terrenos/excelente-terreno-a-venda-residencial-vale-verde-mococa-sp-1172536835,07/Oct/2023,18:08:03
Terrenos,,R$ 319.261,Distrito Industrial I,Mococa,SP,1066m²,BJFlores Imóveis,17/07/2023,https://sp.olx.com.br/grande-campinas/terrenos/mococa-distrito-industrial-i-oportunidade-unica-em-mococa-sp-tipo-terreno-negoc-1211075056,07/Oct/2023,18:08:03
Terrenos,,R$ 120.000,Vila Lambari,Mococa,SP,200m²,MAIS MAIS IMÓVEIS,25/08/2023,https://sp.olx.com.br/grande-campinas/terrenos/terreno-lote-a-venda-no-condominio-sao-miguel-mococa-1226586143,07/Oct/2023,18:08:03
Terrenos,,R$ 160.000,Jardim José André de Lima,Mococa,SP,849m²,CAF - CENTRO ADMINISTRATIVO FURIO,13/05/2023,https://sp.olx.com.br/grande-campinas/terrenos/chacara-a-venda-849-m-por-r-160-000-00-porto-do-rio-pardo-mococa-sp-1184762889,07/Oct/2023,18:08:03
Terrenos,,R$ 319.261,Distrito Industrial I,Mococa,SP,1066m²,V. D. P. IMOVEIS,08/04/2023,https://sp.olx.com.br/grande-campinas/terrenos/terreno-a-venda-1-066-m-por-r-319-261-distrito-industrial-i-mococa-sp-1170246621,07/Oct/2023,18:08:03
Terrenos,,R$ 103.617,Condomínio Boa Vista,Mococa,SP,314m²,Souza Imobiliária,22/08/2023,https://sp.olx.com.br/grande-campinas/terrenos/lote-em-condominio-a-venda-1-vaga-condominio-boa-vista-mococa-sp-1224958492,07/Oct/2023,18:08:03
Terrenos,,R$ 319.261,Distrito Industrial I,Mococa,SP,1066m²,L4S,29/09/2023,https://sp.olx.com.br/grande-campinas/terrenos/terreno-para-venda-em-distrito-industrial-i-de-1066-00m-com-1-quarto-1238895350,07/Oct/2023,18:08:04
Terrenos,,R$ 100.000,Mocoquinha,Mococa,SP,250m²,Ivan Bass,25/08/2023,https://sp.olx.com.br/grande-campinas/terrenos/terreno-250m-1226460018,07/Oct/2023,18:08:04
Terrenos,,R$ 319.261,Distrito Industrial I,Mococa,SP,1066m²,Boni Imóveis Online,24/07/2023,https://sp.olx.com.br/grande-campinas/terrenos/mococa-distrito-industrial-i-oportunidade-unica-em-mococa-sp-tipo-terreno-1214032822,07/Oct/2023,18:08:04
Terrenos,,R$ 319.261,Distrito Industrial I,Mococa,SP,1066m²,Missão Imóveis,23/07/2023,https://sp.olx.com.br/grande-campinas/terrenos/mococa-terreno-padrao---distrito-industrial-i-1213630326,07/Oct/2023,18:08:04
