tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 186.000,Residencial do Bosque,Mogi Mirim,SP,300m²,L4S,07/10/2023,https://sp.olx.com.br/grande-campinas/terrenos/terreno-para-venda-em-residencial-do-bosque-de-300-00m-1241182962,07/Oct/2023,18:11:38
Terrenos,,R$ 185.000,Jardim Maria Beatriz,Mogi Mirim,SP,341m²,L4S,01/10/2023,https://sp.olx.com.br/grande-campinas/terrenos/terreno-para-venda-em-jardim-maria-beatriz-de-341-00m-1239337377,07/Oct/2023,18:11:38
Terrenos,,R$ 186.000,Residencial do Bosque,Mogi Mirim,SP,300m²,Gabriela Nolasco,05/10/2023,https://sp.olx.com.br/grande-campinas/terrenos/terreno-a-venda-no-bairro-residencial-do-bosque-mogi-mirim-sp-1240789820,07/Oct/2023,18:11:38
Terrenos,,R$ 129.400,Jardim Planalto,Mogi Mirim,SP,454m²,L4S,05/10/2023,https://sp.olx.com.br/grande-campinas/terrenos/terreno-para-venda-em-residencial-jardim-ype-de-454-00m-1240512081,07/Oct/2023,18:11:38
Terrenos,,R$ 189.000,Distrito Industrial I José Marangoni,Mogi Mirim,SP,142m²,L4S,30/09/2023,https://sp.olx.com.br/grande-campinas/terrenos/terreno-para-venda-em-distrito-industrial-i-jose-marangoni-de-142-00m-1239211181,07/Oct/2023,18:11:39
Terrenos,,R$ 100.000,Jardim Helena,Mogi Mirim,SP,301m²,RE/MAX PONTO - MOGI MIRIM,05/10/2023,https://sp.olx.com.br/grande-campinas/terrenos/terreno-a-venda-301-m-por-r-100-000-no-jardim-flamboyant-mogi-mirim-sp-1240635954,07/Oct/2023,18:11:39
Terrenos,,R$ 103.000,Parque Real,Mogi Mirim,SP,300m²,L4S,01/10/2023,https://sp.olx.com.br/grande-campinas/terrenos/terreno-para-venda-em-parque-real-de-300-00m-1239433164,07/Oct/2023,18:11:39
Terrenos,,R$ 350.000,Parque da Imprensa,Mogi Mirim,SP,740m²,RE/MAX PONTO - MOGI MIRIM,05/10/2023,https://sp.olx.com.br/grande-campinas/terrenos/investimento-imobiliario-estrategico-terreno-com-duplo-acesso-em-mogi-mirim-1240636140,07/Oct/2023,18:11:39
Terrenos,,R$ 180.000,Jardim Patrícia,Mogi Mirim,SP,360m²,L4S,01/10/2023,https://sp.olx.com.br/grande-campinas/terrenos/terreno-para-venda-em-jardim-patricia-de-360-00m-1239346636,07/Oct/2023,18:11:39
Terrenos,,R$ 160.000,Distrito Industrial I José Marangoni,Mogi Mirim,SP,450m²,L4S,07/10/2023,https://sp.olx.com.br/grande-campinas/terrenos/terreno-para-venda-em-distrito-industrial-i-jose-marangoni-de-450-00m-1241178628,07/Oct/2023,18:11:39
Terrenos,,R$ 130.000,Morro Vermelho,Mogi Mirim,SP,200m²,L4S,01/10/2023,https://sp.olx.com.br/grande-campinas/terrenos/terreno-en-condominio-para-venda-em-condominio-reserva-da-mata-de-200-00m-1239329987,07/Oct/2023,18:11:39
Terrenos,,R$ 360.000,,Mogi Mirim,SP,1000m²,prontosc245,04/10/2023,https://sp.olx.com.br/grande-campinas/terrenos/terreno-de-1000-metros-rod-interna-mogi-mirim-a-mogi-guacu-1240268882,07/Oct/2023,18:11:39
Terrenos,,R$ 150.000,,Mogi Mirim,SP,126m²,SOCIALAR CHARLES IMOVEIS,03/10/2023,https://sp.olx.com.br/grande-campinas/terrenos/terreno-para-venda-centro-consultar-1239818572,07/Oct/2023,18:11:39
Terrenos,,R$ 94.990,Jardim Tainá,Mogi Mirim,SP,301m²,L4S,01/10/2023,https://sp.olx.com.br/grande-campinas/terrenos/terreno-para-venda-em-jardim-taina-de-301-35m-1239330119,07/Oct/2023,18:11:39
Terrenos,,R$ 80.000,Parque das Laranjeiras,Mogi Mirim,SP,300m²,L4S,05/10/2023,https://sp.olx.com.br/grande-campinas/terrenos/terreno-para-venda-em-parque-das-laranjeiras-de-300-00m-1240510063,07/Oct/2023,18:11:39
Terrenos,,R$ 109.990,Parque Real,Mogi Mirim,SP,300m²,L4S,01/10/2023,https://sp.olx.com.br/grande-campinas/terrenos/terreno-para-venda-em-parque-real-de-300-00m-1239337244,07/Oct/2023,18:11:39
Terrenos,,R$ 192.000,Residencial Portal do Lago,Mogi Mirim,SP,300m²,L4S,05/10/2023,https://sp.olx.com.br/grande-campinas/terrenos/terreno-para-venda-em-residencial-portal-do-lago-de-300-00m-1240510688,07/Oct/2023,18:11:39
Terrenos,,R$ 109.000,Vila Universitária,Mogi Mirim,SP,400m²,L4S,07/10/2023,https://sp.olx.com.br/grande-campinas/terrenos/terreno-para-venda-em-vila-universitaria-de-400-00m-1241180640,07/Oct/2023,18:11:39
Terrenos,,R$ 100.000,Jardim Helena,Mogi Mirim,SP,301m²,L4S,05/10/2023,https://sp.olx.com.br/grande-campinas/terrenos/terreno-para-venda-em-jardim-helena-de-301-00m-com-1-quarto-1240510574,07/Oct/2023,18:11:39
Terrenos,,R$ 135.000,Condomínio Morro Vermelho,Mogi Mirim,SP,200m²,L4S,01/10/2023,https://sp.olx.com.br/grande-campinas/terrenos/terreno-para-venda-em-condominio-morro-vermelho-de-200-00m-1239337374,07/Oct/2023,18:11:39
Terrenos,,R$ 120.000,Distrito Industrial I José Marangoni,Mogi Mirim,SP,300m²,L4S,01/10/2023,https://sp.olx.com.br/grande-campinas/terrenos/terreno-para-venda-em-distrito-industrial-i-jose-marangoni-de-300-00m-1239277964,07/Oct/2023,18:11:39
Terrenos,,R$ 265.000,Parque Residencial Murayama,Mogi Mirim,SP,305m²,L4S,01/10/2023,https://sp.olx.com.br/grande-campinas/terrenos/terreno-para-venda-em-loteamento-residencial-murayama-de-305-00m-1239293591,07/Oct/2023,18:11:39
Terrenos,,R$ 190.000,Mirante,Mogi Mirim,SP,360m²,Conexão X Consultoria Imobiliária,05/10/2023,https://sp.olx.com.br/grande-campinas/terrenos/terreno-mirante-mogi-mirim-1240507960,07/Oct/2023,18:11:39
Terrenos,,R$ 236.000,Distrito Industrial I José Marangoni,Mogi Mirim,SP,622m²,Fábio V. Tafarello - Pleno Imóveis,03/10/2023,https://sp.olx.com.br/grande-campinas/terrenos/venda-terreno-com-622-0-m-distrito-industrial-i-jose-marangoni-mogi-mirim-1239859506,07/Oct/2023,18:11:39
Terrenos,,R$ 127.000,Condomínio Morro Vermelho,Mogi Mirim,SP,200m²,L4S,30/09/2023,https://sp.olx.com.br/grande-campinas/terrenos/terreno-para-venda-em-condominio-morro-vermelho-de-200-00m-1239210335,07/Oct/2023,18:11:39
Terrenos,,R$ 139.000,Paraíso da Cachoeira,Mogi Mirim,SP,205m²,L4S,02/10/2023,https://sp.olx.com.br/grande-campinas/terrenos/terreno-para-venda-em-paraiso-da-cachoeira-de-205-04m-1239605663,07/Oct/2023,18:11:39
Terrenos,,R$ 350.000,Parque da Imprensa,Mogi Mirim,SP,740m²,L4S,05/10/2023,https://sp.olx.com.br/grande-campinas/terrenos/terreno-para-venda-em-parque-da-imprensa-de-740-00m-1240510345,07/Oct/2023,18:11:39
Terrenos,,R$ 180.000,Residencial do Bosque,Mogi Mirim,SP,300m²,L4S,30/09/2023,https://sp.olx.com.br/grande-campinas/terrenos/terreno-para-venda-em-residencial-do-bosque-de-300-00m-1239211284,07/Oct/2023,18:11:39
Terrenos,,R$ 270.000,Distrito Industrial I José Marangoni,Mogi Mirim,SP,600m²,L4S,07/10/2023,https://sp.olx.com.br/grande-campinas/terrenos/terreno-para-venda-em-sitio-paineiras-de-600-00m-1241319978,07/Oct/2023,18:11:39
Terrenos,,R$ 103.000,Parque Real,Mogi Mirim,SP,300m²,RE/MAX PONTO - MOGI MIRIM,01/10/2023,https://sp.olx.com.br/grande-campinas/terrenos/terreno-parque-real-1239244314,07/Oct/2023,18:11:39
Terrenos,,R$ 130.000,Residencial Vila Toscana,Mogi Mirim,SP,300m²,L4S,05/10/2023,https://sp.olx.com.br/grande-campinas/terrenos/terreno-para-venda-em-residencial-vila-toscana-de-300-00m-1240511413,07/Oct/2023,18:11:39
