tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 20.000,,Pedro de Toledo,SP,300m²,ROQUE XJ6,04/10/2023,https://sp.olx.com.br/baixada-santista-e-litoral-sul/terrenos/terreno-10x30-em-pedro-de-toledo-1240152318,07/Oct/2023,08:01:10
Outros,,R$ 1.500.000,,Pedro de Toledo,SP,10000m²,Marco,04/10/2023,https://sp.olx.com.br/baixada-santista-e-litoral-sul/terrenos/incrivel-pesqueiro-pousada-funcionando-pedro-de-toledo-sp-1035528547,07/Oct/2023,08:01:10
Terrenos,,R$ 95.000,,Pedro de Toledo,SP,2300m²,Marco,04/10/2023,https://sp.olx.com.br/baixada-santista-e-litoral-sul/terrenos/4lotes-juntos-2200mts-p-de-toledo-sp-1194087226,07/Oct/2023,08:01:10
Terrenos,,R$ 45.000,,Pedro de Toledo,SP,,renanandrades00,04/10/2023,https://sp.olx.com.br/baixada-santista-e-litoral-sul/terrenos/vende-se-1240151262,07/Oct/2023,08:01:10
Terrenos,,R$ 95.000,,Pedro de Toledo,SP,1000m²,tomaz_f88,19/09/2023,https://sp.olx.com.br/baixada-santista-e-litoral-sul/terrenos/lote-1000m2-1235490053,07/Oct/2023,08:01:10
Terrenos,,R$ 35.000,,Pedro de Toledo,SP,2000000m²,Jociene Lima,09/09/2023,https://sp.olx.com.br/baixada-santista-e-litoral-sul/terrenos/venda-1231967401,07/Oct/2023,08:01:11
Terrenos,,R$ 100.000,,Pedro de Toledo,SP,2000m²,Marco,13/09/2023,https://sp.olx.com.br/baixada-santista-e-litoral-sul/terrenos/lote-2000mts-pedro-de-toledo-sp-1210402620,07/Oct/2023,08:01:11
Terrenos,,R$ 45.000,,Pedro de Toledo,SP,300m²,Sol Poente Imoveis,13/09/2023,https://sp.olx.com.br/baixada-santista-e-litoral-sul/terrenos/lotes-com-300-mtrs-2-plano-e-limpo-pronto-para-construir-1233252833,07/Oct/2023,08:01:11
Terrenos,,R$ 55.000,,Pedro de Toledo,SP,540m²,Marco,13/09/2023,https://sp.olx.com.br/baixada-santista-e-litoral-sul/terrenos/lote-12x45-pedro-de-toledo-sp-1131737047,07/Oct/2023,08:01:12
Terrenos,,R$ 55.000,,Pedro de Toledo,SP,540m²,Marco,13/09/2023,https://sp.olx.com.br/baixada-santista-e-litoral-sul/terrenos/lote-12x45-prox-pesqueiro-do-portugues-1055164748,07/Oct/2023,08:01:12
Terrenos,,R$ 65.000,,Pedro de Toledo,SP,550m²,Marco,22/08/2023,https://sp.olx.com.br/baixada-santista-e-litoral-sul/terrenos/lote-12x45-pedro-de-toledo-sp-1148419332,07/Oct/2023,08:01:13
Terrenos,,R$ 55.000,,Pedro de Toledo,SP,1000m²,maira.rodrigues.souza10,14/08/2023,https://sp.olx.com.br/baixada-santista-e-litoral-sul/terrenos/venda-de-terrenos-em-pedo-de-toledo-1222143929,07/Oct/2023,08:01:13
Terrenos,,R$ 70.000,,Pedro de Toledo,SP,1500m²,Cintia,11/08/2023,https://sp.olx.com.br/baixada-santista-e-litoral-sul/terrenos/chacara-terreno-em-pedro-de-toledo-1221195929,07/Oct/2023,08:01:13
