tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Venda - casa em rua pública,2,R$ 174.420,Jardim Imperador,Pereira Barreto,SP,144m²,Larraz Imóveis Ltda - ME,15/07/2023,https://sp.olx.com.br/regiao-de-presidente-prudente/imoveis/oportunidade-casa-para-venda-em-pereira-barreto-sp-no-jardim-imperador-2-dormitorios-sen-1210471037,07/Oct/2023,17:33:38
Venda - casa em rua pública,3,R$ 535.000,Vila Lopes,Pereira Barreto,SP,675m²,Apoena Imóveis Empreendimentos Imobiliários Ltda,09/04/2023,https://sp.olx.com.br/regiao-de-presidente-prudente/imoveis/casa-a-venda-em-pereira-barreto-1124474890,07/Oct/2023,17:33:38
Venda - casa em rua pública,2,R$ 133.000,Jardim Imperatriz,Pereira Barreto,SP,149m²,Missão Imóveis,08/09/2023,https://sp.olx.com.br/regiao-de-presidente-prudente/imoveis/pereira-barreto-casa-padrao---jardim-imperatriz-1231666659,07/Oct/2023,17:33:38
Terrenos,,R$ 1.500.000,Jardim Imperador,Pereira Barreto,SP,33000m²,Imobiliária Redentora,04/07/2023,https://sp.olx.com.br/regiao-de-presidente-prudente/terrenos/terreno-area-em-pereira-barreto-1205884262,07/Oct/2023,17:33:38
Venda - casa em rua pública,2,R$ 174.420,,Pereira Barreto,SP,144m²,Possibilita Imóveis,09/07/2023,https://sp.olx.com.br/regiao-de-presidente-prudente/imoveis/casa-com-2-dormitorios-a-venda-144-m-por-r-174-420-00-jardim-imperador-pereira-bar-1207998707,07/Oct/2023,17:33:38
Terrenos,,R$ 1.590.000,Área Rural de Pereirra Barreto,Pereira Barreto,SP,18000m²,Bonafide Negócios Imobiliários,19/04/2023,https://sp.olx.com.br/regiao-de-presidente-prudente/terrenos/pereira-barreto-comercial-est-estrada-vicinal-0-1174853702,07/Oct/2023,17:33:38
Venda - casa em rua pública,2,R$ 133.000,Jardim Imperatriz,Pereira Barreto,SP,149m²,Anderson e Jacqueline Imobiliaria e Administração de Bens e Imóveis LTDA,06/10/2023,https://sp.olx.com.br/regiao-de-presidente-prudente/imoveis/pereira-barreto-casa-padrao---jardim-imperatriz-1240979100,07/Oct/2023,17:33:38
Venda - casa em rua pública,2,R$ 148.000,Colinas do Tietê,Pereira Barreto,SP,125m²,Missão Imóveis,08/09/2023,https://sp.olx.com.br/regiao-de-presidente-prudente/imoveis/pereira-barreto-casa-padrao-1231666066,07/Oct/2023,17:33:38
Venda - casa em rua pública,2,R$ 174.420,Jardim Imperador,Pereira Barreto,SP,181m²,L4S,29/09/2023,https://sp.olx.com.br/regiao-de-presidente-prudente/imoveis/casa-para-venda-em-jardim-imperador-de-181-00m-com-2-quartos-1238894957,07/Oct/2023,17:33:38
Venda - casa em rua pública,2,R$ 174.420,Jardim Imperador,Pereira Barreto,SP,181m²,BJFlores Imóveis,27/07/2023,https://sp.olx.com.br/regiao-de-presidente-prudente/imoveis/pereira-barreto-jardim-imperador-oportunidade-unica-em-pereira-barreto-sp-tipo-ca-1215212372,07/Oct/2023,17:33:38
