tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 125.000,,Pradópolis,SP,250m²,Lago Imobiliária,17/06/2023,https://sp.olx.com.br/regiao-de-ribeirao-preto/terrenos/terreno-padrao-em-pradopolis-1199042982,07/Oct/2023,13:40:20
Terrenos,,R$ 105.000,,Pradópolis,SP,250m²,Lago Imobiliária,04/03/2023,https://sp.olx.com.br/regiao-de-ribeirao-preto/terrenos/terreno-padrao-em-pradopolis-1154630867,07/Oct/2023,13:40:20
Venda - casa em rua pública,3,R$ 900.000,,Pradópolis,SP,379m²,Lago Imobiliária,21/07/2023,https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/casa-padrao-em-pradopolis-1213020080,07/Oct/2023,13:40:20
Venda - casa em rua pública,2,R$ 136.000,,Pradópolis,SP,70m²,Luissatorichimenes Chimenes,14/08/2023,https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/casa-nova-m-casa-m-vida-1221990372,07/Oct/2023,13:40:20
Venda - casa em rua pública,3,R$ 295.000,,Pradópolis,SP,135m²,Larraz Imóveis Ltda - ME,02/02/2023,https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/casa-para-venda-em-pradopolis-no-maria-luiza-1-com-3-dormitorios-sendo-1-suite-em-320-m2-985697345,07/Oct/2023,13:40:20
Terrenos,,R$ 120.000,,Pradópolis,SP,4000m²,Márcio,19/09/2023,https://sp.olx.com.br/regiao-de-ribeirao-preto/terrenos/terreno-para-chacara-1235460349,07/Oct/2023,13:40:20
Venda - casa em rua pública,3,R$ 595.000,,Pradópolis,SP,200m²,Lago Imobiliária,07/06/2023,https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/casa-padrao-em-pradopolis-1195046196,07/Oct/2023,13:40:20
Venda - casa em rua pública,2,R$ 142.000,,Pradópolis,SP,250m²,Anderson e Jacqueline Imobiliaria e Administração de Bens e Imóveis LTDA,06/10/2023,https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/pradopolis-casa-padrao---nova-pradopolis-ii-1240979133,07/Oct/2023,13:40:20
Terrenos,,R$ 110.000,Centro,Pradópolis,SP,300m²,Erica Magni,25/08/2023,https://sp.olx.com.br/regiao-de-ribeirao-preto/terrenos/vende-se-1226470118,07/Oct/2023,13:40:20
Venda - casa em rua pública,2,R$ 171.000,,Pradópolis,SP,250m²,Missão Imóveis,04/09/2023,https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/pradopolis-casa-padrao---nova-pradopolis-ii-1230140184,07/Oct/2023,13:40:20
Terrenos,,R$ 180.000,,Pradópolis,SP,520m²,Lago Imobiliária,06/04/2023,https://sp.olx.com.br/regiao-de-ribeirao-preto/terrenos/terreno-padrao-em-pradopolis-1169052420,07/Oct/2023,13:40:20
Venda - casa em rua pública,3,R$ 318.000,,Pradópolis,SP,200m²,Lago Imobiliária,30/03/2023,https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/casa-padrao-em-pradopolis-1165885330,07/Oct/2023,13:40:20
Venda - casa em rua pública,3,R$ 220.000,,Pradópolis,SP,120m²,Emerson,25/09/2023,https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/sobrado-1237452252,07/Oct/2023,13:40:20
Venda - apartamento padrão,1,R$ 638.616,,Pradópolis,SP,886m²,Anderson e Jacqueline Imobiliaria e Administração de Bens e Imóveis LTDA,13/07/2023,https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/pradopolis-apartamento-padrao---distrito-industrial-1209765293,07/Oct/2023,13:40:20
Venda - apartamento padrão,2,R$ 159.500,,Pradópolis,SP,45m²,R&O Urbanismo,05/04/2022,https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/jardim-das-oliveiras-45m-2-quartos-1016228804,07/Oct/2023,13:40:20
Venda - apartamento padrão,3,R$ 2.100.000,,Pradópolis,SP,274m²,RENATO MALIENO NOGUEIRA FILHO,28/06/2023,https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/apartamento-com-3-suites-a-venda-274-m-por-r-2-100-000-bosque-das-juritis-ribeirao-1203409332,07/Oct/2023,13:40:20
Venda - casa em rua pública,2,R$ 113.000,,Pradópolis,SP,250m²,Missão Imóveis,13/09/2023,https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/pradopolis-casa-padrao---nova-pradopolis-ii-1233421486,07/Oct/2023,13:40:20
Venda - apartamento padrão,3,R$ 360.000,,Pradópolis,SP,76m²,mauriciomgmeng,14/08/2023,https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/apartamento-smile-village-1221999784,07/Oct/2023,13:40:20
Terrenos,,R$ 120.000,,Pradópolis,SP,250m²,Lago Imobiliária,02/06/2023,https://sp.olx.com.br/regiao-de-ribeirao-preto/terrenos/terreno-padrao-em-pradopolis-1193349051,07/Oct/2023,13:40:20
Terrenos,,R$ 96.000,,Pradópolis,SP,250m²,Lago Imobiliária,18/11/2021,https://sp.olx.com.br/regiao-de-ribeirao-preto/terrenos/terreno-padrao-em-pradopolis-935154893,07/Oct/2023,13:40:20
Terrenos,,R$ 140.000,,Pradópolis,SP,265m²,Lago Imobiliária,03/04/2023,https://sp.olx.com.br/regiao-de-ribeirao-preto/terrenos/terreno-padrao-em-pradopolis-1167202445,07/Oct/2023,13:40:20
Terrenos,,R$ 180.000,,Pradópolis,SP,250m²,Lago Imobiliária,21/05/2023,https://sp.olx.com.br/regiao-de-ribeirao-preto/terrenos/terreno-padrao-em-pradopolis-1188034763,07/Oct/2023,13:40:20
Venda - casa em rua pública,3,R$ 356.160,,Pradópolis,SP,180m²,Lago Imobiliária,02/11/2022,https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/casa-padrao-em-pradopolis-1104825542,07/Oct/2023,13:40:20
Venda - casa em rua pública,3,R$ 320.000,,Pradópolis,SP,100m²,Lago Imobiliária,25/01/2022,https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/casa-padrao-em-pradopolis-984485812,07/Oct/2023,13:40:20
Venda - casa em rua pública,3,R$ 296.800,,Pradópolis,SP,360m²,Lago Imobiliária,05/01/2023,https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/casa-padrao-em-pradopolis-1014069358,07/Oct/2023,13:40:20
Venda - casa em rua pública,3,R$ 528.000,,Pradópolis,SP,688m²,Rossini Negócios Imobiliários Ltda,12/02/2023,https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/casa-terrea-padrao-rua-pradopolis-sp-987514226,07/Oct/2023,13:40:20
Venda - casa em rua pública,3,R$ 300.000,,Pradópolis,SP,357m²,Magna Imóveis e Administração Ltda.,27/02/2023,https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/sobrado-a-venda-357-m-por-r-300-000-00-jd-pradopolis-sp-1049458669,07/Oct/2023,13:40:20
Venda - casa em rua pública,3,R$ 320.000,,Pradópolis,SP,150m²,AMBAR EMPREENDIMENTOS IMOBILIARIOS LTDA - ME,05/04/2023,https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/casa-pradopolis-jardim-bela-vista-1046857390,07/Oct/2023,13:40:20
Venda - apartamento padrão,3,null,,Pradópolis,SP,,INTERMEDIAÇÕES DE VENDAS,04/09/2023,https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/vende-se-apto-jardim-miriam-r-270-000-00-1101122125,07/Oct/2023,13:40:20
Venda - casa em rua pública,3,R$ 425.000,,Pradópolis,SP,250m²,Lago Imobiliária,03/05/2023,https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/casa-padrao-em-pradopolis-1180470386,07/Oct/2023,13:40:20
Venda - casa em rua pública,2,R$ 142.000,,Pradópolis,SP,250m²,Missão Imóveis,04/09/2023,https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/pradopolis-casa-padrao---nova-pradopolis-ii-1230140014,07/Oct/2023,13:40:20
Venda - casa em rua pública,2,R$ 171.000,,Pradópolis,SP,250m²,Anderson e Jacqueline Imobiliaria e Administração de Bens e Imóveis LTDA,05/09/2023,https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/pradopolis-casa-padrao---nova-pradopolis-ii-1230286691,07/Oct/2023,13:40:20
