tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 65.000,,Presidente Bernardes,SP,200m²,lucas.naasson,10/08/2023,https://sp.olx.com.br/regiao-de-presidente-prudente/terrenos/lote-terreno-1220559791,07/Oct/2023,16:28:36
Terrenos,,R$ 45.000,Nova Pátria,Presidente Bernardes,SP,278m²,Valdenir,21/08/2023,https://sp.olx.com.br/regiao-de-presidente-prudente/terrenos/terreno-1224672984,07/Oct/2023,16:28:36
Terrenos,,R$ 85.000,,Presidente Bernardes,SP,330m²,L4S,22/09/2023,https://sp.olx.com.br/regiao-de-presidente-prudente/terrenos/terreno-para-venda-em-presidente-bernardes-de-330-00m-1236418439,07/Oct/2023,16:28:37
Terrenos,,R$ 200.000,,Presidente Bernardes,SP,2000m²,SAMBURA IMOVEIS S/S LTDA,13/05/2023,https://sp.olx.com.br/regiao-de-presidente-prudente/terrenos/presidente-bernardes-terreno-chacaras-aguiar-1184754169,07/Oct/2023,16:28:37
Terrenos,,R$ 60.000,,Presidente Bernardes,SP,200m²,Luis,18/09/2023,https://sp.olx.com.br/regiao-de-presidente-prudente/terrenos/terenos-no-residencial-rubi-em-presidente-bernardes-1235018483,07/Oct/2023,16:28:37
Terrenos,,R$ 49.000,,Presidente Bernardes,SP,160m²,Beatriz,10/08/2023,https://sp.olx.com.br/regiao-de-presidente-prudente/terrenos/terreno-160m2-8x20-parque-dos-buritis-presidente-prudente-sp-1220693403,07/Oct/2023,16:28:37
Terrenos,,R$ 70.000,,Presidente Bernardes,SP,304m²,Victória Campos,16/09/2023,https://sp.olx.com.br/regiao-de-presidente-prudente/terrenos/terreno-de-esquina-no-bairro-rubi-1234490017,07/Oct/2023,16:28:37
Venda - casa em rua pública,2,R$ 144.000,,Presidente Bernardes,SP,,Venâncio,28/08/2023,https://sp.olx.com.br/regiao-de-presidente-prudente/imoveis/casa-presidente-bernardes-centro-1209813526,07/Oct/2023,16:28:37
Terrenos,,R$ 50.000,,Presidente Bernardes,SP,200m²,L4S,22/09/2023,https://sp.olx.com.br/regiao-de-presidente-prudente/terrenos/terreno-para-venda-em-presidente-bernardes-de-200-00m-1236417593,07/Oct/2023,16:28:37
Venda - casa em rua pública,2,R$ 300.000,,Presidente Bernardes,SP,102m²,leonardocostacurta,16/09/2023,https://sp.olx.com.br/regiao-de-presidente-prudente/imoveis/vendo-casa-em-pres-bernardes-sp-bairro-rubi-1234313576,07/Oct/2023,16:28:37
Terrenos,,R$ 50.000,,Presidente Bernardes,SP,200000m²,ALEX IMOVEIS S/S LTDA,13/09/2023,https://sp.olx.com.br/regiao-de-presidente-prudente/terrenos/terreno-para-venda-em-presidente-bernardes-loteamento-rubi-1233348563,07/Oct/2023,16:28:37
Venda - casa em rua pública,2,R$ 300.000,,Presidente Bernardes,SP,102m²,greici_custodio,16/09/2023,https://sp.olx.com.br/regiao-de-presidente-prudente/imoveis/vendo-casa-em-pres-bernardes-sp-1234318713,07/Oct/2023,16:28:37
