tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 130.000,,Registro,SP,200000m²,lsslene,26/09/2023,https://sp.olx.com.br/baixada-santista-e-litoral-sul/terrenos/terreno-vila-nova-ribeira-budista-1237734115,07/Oct/2023,08:20:54
Terrenos,,R$ 120.000,,Registro,SP,320m²,pedrodealmeida.30,27/09/2023,https://sp.olx.com.br/baixada-santista-e-litoral-sul/terrenos/oportunidade-terreno-320m2-10x32-1237989672,07/Oct/2023,08:20:54
Terrenos,,R$ 3.600.000,,Registro,SP,1200m²,Marco A. M. Campos,28/08/2023,https://sp.olx.com.br/baixada-santista-e-litoral-sul/terrenos/lote-terreno-para-venda-possui-1200-metros-quadrados-em-centro-registro-sp-1227385705,07/Oct/2023,08:20:54
Terrenos,,null,,Registro,SP,150m²,ENG.MANOEL,08/09/2023,https://sp.olx.com.br/baixada-santista-e-litoral-sul/terrenos/vendo-terreno-em-registro-jd-paulistano-1231654526,07/Oct/2023,08:20:54
Terrenos,,R$ 50.000,,Registro,SP,1000m²,YuriXxmexX,27/09/2023,https://sp.olx.com.br/baixada-santista-e-litoral-sul/terrenos/terreno-mil-m-dilla-s-ville-1238141381,07/Oct/2023,08:20:54
Terrenos,,R$ 850.000,,Registro,SP,25m²,Israel Pereira,13/04/2023,https://sp.olx.com.br/baixada-santista-e-litoral-sul/terrenos/registro-terreno-padrao-centro-1024349276,07/Oct/2023,08:20:54
Terrenos,,R$ 140.000,,Registro,SP,300m²,Israel Pereira,14/04/2023,https://sp.olx.com.br/baixada-santista-e-litoral-sul/terrenos/registro-terreno-padrao-jardim-das-palmeiras-1024349929,07/Oct/2023,08:20:54
Terrenos,,R$ 41.258,,Registro,SP,1000m²,Terrenos a venda,26/09/2023,https://sp.olx.com.br/baixada-santista-e-litoral-sul/terrenos/terrenos-no-interior-liberado-pra-construir-cd-eha-1237659394,07/Oct/2023,08:20:55
Terrenos,,R$ 220.000,,Registro,SP,450m²,Israel Pereira,16/04/2023,https://sp.olx.com.br/baixada-santista-e-litoral-sul/terrenos/registro-terreno-padrao-jardim-lebrom-1024350050,07/Oct/2023,08:20:55
Terrenos,,R$ 61.900,,Registro,SP,300m²,Felipe de Freitas,19/09/2023,https://sp.olx.com.br/baixada-santista-e-litoral-sul/terrenos/lotes-em-iguape-com-parque-aquatico-1235493959,07/Oct/2023,08:20:55
Terrenos,,R$ 120.000,,Registro,SP,300m²,tadeusilva.undefined,27/09/2023,https://sp.olx.com.br/baixada-santista-e-litoral-sul/terrenos/terreno-300m2-1238048580,07/Oct/2023,08:20:55
Terrenos,,R$ 62.000,,Registro,SP,300m²,Felipe de Freitas,18/08/2023,https://sp.olx.com.br/baixada-santista-e-litoral-sul/terrenos/lotes-em-iguape-r-300-00-mensais-1223779972,07/Oct/2023,08:20:55
Terrenos,,R$ 1.200.000,,Registro,SP,490m²,Israel Pereira,13/04/2023,https://sp.olx.com.br/baixada-santista-e-litoral-sul/terrenos/registro-terreno-padrao-centro-1058905950,07/Oct/2023,08:20:55
Terrenos,,R$ 340.000,,Registro,SP,400m²,Israel Pereira,22/08/2023,https://sp.olx.com.br/baixada-santista-e-litoral-sul/terrenos/registro-terreno-padrao-pedreira-1225311854,07/Oct/2023,08:20:55
Terrenos,,R$ 30.000,,Registro,SP,533m²,Felipe,01/09/2023,https://sp.olx.com.br/baixada-santista-e-litoral-sul/terrenos/terreno-com-contrato-de-compra-e-venda-em-arapongal-registro-1229093709,07/Oct/2023,08:20:55
Terrenos,,R$ 1.650.000,,Registro,SP,1m²,Israel Pereira,28/08/2023,https://sp.olx.com.br/baixada-santista-e-litoral-sul/terrenos/registro-terreno-padrao-centro-1227214372,07/Oct/2023,08:20:55
Terrenos,,R$ 175.000,,Registro,SP,204m²,Israel Pereira,16/05/2023,https://sp.olx.com.br/baixada-santista-e-litoral-sul/terrenos/registro-terreno-padrao-pedreira-1185928078,07/Oct/2023,08:20:55
Terrenos,,R$ 60.000,,Registro,SP,156m²,Israel Pereira,13/04/2023,https://sp.olx.com.br/baixada-santista-e-litoral-sul/terrenos/registro-terreno-padrao-vila-nova-1170760827,07/Oct/2023,08:20:55
Terrenos,,R$ 130.000,,Registro,SP,77m²,LUPA ADMINISTRADORA E IMOBILIARIA S/S LTDA - EPP,09/08/2023,https://sp.olx.com.br/baixada-santista-e-litoral-sul/terrenos/terreno-residencial-com-327m-para-venda-vila-ouro-registro-1220130327,07/Oct/2023,08:20:55
Terrenos,,R$ 80.000,,Registro,SP,300m²,Bruno Queiroz,16/08/2023,https://sp.olx.com.br/baixada-santista-e-litoral-sul/terrenos/lote-com-kitnet-apenas-a-2-5-km-do-centro-grande-oportunidade-1222919045,07/Oct/2023,08:20:55
Terrenos,,R$ 120.000,,Registro,SP,320m²,pedrodealmeida.30,18/09/2023,https://sp.olx.com.br/baixada-santista-e-litoral-sul/terrenos/terreno-320m2-registro-sp-1235052538,07/Oct/2023,08:20:55
Terrenos,,R$ 20.000,,Registro,SP,300m²,Vendas e compra,21/08/2023,https://sp.olx.com.br/baixada-santista-e-litoral-sul/terrenos/vende-se-terreno-10-por-30-1224686686,07/Oct/2023,08:20:55
Terrenos,,R$ 650.000,,Registro,SP,712m²,Israel Pereira,15/04/2023,https://sp.olx.com.br/baixada-santista-e-litoral-sul/terrenos/registro-terreno-padrao-centro-1041963642,07/Oct/2023,08:20:55
Venda - casa em rua pública,3,R$ 900.000,,Registro,SP,208m²,Lopes Real,22/09/2023,https://sp.olx.com.br/baixada-santista-e-litoral-sul/imoveis/casa-vila-yoshida-registro-1236420236,07/Oct/2023,08:20:56
Terrenos,,R$ 250.000,,Registro,SP,450m²,Coelho Oliveira Imóveis,16/12/2022,https://sp.olx.com.br/baixada-santista-e-litoral-sul/terrenos/lote-a-venda-em-registro-sp-1077905382,07/Oct/2023,08:20:56
Venda - casa em rua pública,2,R$ 150.000,,Registro,SP,540m²,Lia,22/09/2023,https://sp.olx.com.br/baixada-santista-e-litoral-sul/imoveis/vende-se-chacara-1236469349,07/Oct/2023,08:20:56
Terrenos,,R$ 304.000,,Registro,SP,576m²,Imóveis IPDA,13/01/2023,https://sp.olx.com.br/baixada-santista-e-litoral-sul/terrenos/terreno-com-576m-1132946309,07/Oct/2023,08:20:56
Venda - casa em rua pública,2,R$ 82.171,,Registro,SP,43m²,Armando F. Neto,22/09/2023,https://sp.olx.com.br/baixada-santista-e-litoral-sul/imoveis/oportunidade-leilao-caixa-registro-jardim-paulistano-18-10-1236373230,07/Oct/2023,08:20:56
Terrenos,,R$ 3.000.000,,Registro,SP,536m²,Israel Pereira,12/04/2023,https://sp.olx.com.br/baixada-santista-e-litoral-sul/terrenos/registro-terreno-padrao-centro-1069687424,07/Oct/2023,08:20:56
