tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 150.000,,Santa Cruz da Esperança,SP,1500m²,Lago Imobiliária,15/08/2023,https://sp.olx.com.br/regiao-de-ribeirao-preto/terrenos/terreno-padrao-em-santa-cruz-da-esperanca-1222457459,07/Oct/2023,13:53:18
Terrenos,,R$ 55.000,,Santa Cruz da Esperança,SP,,JURANDIR FERREIRA CORRETOR DE IMÓVEIS,21/09/2023,https://sp.olx.com.br/regiao-de-ribeirao-preto/terrenos/terreno-padrao-rua-centro-santa-cruz-da-esperanca-sp-1236044662,07/Oct/2023,13:53:18
Terrenos,,R$ 2.000.000,,Santa Cruz da Esperança,SP,109000m²,Imobiliária Canah LTDA,17/08/2022,https://sp.olx.com.br/regiao-de-ribeirao-preto/terrenos/terreno-em-centro-santa-cruz-da-esperanca--santa-cruz-da-esperanca-1012054514,07/Oct/2023,13:53:18
Terrenos,,R$ 150.000,,Santa Cruz da Esperança,SP,1500m²,Connectt Imóveis,12/04/2023,https://sp.olx.com.br/regiao-de-ribeirao-preto/terrenos/terreno-a-venda-1500-m-por-r-150-000-00-centro-santa-cruz-da-esperanca-sp-1171680559,07/Oct/2023,13:53:18
Venda - apartamento padrão,3,R$ 300.000,,Santa Cruz da Esperança,SP,85m²,Rodrigo Nascimento  Christiano,04/10/2023,https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/apartamento-para-venda-tem-85-metros-quadrados-com-3-quartos-1240198599,07/Oct/2023,13:53:18
Terrenos,,R$ 230.000,,Santa Cruz da Esperança,SP,950m²,Andrade & Menezes Negócios Imobiliários Ltda. Me,15/12/2022,https://sp.olx.com.br/regiao-de-ribeirao-preto/terrenos/terreno-a-venda-950-m-por-r-230-000-1121875351,07/Oct/2023,13:53:18
Venda - casa em condominio fechado,3,R$ 110.000,,Santa Cruz da Esperança,SP,,Marcela Gomes,27/08/2023,https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/vende-1227010686,07/Oct/2023,13:53:18
Venda - casa em rua pública,3,R$ 1.130.000,,Santa Cruz da Esperança,SP,200m²,J.C. Rodrigues Imobiliária,06/06/2023,https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/casa-com-3-dormitorios-a-venda-200-m-por-r-1-130-000-00-jardim-vista-linda-bertiog-1194632814,07/Oct/2023,13:53:18
Terrenos,,R$ 2.500,,Santa Cruz da Esperança,SP,1900m²,Andrade & Menezes Negócios Imobiliários Ltda. Me,15/12/2022,https://sp.olx.com.br/regiao-de-ribeirao-preto/terrenos/terreno-a-venda-1900-m-por-r-430-000-centro-santa-cruz-da-esperanca-sp-1121882252,07/Oct/2023,13:53:18
Terrenos,,R$ 1.500,,Santa Cruz da Esperança,SP,950m²,Andrade & Menezes Negócios Imobiliários Ltda. Me,15/12/2022,https://sp.olx.com.br/regiao-de-ribeirao-preto/terrenos/terreno-a-venda-950-m-por-r-230-000-1121875399,07/Oct/2023,13:53:18
Terrenos,,R$ 430.000,,Santa Cruz da Esperança,SP,1900m²,Andrade & Menezes Negócios Imobiliários Ltda. Me,15/12/2022,https://sp.olx.com.br/regiao-de-ribeirao-preto/terrenos/terreno-a-venda-1900-m-por-r-430-000-centro-santa-cruz-da-esperanca-sp-1121882174,07/Oct/2023,13:53:18
Terrenos,,R$ 265.000,,Santa Cruz da Esperança,SP,2500m²,Lago Imobiliária,09/11/2022,https://sp.olx.com.br/regiao-de-ribeirao-preto/terrenos/terreno-padrao-em-santa-cruz-da-esperanca-1107350198,07/Oct/2023,13:53:18
Terrenos,,R$ 65.000,,Santa Cruz da Esperança,SP,204m²,Lago Imobiliária,20/09/2023,https://sp.olx.com.br/regiao-de-ribeirao-preto/terrenos/terreno-padrao-em-santa-cruz-da-esperanca-1235656800,07/Oct/2023,13:53:19
