tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 150.000,,Santo Antônio da Alegria,SP,920m²,Adrieli S.,14/09/2023,https://sp.olx.com.br/regiao-de-ribeirao-preto/terrenos/terreno-1233678956,07/Oct/2023,13:55:07
Terrenos,,R$ 68.900,,Santo Antônio da Alegria,SP,252m²,Lago Imobiliária,17/02/2023,https://sp.olx.com.br/regiao-de-ribeirao-preto/terrenos/terreno-padrao-em-santo-antonio-da-alegria-1148608763,07/Oct/2023,13:55:08
Terrenos,,R$ 85.000,,Santo Antônio da Alegria,SP,337m²,Tiago Teixeira,28/08/2023,https://sp.olx.com.br/regiao-de-ribeirao-preto/terrenos/terreno-loteamento-jardim-sul-1122815390,07/Oct/2023,13:55:08
Terrenos,,R$ 90.100,,Santo Antônio da Alegria,SP,337m²,Lago Imobiliária,17/02/2023,https://sp.olx.com.br/regiao-de-ribeirao-preto/terrenos/terreno-padrao-em-santo-antonio-da-alegria-1148688758,07/Oct/2023,13:55:08
Terrenos,,R$ 140.870,,Santo Antônio da Alegria,SP,387m²,Larraz Imóveis Ltda - ME,16/01/2023,https://sp.olx.com.br/regiao-de-ribeirao-preto/terrenos/lancamento-de-loteamento-em-santo-antonio-da-alegria-sp-loteamento-barra-da-serra-lote-c-1068880910,07/Oct/2023,13:55:08
Terrenos,,R$ 65.000,,Santo Antônio da Alegria,SP,252m²,Tiago Teixeira,28/08/2023,https://sp.olx.com.br/regiao-de-ribeirao-preto/terrenos/terreno-loteamento-jardim-sul-1122810277,07/Oct/2023,13:55:08
Terrenos,,R$ 110.000,,Santo Antônio da Alegria,SP,1000m²,Imobiliária Canah LTDA,24/09/2022,https://sp.olx.com.br/regiao-de-ribeirao-preto/terrenos/terreno-em-condominio-em-jardim-bela-vista--santo-antonio-da-alegria-1012056220,07/Oct/2023,13:55:08
Terrenos,,R$ 64.752,,Santo Antônio da Alegria,SP,202m²,Aliança Imoveis,11/01/2023,https://sp.olx.com.br/regiao-de-ribeirao-preto/terrenos/terreno-santo-antonio-da-alegria-barra-da-serra-1132188202,07/Oct/2023,13:55:09
Terrenos,,R$ 80.000,,Santo Antônio da Alegria,SP,171m²,Lago Imobiliária,27/02/2022,https://sp.olx.com.br/regiao-de-ribeirao-preto/terrenos/terreno-padrao-em-santo-antonio-da-alegria-1000188499,07/Oct/2023,13:55:09
Venda - casa em rua pública,3,R$ 400.000,,Santo Antônio da Alegria,SP,200m²,Imobiliária Canah LTDA,18/07/2022,https://sp.olx.com.br/regiao-de-ribeirao-preto/imoveis/casa-padrao-em-centro--santo-antonio-da-alegria-1012053716,07/Oct/2023,13:55:09
Terrenos,,R$ 70.000,,Santo Antônio da Alegria,SP,200m²,Lago Imobiliária,30/09/2022,https://sp.olx.com.br/regiao-de-ribeirao-preto/terrenos/terreno-padrao-em-santo-antonio-da-alegria-1091010381,07/Oct/2023,13:55:09
Terrenos,,R$ 69.160,,Santo Antônio da Alegria,SP,200m²,Larraz Imóveis Ltda - ME,11/01/2023,https://sp.olx.com.br/regiao-de-ribeirao-preto/terrenos/lancamento-de-loteamento-em-santo-antonio-da-alegria-sp-loteamento-barra-da-serra-lote-c-1068864764,07/Oct/2023,13:55:09
