tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 125.000,,Sarapuí,SP,1240m²,Nicolau,24/09/2023,https://sp.olx.com.br/regiao-de-sorocaba/terrenos/lote-para-chacara-1237180857,07/Oct/2023,11:46:15
Terrenos,,R$ 140.000,,Sarapuí,SP,1300m²,Divino Corretora de imoveis,25/08/2023,https://sp.olx.com.br/regiao-de-sorocaba/terrenos/terreno-a-venda-1300-m-por-r-140-000-sarapui-aracoiaba-da-serra-sp-1226377372,07/Oct/2023,11:46:15
Terrenos,,R$ 1.500.000,,Sarapuí,SP,700m²,Klabin Imóveis,28/09/2023,https://sp.olx.com.br/regiao-de-sorocaba/terrenos/terreno-a-venda-700-m-por-r-1-500-000-perimetro-urbano-sarapui-sp-1238525814,07/Oct/2023,11:46:15
Terrenos,,R$ 0,,Sarapuí,SP,1000m²,JORGE LUCAS,03/09/2023,https://sp.olx.com.br/regiao-de-sorocaba/terrenos/sitio-1000m-1229677482,07/Oct/2023,11:46:16
Terrenos,,R$ 1.500.000,,Sarapuí,SP,10m²,Morada das Estrelas,30/09/2023,https://sp.olx.com.br/regiao-de-sorocaba/terrenos/terreno-a-venda-na-vila-sao-joao-em-sarapui-1239037805,07/Oct/2023,11:46:16
Terrenos,,R$ 45.000,,Sarapuí,SP,250m²,vendas.diegoarruda,11/09/2023,https://sp.olx.com.br/regiao-de-sorocaba/terrenos/terrenos-a-venda-em-sarapui-sp-1232572529,07/Oct/2023,11:46:16
Terrenos,,R$ 130.000,,Sarapuí,SP,1000m²,Arnaldo,13/09/2023,https://sp.olx.com.br/regiao-de-sorocaba/terrenos/terreno-condominio-fechado-menos-de-2h-de-sp-capital-700-metros-da-raposo-1233329132,07/Oct/2023,11:46:16
Terrenos,,R$ 1.500.000,,Sarapuí,SP,6000m²,L4S,22/09/2023,https://sp.olx.com.br/regiao-de-sorocaba/terrenos/terreno-para-venda-em-perimetro-urbano-de-6000-00m-1236417119,07/Oct/2023,11:46:16
Terrenos,,R$ 160.000,,Sarapuí,SP,250m²,Geovanna Medeiros,07/08/2023,https://sp.olx.com.br/regiao-de-sorocaba/terrenos/vende-se-terreno-1219587038,07/Oct/2023,11:46:16
Terrenos,,R$ 90.000,,Sarapuí,SP,,Moradha Negócios Imobiliários,20/09/2023,https://sp.olx.com.br/regiao-de-sorocaba/terrenos/vende-se-terreno-1-000m-bairro-ressaca-sarapui-1235923138,07/Oct/2023,11:46:16
Terrenos,,R$ 1.500.200,,Sarapuí,SP,7000m²,Maicon F&G,31/08/2023,https://sp.olx.com.br/regiao-de-sorocaba/terrenos/terreno-a-venda-na-rua-principal-de-sarapui-1228689836,07/Oct/2023,11:46:16
Terrenos,,R$ 150.000,,Sarapuí,SP,1000m²,Alex Nawa,18/09/2023,https://sp.olx.com.br/regiao-de-sorocaba/terrenos/excelente-terreno-1-000-m-no-residencial-pinheiros-do-lago-em-sarapui-sp-1235088280,07/Oct/2023,11:46:16
Terrenos,,R$ 4.190.000,,Sarapuí,SP,134200m²,Casas e Vistas,18/09/2023,https://sp.olx.com.br/regiao-de-sorocaba/terrenos/terreno-em-incrivel-haras-em-sarapui-sp-1234961912,07/Oct/2023,11:46:16
