tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 8.700.000,Alto de Pinheiros,São Paulo,SP,1088m²,Imóveis PRO,26/09/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-para-venda-com-1-088m-em-alto-de-pinheiros-1237606028,08/Oct/2023,04:30:09
Terrenos,,R$ 7.000,Alto de Pinheiros,São Paulo,SP,400m²,C2+ Negócios Imobiliários,19/07/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-comercial-alto-de-pinheiiros-400m-1211915668,08/Oct/2023,04:30:09
Terrenos,,R$ 3.500.000,Boaçava,São Paulo,SP,729m²,Jadar Imóveis Ltda Epp,15/09/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-no-boacava-1233986456,08/Oct/2023,04:30:09
Terrenos,,R$ 8.699.960,Alto de Pinheiros,São Paulo,SP,1088m²,Imóveis PRO,06/10/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-para-venda-com-1-088m-em-alto-de-pinheiros-1241040461,08/Oct/2023,04:30:09
Terrenos,,R$ 3.500.000,Boaçava,São Paulo,SP,729m²,M2G Consultoria imobiliária LTDA,14/09/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/excelente-terreno-na-city-boacava-para-venda-oportunidade-unica-1233742920,08/Oct/2023,04:30:09
Terrenos,,R$ 8.850.000,Alto de Pinheiros,São Paulo,SP,1100m²,KAUFFMANN,05/10/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/excelente-alto-de-pinheiros-terreno-de-1-100000mts-oportunidade-1240642565,08/Oct/2023,04:30:09
Terrenos,,R$ 2.000.000,Alto de Pinheiros,São Paulo,SP,480m²,LOCAL IMÓVEIS - ALTO DE PINHEIROS,11/07/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-alto-de-pinheiros-1209064181,08/Oct/2023,04:30:09
Terrenos,,R$ 3.000.000,Alto de Pinheiros,São Paulo,SP,780m²,Lopes Prime,05/08/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-sao-paulo-alto-de-pinheiros-ref-reo831617-1218735438,08/Oct/2023,04:30:09
Terrenos,,R$ 7.500,Alto de Pinheiros,São Paulo,SP,550m²,Paulo Roberto Leardi,06/09/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/area-alto-de-pinheiros-sp-1230941383,08/Oct/2023,04:30:09
Terrenos,,R$ 3.000.000,Alto de Pinheiros,São Paulo,SP,780m²,Lopes Prime - Moema,07/07/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-a-venda-em-alto-de-pinheiros-sp-1207351383,08/Oct/2023,04:30:09
