tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 3.500.000,Moema,São Paulo,SP,150m²,PAULO ROBERTO LEARDI - VL CLEMENTINO,02/09/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-moema-passaros-sp-1229356905,08/Oct/2023,10:22:56
Terrenos,,R$ 9.000.000,Vila Uberabinha,São Paulo,SP,1m²,Crédito Real | Paulista,14/07/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-em-moema-1210361105,08/Oct/2023,10:22:56
Venda - apartamento padrão,2,R$ 1.130.000,Vila Uberabinha,São Paulo,SP,104m²,MBaroni Prime,08/10/2023,https://sp.olx.com.br/sao-paulo-e-regiao/imoveis/sao-paulo-apartamento-padrao-moema-1241622290,08/Oct/2023,10:22:56
Terrenos,,R$ 6.999.000,Vila Uberabinha,São Paulo,SP,508m²,PASCAL IMOVEIS,16/02/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/sao-paulo-terreno-padrao-moema-1062126766,08/Oct/2023,10:22:56
Terrenos,,R$ 8.000.000,Vila Uberabinha,São Paulo,SP,100m²,Paulo Roberto Leardi,05/07/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/area-moema-sp-1206364749,08/Oct/2023,10:22:56
Terrenos,,R$ 2.000.000,Jardim Novo Mundo,São Paulo,SP,403m²,E7 IMÓVEIS,27/05/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-a-venda-jardim-novo-mundo-sao-paulo-sp-1190753446,08/Oct/2023,10:22:56
Terrenos,,R$ 6.999.960,Vila Uberabinha,São Paulo,SP,508m²,Imóveis PRO,06/10/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-zm-operacao-urbana-faria-lima-1241017490,08/Oct/2023,10:22:56
Terrenos,,R$ 8.000.000,Vila Uberabinha,São Paulo,SP,508m²,Lef Properties,14/04/2022,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-a-venda-em-moema-1020686889,08/Oct/2023,10:22:56
Terrenos,,R$ 3.800.000,Moema,São Paulo,SP,190m²,ADRIANO SILVA IMOVEIS,23/01/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/sao-paulo-terreno-padrao-moema-indios-1137467186,08/Oct/2023,10:22:56
Terrenos,,R$ 7.000.000,Vila Uberabinha,São Paulo,SP,508m²,LOPES PRIME,07/04/2022,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-a-venda-em-vila-uberabinha-sp-1017141765,08/Oct/2023,10:22:56
Terrenos,,R$ 8.000.000,Vila Uberabinha,São Paulo,SP,100m²,Paulo Roberto Leardi,06/03/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/area-moema-sp-1155414367,08/Oct/2023,10:22:56
Terrenos,,R$ 7.000.000,Vila Uberabinha,São Paulo,SP,508m²,Lef Properties,25/10/2022,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/moema-terreno-de-508-m2-a-venda-1101261196,08/Oct/2023,10:22:56
Terrenos,,R$ 7.000.000,Vila Uberabinha,São Paulo,SP,508m²,Imóveis PRO,29/09/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-zm-operacao-urbana-faria-lima-1238643425,08/Oct/2023,10:22:56
Terrenos,,R$ 3.500.000,Moema,São Paulo,SP,150m²,Paulo Roberto Leardi,04/09/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-moema-passaros-sp-1230080217,08/Oct/2023,10:22:56
Terrenos,,R$ 6.000.000,Vila Uberabinha,São Paulo,SP,500m²,CHIMENTO IMÓVEIS,08/04/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-a-venda-500-m-por-r-6-000-000-00-vila-nova-conceicao-sao-paulo-sp-1170296615,08/Oct/2023,10:22:56
Venda - apartamento padrão,4,R$ 3.650.000,Vila Uberabinha,São Paulo,SP,340m²,MBaroni Prime,08/10/2023,https://sp.olx.com.br/sao-paulo-e-regiao/imoveis/sao-paulo-apartamento-padrao-moema-1241622300,08/Oct/2023,10:22:56
Terrenos,,R$ 8.000.000,Vila Uberabinha,São Paulo,SP,508m²,E7 IMÓVEIS,27/05/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-a-venda-moema-sao-paulo-sp-1190751707,08/Oct/2023,10:22:56
Terrenos,,R$ 9.000.000,Vila Uberabinha,São Paulo,SP,508m²,ARCOVERDE IMOBILIARIA LTDA,06/04/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-a-venda-508-m-por-r-9-000-000-00-moema-sao-paulo-sp-1169336631,08/Oct/2023,10:22:56
Venda - apartamento padrão,3,R$ 1.600.000,Vila Uberabinha,São Paulo,SP,159m²,MBaroni Prime,08/10/2023,https://sp.olx.com.br/sao-paulo-e-regiao/imoveis/sao-paulo-apartamento-padrao-moema-1241621960,08/Oct/2023,10:22:56
Venda - apartamento padrão,3,R$ 1.330.000,Moema,São Paulo,SP,130m²,MBaroni Prime,08/10/2023,https://sp.olx.com.br/sao-paulo-e-regiao/imoveis/sao-paulo-apartamento-padrao-moema-1241621930,08/Oct/2023,10:22:56
Terrenos,,R$ 5.800.000,Vila Uberabinha,São Paulo,SP,500m²,Site Location Imóveis,21/03/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/91985-terreno-para-venda-zeup-possui-500-m2-em-moema-1053717110,08/Oct/2023,10:22:56
Terrenos,,R$ 5.500.000,Vila Uberabinha,São Paulo,SP,500m²,Opimo Imóveis,07/01/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-a-venda-500-m-por-r-5-500-000-moema-sao-paulo-sp-1046717829,08/Oct/2023,10:22:56
Terrenos,,R$ 6.000.000,Vila Uberabinha,São Paulo,SP,500m²,Lopes Prime - Moema,07/04/2022,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-a-venda-em-vila-uberabinha-sp-1017192674,08/Oct/2023,10:22:56
Terrenos,,R$ 6.999.960,Vila Uberabinha,São Paulo,SP,508m²,Imóveis PRO,06/10/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-zm-operacao-urbana-faria-lima-1241041676,08/Oct/2023,10:22:56
Terrenos,,R$ 6.999.000,Vila Uberabinha,São Paulo,SP,508m²,PASCAL IMOVEIS,21/10/2022,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/sao-paulo-terreno-padrao-moema-1021355093,08/Oct/2023,10:22:57
Venda - apartamento padrão,2,R$ 580.000,Vila Uberabinha,São Paulo,SP,51m²,MBaroni Prime,08/10/2023,https://sp.olx.com.br/sao-paulo-e-regiao/imoveis/sao-paulo-apartamento-padrao-moema-1241622023,08/Oct/2023,10:22:57
Terrenos,,R$ 6.000.000,Vila Uberabinha,São Paulo,SP,500m²,LOPES PRIME,20/09/2021,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-a-venda-em-vila-uberabinha-sp-933935287,08/Oct/2023,10:22:57
Terrenos,,R$ 5.897.000,Vila Uberabinha,São Paulo,SP,500m²,Dutra Imóveis,31/08/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-padrao-vila-uberabinha-500m-45-vagas-1228759838,08/Oct/2023,10:22:57
Venda - apartamento padrão,4,R$ 4.700.000,Vila Uberabinha,São Paulo,SP,230m²,MBaroni Prime,08/10/2023,https://sp.olx.com.br/sao-paulo-e-regiao/imoveis/sao-paulo-apartamento-padrao-moema-1241622074,08/Oct/2023,10:22:57
Terrenos,,R$ 3.500.000,Moema,São Paulo,SP,150m²,Paulo Roberto Leardi,04/09/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-moema-passaros-sp-1230127453,08/Oct/2023,10:22:57
Venda - apartamento padrão,4,R$ 2.650.000,Vila Uberabinha,São Paulo,SP,200m²,MBaroni Prime,08/10/2023,https://sp.olx.com.br/sao-paulo-e-regiao/imoveis/sao-paulo-apartamento-padrao-moema-1241622119,08/Oct/2023,10:22:57
Outros,,R$ 14.500,Vila Uberabinha,São Paulo,SP,10m²,Gustavo  Auto Moema,04/10/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/jazigo-cemiterio-de-congonhas-1211190856,08/Oct/2023,10:22:57
Terrenos,,R$ 30.000,Moema,São Paulo,SP,190m²,ADRIANO SILVA IMOVEIS,23/01/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/sao-paulo-terreno-padrao-moema-indios-1137467119,08/Oct/2023,10:22:57
Terrenos,,R$ 8.000.000,Vila Uberabinha,São Paulo,SP,100m²,Leardi Jardim Paulista 304,01/03/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/area-moema-sp-1153163149,08/Oct/2023,10:22:57
Terrenos,,R$ 7.000.000,Vila Uberabinha,São Paulo,SP,508m²,Lopes Prime - Moema,07/04/2022,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-a-venda-em-vila-uberabinha-sp-1017203853,08/Oct/2023,10:22:57
Venda - apartamento padrão,3,R$ 1.750.000,Moema,São Paulo,SP,127m²,MBaroni Prime,08/10/2023,https://sp.olx.com.br/sao-paulo-e-regiao/imoveis/sao-paulo-apartamento-padrao-moema-1241621986,08/Oct/2023,10:22:57
Venda - apartamento padrão,3,R$ 2.400.000,Vila Uberabinha,São Paulo,SP,206m²,MBaroni Prime,08/10/2023,https://sp.olx.com.br/sao-paulo-e-regiao/imoveis/sao-paulo-apartamento-padrao-moema-1241620422,08/Oct/2023,10:22:58
Venda - apartamento padrão,2,R$ 1.821.000,Moema,São Paulo,SP,161m²,DBR Imóveis,07/10/2023,https://sp.olx.com.br/sao-paulo-e-regiao/imoveis/apartamento-residencial-em-sao-paulo-sp-moema-1241463698,08/Oct/2023,10:22:58
Venda - apartamento padrão,3,R$ 1.311.000,Vila Uberabinha,São Paulo,SP,113m²,MBaroni Prime,08/10/2023,https://sp.olx.com.br/sao-paulo-e-regiao/imoveis/sao-paulo-apartamento-padrao-moema-1241620085,08/Oct/2023,10:22:58
Venda - apartamento padrão,2,R$ 839.019,Vila Uberabinha,São Paulo,SP,53m²,LEARDI CAMPO BELO 223,08/10/2023,https://sp.olx.com.br/sao-paulo-e-regiao/imoveis/apartamento-moema-passaros-sp-1241490735,08/Oct/2023,10:22:58
Venda - apartamento padrão,1,R$ 690.000,Moema,São Paulo,SP,49m²,Lello Vendas,08/10/2023,https://sp.olx.com.br/sao-paulo-e-regiao/imoveis/sao-paulo-apartamento-padrao-moema-1241516231,08/Oct/2023,10:22:58
Venda - apartamento padrão,1,R$ 950.000,Vila Uberabinha,São Paulo,SP,53m²,MBaroni Prime,08/10/2023,https://sp.olx.com.br/sao-paulo-e-regiao/imoveis/sao-paulo-apartamento-padrao-moema-1241621668,08/Oct/2023,10:22:58
Venda - apartamento cobertura,3,R$ 3.500.000,Moema,São Paulo,SP,287m²,DBR Imóveis,08/10/2023,https://sp.olx.com.br/sao-paulo-e-regiao/imoveis/cobertura-residencial-em-sao-paulo-sp-moema-1241467912,08/Oct/2023,10:22:58
Venda - apartamento padrão,1,R$ 887.000,Vila Uberabinha,São Paulo,SP,72m²,MBaroni Prime,08/10/2023,https://sp.olx.com.br/sao-paulo-e-regiao/imoveis/sao-paulo-apartamento-padrao-moema-1241621197,08/Oct/2023,10:22:58
