tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 260.000,Vila do Estádio,Presidente Prudente,SP,392m²,LEAL IMOVEIS LTDA - ME,10/06/2023,https://sp.olx.com.br/regiao-de-presidente-prudente/terrenos/terreno-em-condominio-para-venda-em-presidente-prudente-condominio-residencial-valencia-l-1196200090,25/Sep/2023,20:43:18
Terrenos,,R$ 346.847,Parque Residencial Mart Ville,Presidente Prudente,SP,348m²,ALEX IMOVEIS S/S LTDA,02/06/2023,https://sp.olx.com.br/regiao-de-presidente-prudente/terrenos/terreno-em-condominio-para-venda-em-presidente-prudente-condominio-mart-ville-1193448781,25/Sep/2023,20:43:28
Terrenos,,R$ 210.000,Jardim das Rosas,Presidente Prudente,SP,253m²,ALEX IMOVEIS S/S LTDA,06/06/2023,https://sp.olx.com.br/regiao-de-presidente-prudente/terrenos/terreno-para-venda-em-presidente-prudente-jardim-das-rosas-1194877947,25/Sep/2023,20:43:29
Terrenos,,R$ 910.000,Jardim Iguaçu,Presidente Prudente,SP,1298m²,Imobiliária Village Imóveis Ltda,05/06/2023,https://sp.olx.com.br/regiao-de-presidente-prudente/terrenos/terreno-comercial-para-venda-em-presidente-prudente-jardim-iguacu-1194215023,25/Sep/2023,20:43:29
Terrenos,,R$ 400.000,Vila do Estádio,Presidente Prudente,SP,626m²,LEAL IMOVEIS LTDA - ME,13/06/2023,https://sp.olx.com.br/regiao-de-presidente-prudente/terrenos/terreno-em-condominio-para-venda-em-presidente-prudente-condominio-residencial-solares-1197537503,25/Sep/2023,20:43:29
Terrenos,,R$ 490.000,Vila Santa Tereza,Presidente Prudente,SP,968m²,ALEX IMOVEIS S/S LTDA,14/06/2023,https://sp.olx.com.br/regiao-de-presidente-prudente/terrenos/terreno-para-venda-em-presidente-prudente-vila-santa-tereza-1197692117,25/Sep/2023,20:43:29
Terrenos,,R$ 298.500,Parque Residencial Mart Ville,Presidente Prudente,SP,300m²,ALEX IMOVEIS S/S LTDA,02/06/2023,https://sp.olx.com.br/regiao-de-presidente-prudente/terrenos/terreno-em-condominio-para-venda-em-presidente-prudente-condominio-mart-ville-1193360069,25/Sep/2023,20:43:29
Terrenos,,R$ 600.000,Jardim Iguaçu,Presidente Prudente,SP,576m²,Imobiliária Village Imóveis Ltda,06/06/2023,https://sp.olx.com.br/regiao-de-presidente-prudente/terrenos/terreno-comercial-para-venda-em-presidente-prudente-jardim-iguacu-1194644467,25/Sep/2023,20:43:29
Terrenos,,R$ 298.500,Parque Residencial Mart Ville,Presidente Prudente,SP,300m²,ALEX IMOVEIS S/S LTDA,02/06/2023,https://sp.olx.com.br/regiao-de-presidente-prudente/terrenos/terreno-em-condominio-para-venda-em-presidente-prudente-condominio-mart-ville-1193384975,25/Sep/2023,20:43:29
Terrenos,,R$ 300.000,Parque Residencial Mart Ville,Presidente Prudente,SP,300m²,ALEX IMOVEIS S/S LTDA,09/06/2023,https://sp.olx.com.br/regiao-de-presidente-prudente/terrenos/terreno-em-condominio-para-venda-em-presidente-prudente-condominio-mart-ville-1196078996,25/Sep/2023,20:43:29
Terrenos,,R$ 298.000,Parque Residencial Mart Ville,Presidente Prudente,SP,300m²,ALEX IMOVEIS S/S LTDA,02/06/2023,https://sp.olx.com.br/regiao-de-presidente-prudente/terrenos/terreno-em-condominio-para-venda-em-presidente-prudente-condominio-mart-ville-1193231541,25/Sep/2023,20:43:29
Terrenos,,R$ 358.200,Parque Residencial Mart Ville,Presidente Prudente,SP,360m²,ALEX IMOVEIS S/S LTDA,02/06/2023,https://sp.olx.com.br/regiao-de-presidente-prudente/terrenos/terreno-em-condominio-para-venda-em-presidente-prudente-condominio-mart-ville-1193231547,25/Sep/2023,20:43:29
Terrenos,,R$ 298.500,Parque Residencial Mart Ville,Presidente Prudente,SP,300m²,ALEX IMOVEIS S/S LTDA,02/06/2023,https://sp.olx.com.br/regiao-de-presidente-prudente/terrenos/terreno-em-condominio-para-venda-em-presidente-prudente-condominio-mart-ville-1193231545,25/Sep/2023,20:43:29
Terrenos,,R$ 519.420,Parque Residencial Mart Ville,Presidente Prudente,SP,519m²,ALEX IMOVEIS S/S LTDA,02/06/2023,https://sp.olx.com.br/regiao-de-presidente-prudente/terrenos/terreno-em-condominio-para-venda-em-presidente-prudente-condominio-mart-ville-1193231589,25/Sep/2023,20:43:29
Terrenos,,R$ 358.200,Parque Residencial Mart Ville,Presidente Prudente,SP,360m²,ALEX IMOVEIS S/S LTDA,02/06/2023,https://sp.olx.com.br/regiao-de-presidente-prudente/terrenos/terreno-em-condominio-para-venda-em-presidente-prudente-condominio-mart-ville-1193230910,25/Sep/2023,20:43:29
Terrenos,,R$ 430.456,Parque Residencial Mart Ville,Presidente Prudente,SP,432m²,ALEX IMOVEIS S/S LTDA,02/06/2023,https://sp.olx.com.br/regiao-de-presidente-prudente/terrenos/terreno-em-condominio-para-venda-em-presidente-prudente-condominio-mart-ville-1193359998,25/Sep/2023,20:43:30
Terrenos,,R$ 530.000,Jardim Alto da Boa Vista,Presidente Prudente,SP,1000m²,Tork Imóveis,06/06/2023,https://sp.olx.com.br/regiao-de-presidente-prudente/terrenos/terreno-excelente-no-condominio-gramado-1194828793,25/Sep/2023,20:43:30
Terrenos,,R$ 300.000,Parque Residencial Mart Ville,Presidente Prudente,SP,300m²,ALEX IMOVEIS S/S LTDA,02/06/2023,https://sp.olx.com.br/regiao-de-presidente-prudente/terrenos/terreno-em-condominio-para-venda-em-presidente-prudente-condominio-mart-ville-1193231523,25/Sep/2023,20:43:30
Terrenos,,R$ 477.072,Parque Residencial Mart Ville,Presidente Prudente,SP,479m²,ALEX IMOVEIS S/S LTDA,02/06/2023,https://sp.olx.com.br/regiao-de-presidente-prudente/terrenos/terreno-em-condominio-para-venda-em-presidente-prudente-condominio-mart-ville-1193231542,25/Sep/2023,20:43:30
Terrenos,,R$ 318.770,Parque Residencial Mart Ville,Presidente Prudente,SP,312m²,ALEX IMOVEIS S/S LTDA,02/06/2023,https://sp.olx.com.br/regiao-de-presidente-prudente/terrenos/terreno-em-condominio-para-venda-em-presidente-prudente-condominio-mart-ville-1193231128,25/Sep/2023,20:43:30
Terrenos,,R$ 430.456,Parque Residencial Mart Ville,Presidente Prudente,SP,432m²,ALEX IMOVEIS S/S LTDA,02/06/2023,https://sp.olx.com.br/regiao-de-presidente-prudente/terrenos/terreno-em-condominio-para-venda-em-presidente-prudente-condominio-mart-ville-1193385000,25/Sep/2023,20:43:30
Terrenos,,R$ 285.000,Centro,Presidente Prudente,SP,360m²,LEAL IMOVEIS LTDA - ME,01/06/2023,https://sp.olx.com.br/regiao-de-presidente-prudente/terrenos/terreno-em-condominio-para-venda-em-presidente-prudente-condominio-residencial-portinari-1192646215,25/Sep/2023,20:43:30
Terrenos,,R$ 80.000,Centro,Presidente Prudente,SP,1000m²,LEAL IMOVEIS LTDA - ME,27/05/2023,https://sp.olx.com.br/regiao-de-presidente-prudente/terrenos/terreno-em-condominio-para-venda-em-bataguassu-recanto-pirareta-1190717772,25/Sep/2023,20:43:30
Terrenos,,R$ 320.000,Centro,Presidente Prudente,SP,427m²,LEAL IMOVEIS LTDA - ME,31/05/2023,https://sp.olx.com.br/regiao-de-presidente-prudente/terrenos/terreno-em-condominio-para-venda-em-presidente-prudente-condominio-residencial-solares-1192409188,25/Sep/2023,20:43:30
Terrenos,,R$ 100.000,Centro,Presidente Prudente,SP,360m²,LEAL IMOVEIS LTDA - ME,24/05/2022,https://sp.olx.com.br/regiao-de-presidente-prudente/terrenos/terreno-para-venda-em-martinopolis-jardim-paulista-1036121630,25/Sep/2023,20:43:30
Terrenos,,R$ 300.000,Parque Residencial Mart Ville,Presidente Prudente,SP,300m²,ALEX IMOVEIS S/S LTDA,02/06/2023,https://sp.olx.com.br/regiao-de-presidente-prudente/terrenos/terreno-em-condominio-para-venda-em-presidente-prudente-condominio-mart-ville-1193231529,25/Sep/2023,20:43:30
Terrenos,,R$ 265.000,Vila Santa Tereza,Presidente Prudente,SP,371m²,Tork Imóveis,30/05/2023,https://sp.olx.com.br/regiao-de-presidente-prudente/terrenos/terreno-plano-no-jardim-paulista-1191915801,25/Sep/2023,20:43:30
