tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 125.000,,Águas da Prata,SP,324m²,Anderson Luiz de Jesus Brazão,30/09/2023,https://sp.olx.com.br/grande-campinas/terrenos/2-terrenos-para-venda-otima-oportunidade-em-aguas-da-prata-1238939601,07/Oct/2023,18:38:35
Terrenos,,R$ 100.000,,Águas da Prata,SP,420m²,METHODO Imóveis,08/04/2023,https://sp.olx.com.br/grande-campinas/terrenos/terreno-a-venda-420-m-por-r-100-000-00-terras-do-alegre-aguas-da-prata-sp-1170168963,07/Oct/2023,18:38:35
Venda - casa em rua pública,3,R$ 3.000.000,,Águas da Prata,SP,600m²,Tania Corretora,07/04/2023,https://sp.olx.com.br/grande-campinas/imoveis/casa-a-venda-com-aprox-600-m-3-suites-em-aguas-da-prata-sp-1013203192,07/Oct/2023,18:38:35
Terrenos,,R$ 650.000,,Águas da Prata,SP,333m²,Evidência Imóveis,11/04/2023,https://sp.olx.com.br/grande-campinas/terrenos/terreno-a-venda-332-m-por-r-650-000-00-vila-dos-tres-irmaos-aguas-da-prata-sp-1171524442,07/Oct/2023,18:38:35
Venda - casa em rua pública,5 ou mais,R$ 499.000,,Águas da Prata,SP,150m²,L4S,29/08/2023,https://sp.olx.com.br/grande-campinas/imoveis/casa-para-venda-em-de-150-00m-com-5-quartos-e-4-garagens-1227609847,07/Oct/2023,18:38:35
Terrenos,,R$ 100.000,,Águas da Prata,SP,460m²,PAULO AFONSO IMOBILIARIA,30/07/2023,https://sp.olx.com.br/grande-campinas/terrenos/terrenos-a-venda-com-460-metros-no-bairro-estacao-cascata-em-aguas-da-prata-sp-1216307302,07/Oct/2023,18:38:35
Terrenos,,R$ 120.000,,Águas da Prata,SP,612m²,Bruna Trindade,17/08/2023,https://sp.olx.com.br/grande-campinas/terrenos/terreno-612m-em-aguas-da-prata-sp-1223386051,07/Oct/2023,18:38:35
Terrenos,,R$ 158.000,,Águas da Prata,SP,1000m²,Zona Leste Imóveis,16/02/2023,https://sp.olx.com.br/grande-campinas/terrenos/terreno-a-venda-1000-m-por-r-158-000-00-jardim-das-paineiras-aguas-da-prata-sp-1049146478,07/Oct/2023,18:38:35
Venda - casa em rua pública,5 ou mais,R$ 499.880,,Águas da Prata,SP,500m²,USUÁRIO NEWCORE,24/09/2023,https://sp.olx.com.br/grande-campinas/imoveis/casa-em-rua-senador-lacerda-franco-centro-aguas-da-prata-sp-1237101366,07/Oct/2023,18:38:35
Terrenos,,R$ 110.000,,Águas da Prata,SP,250m²,ELDORADO IMOBILIARIA UNIDADE HORTOLANDIA,13/09/2023,https://sp.olx.com.br/grande-campinas/terrenos/terreno-a-venda-250-m-por-r-110-000-00-boa-vista-2-aguas-da-prata-sp-1233169962,07/Oct/2023,18:38:35
Venda - casa em rua pública,3,R$ 1.150.000,,Águas da Prata,SP,324m²,REMAX FOCUS,12/04/2023,https://sp.olx.com.br/grande-campinas/imoveis/casa-com-3-suites-em-aguas-da-prata-324m-1168574147,07/Oct/2023,18:38:35
Venda - casa em rua pública,5 ou mais,R$ 495.000,,Águas da Prata,SP,150m²,RE/MAX REDE PRO 4,06/10/2023,https://sp.olx.com.br/grande-campinas/imoveis/rp4-vende-casa-5-quartos-2-banheiros-4-vagas-150m-r-500-000-centro-aguas-da-prata-sp-1240905077,07/Oct/2023,18:38:35
Terrenos,,R$ 650.000,,Águas da Prata,SP,2700m²,Evidência Imóveis,11/04/2023,https://sp.olx.com.br/grande-campinas/terrenos/terreno-a-venda-2700-m-por-r-650-000-00-vila-dos-tres-irmaos-aguas-da-prata-sp-1171549579,07/Oct/2023,18:38:36
Terrenos,,R$ 84.900,,Águas da Prata,SP,204m²,Eduardo,03/09/2023,https://sp.olx.com.br/grande-campinas/terrenos/excelente-terreno-de-204m-no-terras-do-alegre-em-aguas-da-prata-1229597713,07/Oct/2023,18:38:36
Venda - casa em rua pública,4,R$ 470.000,,Águas da Prata,SP,600m²,valter rodrigues alarcon,05/09/2023,https://sp.olx.com.br/grande-campinas/imoveis/casa-com-4-quartos-casa-localizada-na-entrada-da-cidade-de-aguas-da-prata-sp-1230623907,07/Oct/2023,18:38:36
Venda - casa em rua pública,4,R$ 1.500.000,,Águas da Prata,SP,363m²,Nova Imob Negócios Imobiilários,23/09/2023,https://sp.olx.com.br/grande-campinas/imoveis/casa-com-4-dormitorios-a-venda-363-m-por-r-1-500-000-00-centro-aguas-da-prata-sp-1236723277,07/Oct/2023,18:38:36
Terrenos,,R$ 72.000,,Águas da Prata,SP,205m²,anarizzo,23/09/2023,https://sp.olx.com.br/grande-campinas/terrenos/terreno-205m-jd-paineiras-aguas-da-prata-sp-oportunidade-1236962009,07/Oct/2023,18:38:36
Venda - apartamento padrão,3,R$ 425.000,,Águas da Prata,SP,92m²,Rubens Martins Júnior,25/08/2023,https://sp.olx.com.br/grande-campinas/imoveis/apartamento-em-campinas-1051430840,07/Oct/2023,18:38:36
Terrenos,,R$ 110.000,,Águas da Prata,SP,250m²,ELDORADO IMOBILIARIA LTDA,13/09/2023,https://sp.olx.com.br/grande-campinas/terrenos/terreno-a-venda-250-m-por-r-110-000-00-boa-vista-2-aguas-da-prata-sp-1233140925,07/Oct/2023,18:38:36
Venda - casa em rua pública,2,R$ 350.000,São Roque da Fartura,Águas da Prata,SP,120m²,Camila Damaceno Bispo,07/06/2023,https://sp.olx.com.br/grande-campinas/imoveis/terrea-para-venda-possui-120-metros-quadrados-com-2-quartos-1195105490,07/Oct/2023,18:38:36
Venda - casa em rua pública,3,R$ 3.000.000,,Águas da Prata,SP,600m²,Tania Corretora,13/04/2023,https://sp.olx.com.br/grande-campinas/imoveis/casa-a-venda-com-aprox-600-m-3-suites-em-aguas-da-prata-sp-1013692286,07/Oct/2023,18:38:36
Venda - apartamento padrão,2,R$ 200.000,,Águas da Prata,SP,36m²,Marcelo Lance Corretor de Imóveis,01/10/2023,https://sp.olx.com.br/grande-campinas/imoveis/apartamento-em-aguas-da-prata-1239361467,07/Oct/2023,18:38:36
