tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 95.000,Jardim São Geraldo,Marília,SP,200m²,MORADAS IMÓVEIS MARÍLIA,20/01/2023,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/terreno-a-venda-200-m-por-r-95-000-jardim-sao-geraldo-marilia-sp-1135863369,10/Apr/2023,19:34:33
Terrenos,,R$ 200.000,Núcleo Habitacional Castelo Branco,Marília,SP,250m²,MORADAS IMÓVEIS MARÍLIA,08/10/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/terreno-a-venda-250-m-por-r-200-000-00-nucleo-habitacional-castelo-branco-marilia-s-1094244783,10/Apr/2023,19:34:44
Terrenos,,R$ 17.000,Jardim Califórnia,Marília,SP,200m²,Pereira,25/03/2023,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/vendo-excelente-terreno-10x20-1164018615,10/Apr/2023,19:34:44
Terrenos,,R$ 220.000,Jardim Tropical,Marília,SP,250m²,ALJE IMOVEIS,25/03/2023,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/vende-se-lote-em-condominio-no-cascata-ii-residencial-cascata-ii-marilia-sp-1002501041,10/Apr/2023,19:34:44
Terrenos,,R$ 140.000,Alto Cafezal,Marília,SP,242m²,ALJE IMOVEIS,21/03/2023,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/vende-se-lote-terreno-no-alto-cafezal-marilia-sp-968946701,10/Apr/2023,19:34:44
Terrenos,,R$ 150.000,Jardim Maria Izabel,Marília,SP,275m²,ALJE IMOVEIS,23/03/2023,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/vende-se-lote-em-condominio-no-village-damha-marilia-sp-1017721833,10/Apr/2023,19:34:44
Terrenos,,R$ 115.000,Loteamento Residencial e Comercial Fazenda São Sebastião,Marília,SP,250m²,Moisés M.,23/03/2023,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/terreno-250m-condominio-verana-parque-alvorada-1160559028,10/Apr/2023,19:34:44
Terrenos,,R$ 210.000,Residencial Villa Flora Aquarius,Marília,SP,250m²,Casal brokers & associado - Creci 173669,24/03/2023,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/terreno-a-venda-250-m-por-r-210-000-00-residencial-villa-flora-aquarius-marilia-sp-1163513469,10/Apr/2023,19:34:44
Terrenos,,R$ 100.000,,Marília,SP,250m²,nossotratofeito,23/03/2023,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/terreno-terra-verde-1162892568,10/Apr/2023,19:34:44
Terrenos,,R$ 220.000,Jardim Maria Izabel,Marília,SP,735m²,henrique,20/03/2023,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/terreno-condominio-fechado-garden-park-1146445044,10/Apr/2023,19:34:44
Terrenos,,R$ 80.000,Jardim Nazareth,Marília,SP,200m²,Guilhermm,21/03/2023,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/parque-das-flores-1162061532,10/Apr/2023,19:34:44
Terrenos,,R$ 140.000,Jardim Portal do Sol,Marília,SP,275m²,lortega,22/03/2023,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/terreno-a-venda-jardim-parati-i-1162603897,10/Apr/2023,19:34:44
Terrenos,,R$ 180.000,Residencial Villa Flora Aquarius,Marília,SP,250m²,Vieira,20/03/2023,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/villa-flora-aquarius-1161490205,10/Apr/2023,19:34:44
Terrenos,,R$ 325.000,Marília,Marília,SP,484m²,Imobiliária Inovar,22/03/2023,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/terreno-a-venda-em-area-central-1162517816,10/Apr/2023,19:34:44
Terrenos,,R$ 130.000,Vila Coimbra,Marília,SP,315m²,MORADAS IMÓVEIS MARÍLIA,29/05/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/terreno-a-venda-330-m-vila-coimbra-1038417147,10/Apr/2023,19:34:44
Terrenos,,R$ 85.000,Jardim Edisom da Silva Lima,Marília,SP,200m²,MORADAS IMÓVEIS MARÍLIA,29/05/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/terreno-a-venda-200-m-jardim-edisom-da-silva-lima-1038420141,10/Apr/2023,19:34:44
Terrenos,,R$ 50.000,Antenor Barion,Marília,SP,250m²,MORADAS IMÓVEIS MARÍLIA,20/01/2023,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/terreno-a-venda-250-m-por-r-50-000-parque-das-flores-marilia-sp-1135863264,10/Apr/2023,19:34:34
Terrenos,,R$ 43.000,Professor Antônio da Silva Penteado,Marília,SP,160m²,MORADAS IMÓVEIS MARÍLIA,20/01/2023,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/terreno-a-venda-160-m-por-r-43-000-professor-antonio-da-silva-penteado-marilia-sp-1135863260,10/Apr/2023,19:34:34
Terrenos,,R$ 165.000,Jardim Colibri,Marília,SP,300m²,MORADAS IMÓVEIS MARÍLIA,20/01/2023,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/terreno-a-venda-300-m-por-r-165-000-00-jardim-colibri-marilia-sp-1135863104,10/Apr/2023,19:34:34
Terrenos,,R$ 630.000,Parque das Esmeraldas,Marília,SP,570m²,MORADAS IMÓVEIS MARÍLIA,20/01/2023,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/cond-portal-dos-nobres-1135863107,10/Apr/2023,19:34:34
Terrenos,,R$ 180.000,Jardim Altos do Palmital,Marília,SP,250m²,MORADAS IMÓVEIS MARÍLIA,20/01/2023,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/terreno-a-venda-250-m-por-r-180-000-altos-do-palmital-marilia-sp-1135860975,10/Apr/2023,19:34:34
Terrenos,,R$ 160.000,Jardim Luciana,Marília,SP,370m²,MORADAS IMÓVEIS MARÍLIA,20/01/2023,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/terreno-a-venda-370-m-por-r-160-000-jardim-luciana-marilia-sp-1135855194,10/Apr/2023,19:34:34
Terrenos,,R$ 109.000,Jardim Flamingo,Marília,SP,260m²,MORADAS IMÓVEIS MARÍLIA,29/05/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/terreno-a-venda-260-m-canaa-1038418219,10/Apr/2023,19:34:44
Terrenos,,R$ 170.000,Loteamento Residencial e Comercial Fazenda São Sebastião,Marília,SP,200m²,Nova Cipasa,09/10/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/lotes-verana-parque-alvorada-200-a-592m-marilia-sp-1094465343,10/Apr/2023,19:34:44
Terrenos,,R$ 230.000,Centro,Marília,SP,250m²,NIKKEI Assessoria Imobiliária,24/03/2023,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/vende-se-terreno-no-residencial-villa-flora-aquarius-marilia-sp-1106722126,10/Apr/2023,19:34:44
Terrenos,,R$ 35.000,Jardim Paraíso,Marília,SP,125m²,MORADAS IMÓVEIS MARÍLIA,29/05/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/terreno-a-venda-125-m-por-r-35-000-jardim-paraiso-marilia-sp-1038419865,10/Apr/2023,19:34:44
Terrenos,,R$ 50.000,Jardim Teotônio Vilela,Marília,SP,320m²,David F.,19/03/2023,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/terrenos-nova-marilia-4-1161383076,10/Apr/2023,19:34:44
Terrenos,,R$ 100.000,,Marília,SP,250m²,MORADAS IMÓVEIS MARÍLIA,29/05/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/terreno-a-venda-250-m-por-r-100-000-00-sitios-de-recreio-leticia-marilia-sp-1038416405,10/Apr/2023,19:34:44
Terrenos,,R$ 35.000,Jardim Paraíso,Marília,SP,125m²,MORADAS IMÓVEIS MARÍLIA,29/05/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/terreno-a-venda-125-m-jardim-paraiso-1038416141,10/Apr/2023,19:34:44
Terrenos,,R$ 140.000,Jardim Altos do Palmital,Marília,SP,250m²,MORADAS IMÓVEIS MARÍLIA,29/05/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/terreno-a-venda-250-m--jardim-nazareth-1038418561,10/Apr/2023,19:34:44
