tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 400.000,Condomínio Portal dos Ipês,Ribeirão Preto,SP,5604m²,Patricia.,25/07/2023,https://sp.olx.com.br/regiao-de-ribeirao-preto/terrenos/vendo-terreno-com-5-604-3-m-no-cond-chacaras-internacional-portal-dos-ipes-1214552309,08/Aug/2023,00:19:44
Terrenos,,R$ 1.450.000,Campos Elíseos,Ribeirão Preto,SP,4077m²,MUNDIAL IMOVEIS LTDA - EPP,07/08/2023,https://sp.olx.com.br/regiao-de-ribeirao-preto/terrenos/terreno-terreno-normal-1219640761,08/Aug/2023,00:19:46
Terrenos,,R$ 280.000,Vila Monte Alegre,Ribeirão Preto,SP,580m²,Tullio,25/07/2023,https://sp.olx.com.br/regiao-de-ribeirao-preto/terrenos/terreno-no-jardim-itau-14-50m-x-40-m-580-m-1214468846,08/Aug/2023,00:19:44
Terrenos,,R$ 140.000,Loteamento Santa Marta,Ribeirão Preto,SP,261m²,Lago Imobiliária,25/07/2023,https://sp.olx.com.br/regiao-de-ribeirao-preto/terrenos/terreno-padrao-em-bonfim-1214374252,08/Aug/2023,00:19:44
Terrenos,,R$ 107.500,Jardim Salgado Filho,Ribeirão Preto,SP,178m²,L4S,25/07/2023,https://sp.olx.com.br/regiao-de-ribeirao-preto/terrenos/terreno-para-venda-em-jardim-salgado-filho-de-178-00m-1214335579,08/Aug/2023,00:19:44
Terrenos,,R$ 690.000,Parque das Oliveiras,Ribeirão Preto,SP,1373m²,MERCADO DE IMÓVEIS,25/07/2023,https://sp.olx.com.br/regiao-de-ribeirao-preto/terrenos/terreno-a-venda-1372-m-por-r-690-000-parque-das-oliveiras-ribeirao-preto-sp-1214358034,08/Aug/2023,00:19:44
Terrenos,,R$ 250.000,Recreio Anhangüera,Ribeirão Preto,SP,250m²,Flávia,07/08/2023,https://sp.olx.com.br/regiao-de-ribeirao-preto/terrenos/terreno-quinta-da-mata-1218561970,08/Aug/2023,00:19:44
Terrenos,,R$ 95.000,Vila Albertina,Ribeirão Preto,SP,297m²,Maria C.,07/08/2023,https://sp.olx.com.br/regiao-de-ribeirao-preto/terrenos/terreno-297-m2-vila-albertina-excelente-localizacao-terreno-plano-1214986915,08/Aug/2023,00:19:44
Terrenos,,R$ 437.000,Jardim Botânico,Ribeirão Preto,SP,450m²,MUNDIAL IMOVEIS LTDA - EPP,07/08/2023,https://sp.olx.com.br/regiao-de-ribeirao-preto/terrenos/terreno-terreno-normal-1219640836,08/Aug/2023,00:19:46
Terrenos,,R$ 350.000,Parque Residencial Cidade Universitária,Ribeirão Preto,SP,892m²,MUNDIAL IMOVEIS LTDA - EPP,08/08/2023,https://sp.olx.com.br/regiao-de-ribeirao-preto/terrenos/terreno-terreno-normal-1219651002,08/Aug/2023,00:19:44
