tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 620.000,Residencial e Empresarial Alphaville,Ribeirão Preto,SP,488m²,CLASSE A RP IMÓVEIS VENDAS E ADMINISTRAÇÃO LTDA,03/07/2023,https://sp.olx.com.br/regiao-de-ribeirao-preto/terrenos/terreno-condominio-em-ribeirao-preto-1205815834,18/Jul/2023,00:13:50
Terrenos,,R$ 1.400,República,Ribeirão Preto,SP,961m²,CLASSE A RP IMÓVEIS VENDAS E ADMINISTRAÇÃO LTDA,03/07/2023,https://sp.olx.com.br/regiao-de-ribeirao-preto/terrenos/terreno-area-em-ribeirao-preto-1205815776,18/Jul/2023,00:13:50
Terrenos,,R$ 15.000,Jardim Sumaré,Ribeirão Preto,SP,1173m²,CLASSE A RP IMÓVEIS VENDAS E ADMINISTRAÇÃO LTDA,03/07/2023,https://sp.olx.com.br/regiao-de-ribeirao-preto/terrenos/terreno-area-em-ribeirao-preto-1205815777,18/Jul/2023,00:13:51
Terrenos,,R$ 2.800,Jardim Irajá,Ribeirão Preto,SP,260m²,CLASSE A RP IMÓVEIS VENDAS E ADMINISTRAÇÃO LTDA,03/07/2023,https://sp.olx.com.br/regiao-de-ribeirao-preto/terrenos/terreno-area-em-ribeirao-preto-1205815762,18/Jul/2023,00:13:51
Terrenos,,R$ 5.600,Jardim Botânico,Ribeirão Preto,SP,552m²,CLASSE A RP IMÓVEIS VENDAS E ADMINISTRAÇÃO LTDA,03/07/2023,https://sp.olx.com.br/regiao-de-ribeirao-preto/terrenos/terreno-area-em-ribeirao-preto-1205815759,18/Jul/2023,00:13:51
Terrenos,,R$ 2.500,Jardim Botânico,Ribeirão Preto,SP,260m²,CLASSE A RP IMÓVEIS VENDAS E ADMINISTRAÇÃO LTDA,03/07/2023,https://sp.olx.com.br/regiao-de-ribeirao-preto/terrenos/terreno-area-em-ribeirao-preto-1205815732,18/Jul/2023,00:13:51
Terrenos,,R$ 4.500,Jardim Palma Travassos,Ribeirão Preto,SP,430m²,CLASSE A RP IMÓVEIS VENDAS E ADMINISTRAÇÃO LTDA,03/07/2023,https://sp.olx.com.br/regiao-de-ribeirao-preto/terrenos/terreno-padrao-em-ribeirao-preto-1205815685,18/Jul/2023,00:13:51
Terrenos,,R$ 145.000,Jardim Ouro Branco,Ribeirão Preto,SP,160m²,SANTA MARIA TEM NEGÓCIOS IMOBILIÁRIOS,26/06/2023,https://sp.olx.com.br/regiao-de-ribeirao-preto/terrenos/terreno-terreno-normal-1202753670,18/Jul/2023,00:14:10
Terrenos,,R$ 150.000,Jardim Zara,Ribeirão Preto,SP,250m²,SANTA MARIA TEM NEGÓCIOS IMOBILIÁRIOS,26/06/2023,https://sp.olx.com.br/regiao-de-ribeirao-preto/terrenos/terreno-terreno-normal-1202753414,18/Jul/2023,00:14:10
Terrenos,,R$ 1.680.000,Jardim Canadá,Ribeirão Preto,SP,2327m²,SANTA MARIA TEM NEGÓCIOS IMOBILIÁRIOS,26/06/2023,https://sp.olx.com.br/regiao-de-ribeirao-preto/terrenos/terreno-terreno-normal-1202753026,18/Jul/2023,00:14:10
Terrenos,,R$ 490.000,City Ribeirão,Ribeirão Preto,SP,490m²,SANTA MARIA TEM NEGÓCIOS IMOBILIÁRIOS,26/06/2023,https://sp.olx.com.br/regiao-de-ribeirao-preto/terrenos/terreno-terreno-normal-1202752274,18/Jul/2023,00:14:10
Terrenos,,R$ 290.000,Alto da Boa Vista,Ribeirão Preto,SP,398m²,SANTA MARIA TEM NEGÓCIOS IMOBILIÁRIOS,26/06/2023,https://sp.olx.com.br/regiao-de-ribeirao-preto/terrenos/terreno-terreno-normal-1202749188,18/Jul/2023,00:14:10
Terrenos,,R$ 700.000,Bonfim Paulista,Ribeirão Preto,SP,840m²,SANTA MARIA TEM NEGÓCIOS IMOBILIÁRIOS,26/06/2023,https://sp.olx.com.br/regiao-de-ribeirao-preto/terrenos/terreno-terreno-em-condominio-fechado-lazer-salao-de-festa-salao-de-jogos-em-condom-1202748531,18/Jul/2023,00:14:10
