tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 1.060.000,Vila Industrial,Presidente Prudente,SP,1600m²,L4S,11/06/2023,https://sp.olx.com.br/regiao-de-presidente-prudente/terrenos/terreno-para-venda-em-vila-industrial-de-1600-00m-com-4-garagens-1196587002,26/Jun/2023,22:13:47
Terrenos,,R$ 447.750,Parque Residencial Mart Ville,Presidente Prudente,SP,450m²,ALEX IMOVEIS S/S LTDA,02/06/2023,https://sp.olx.com.br/regiao-de-presidente-prudente/terrenos/terreno-em-condominio-para-venda-em-presidente-prudente-condominio-mart-ville-1193385022,26/Jun/2023,22:13:57
Terrenos,,R$ 90.000,Centro,Presidente Prudente,SP,125m²,LEAL IMOVEIS LTDA - ME,11/06/2023,https://sp.olx.com.br/regiao-de-presidente-prudente/terrenos/terreno-para-venda-em-presidente-prudente-santa-fe-1196530822,26/Jun/2023,22:13:47
Terrenos,,R$ 300.000,Parque Residencial Mart Ville,Presidente Prudente,SP,300m²,ALEX IMOVEIS S/S LTDA,02/06/2023,https://sp.olx.com.br/regiao-de-presidente-prudente/terrenos/terreno-em-condominio-para-venda-em-presidente-prudente-condominio-mart-ville-1193438012,26/Jun/2023,22:14:00
Terrenos,,R$ 298.000,Parque Residencial Mart Ville,Presidente Prudente,SP,300m²,ALEX IMOVEIS S/S LTDA,02/06/2023,https://sp.olx.com.br/regiao-de-presidente-prudente/terrenos/terreno-em-condominio-para-venda-em-presidente-prudente-condominio-mart-ville-1193231541,26/Jun/2023,22:14:00
Terrenos,,R$ 298.500,Parque Residencial Mart Ville,Presidente Prudente,SP,300m²,ALEX IMOVEIS S/S LTDA,02/06/2023,https://sp.olx.com.br/regiao-de-presidente-prudente/terrenos/terreno-em-condominio-para-venda-em-presidente-prudente-condominio-mart-ville-1193231539,26/Jun/2023,22:14:00
Terrenos,,R$ 298.500,Parque Residencial Mart Ville,Presidente Prudente,SP,300m²,ALEX IMOVEIS S/S LTDA,02/06/2023,https://sp.olx.com.br/regiao-de-presidente-prudente/terrenos/terreno-em-condominio-para-venda-em-presidente-prudente-condominio-mart-ville-1193231534,26/Jun/2023,22:14:00
Terrenos,,R$ 541.611,Parque Residencial Mart Ville,Presidente Prudente,SP,515m²,ALEX IMOVEIS S/S LTDA,02/06/2023,https://sp.olx.com.br/regiao-de-presidente-prudente/terrenos/terreno-em-condominio-para-venda-em-presidente-prudente-condominio-mart-ville-1193231269,26/Jun/2023,22:14:00
Terrenos,,R$ 405.100,Parque Residencial Mart Ville,Presidente Prudente,SP,405m²,ALEX IMOVEIS S/S LTDA,02/06/2023,https://sp.olx.com.br/regiao-de-presidente-prudente/terrenos/terreno-em-condominio-para-venda-em-presidente-prudente-condominio-mart-ville-1193231132,26/Jun/2023,22:14:00
Terrenos,,R$ 30.000,Jardim Barcelona,Presidente Prudente,SP,271m²,Carlos,03/06/2023,https://sp.olx.com.br/regiao-de-presidente-prudente/terrenos/terreno-1193633754,26/Jun/2023,22:14:00
Terrenos,,R$ 298.500,Parque Residencial Mart Ville,Presidente Prudente,SP,300m²,ALEX IMOVEIS S/S LTDA,02/06/2023,https://sp.olx.com.br/regiao-de-presidente-prudente/terrenos/terreno-em-condominio-para-venda-em-presidente-prudente-condominio-mart-ville-1193360069,26/Jun/2023,22:14:00
Terrenos,,R$ 110.000,Residencial,Presidente Prudente,SP,200m²,Luis,11/06/2023,https://sp.olx.com.br/regiao-de-presidente-prudente/terrenos/terreno-residencial-moacyr-trentin-perto-da-toledo-1196732400,26/Jun/2023,22:14:00
Terrenos,,R$ 185.000,Jardim Ouro Verde,Presidente Prudente,SP,300m²,Alexandre Lucio Martins,08/06/2023,https://sp.olx.com.br/regiao-de-presidente-prudente/terrenos/terreno-para-venda-em-presidente-prudente-jardim-ouro-verde-1195511966,26/Jun/2023,22:14:00
Terrenos,,R$ 260.000,Vila do Estádio,Presidente Prudente,SP,392m²,LEAL IMOVEIS LTDA - ME,10/06/2023,https://sp.olx.com.br/regiao-de-presidente-prudente/terrenos/terreno-em-condominio-para-venda-em-presidente-prudente-condominio-residencial-valencia-l-1196200090,26/Jun/2023,22:14:00
Terrenos,,R$ 300.000,Parque Residencial Mart Ville,Presidente Prudente,SP,300m²,ALEX IMOVEIS S/S LTDA,09/06/2023,https://sp.olx.com.br/regiao-de-presidente-prudente/terrenos/terreno-em-condominio-para-venda-em-presidente-prudente-condominio-mart-ville-1196078996,26/Jun/2023,22:14:00
Terrenos,,R$ 220.000,Jardim Balneário,Presidente Prudente,SP,420m²,Alexandre Lucio Martins,08/06/2023,https://sp.olx.com.br/regiao-de-presidente-prudente/terrenos/terreno-para-venda-em-presidente-prudente-jardim-balneario-1195511967,26/Jun/2023,22:14:01
Terrenos,,R$ 160.000,Jardim Prudentino,Presidente Prudente,SP,412m²,L4S,10/06/2023,https://sp.olx.com.br/regiao-de-presidente-prudente/terrenos/terreno-para-venda-em-jardim-prudentino-de-412-04m-1196286149,26/Jun/2023,22:14:01
Terrenos,,R$ 117,Jardim Itapura,Presidente Prudente,SP,190m²,Alexandre,10/06/2023,https://sp.olx.com.br/regiao-de-presidente-prudente/terrenos/terreno-jardim-itacare-1196312550,26/Jun/2023,22:14:01
Terrenos,,R$ 800.000,Parque Residencial Damha II,Presidente Prudente,SP,693m²,IMOBILIARIA SISTEMA,11/03/2023,https://sp.olx.com.br/regiao-de-presidente-prudente/terrenos/terreno-no-bairro-parque-residencial-damha-ii-em-presidente-prudente-1064617014,26/Jun/2023,22:14:01
Terrenos,,R$ 428.000,Parque Residencial Damha IV,Presidente Prudente,SP,428m²,Magda T.,07/06/2023,https://sp.olx.com.br/regiao-de-presidente-prudente/terrenos/terreno-condominio-damha-iv-presidente-prudente-428-43m2-qn-lote-15-1183960553,26/Jun/2023,22:14:01
Terrenos,,R$ 365.000,Jardim Alto da Boa Vista,Presidente Prudente,SP,421m²,IMOBILIARIA SISTEMA,11/03/2023,https://sp.olx.com.br/regiao-de-presidente-prudente/terrenos/terreno-no-condominio-damha-belvedere-em-presidente-prudente-1076330651,26/Jun/2023,22:14:01
Terrenos,,R$ 220.000,Parque Residencial Carandá,Presidente Prudente,SP,360m²,Alexandre Lucio Martins,07/06/2023,https://sp.olx.com.br/regiao-de-presidente-prudente/terrenos/terreno-para-venda-em-presidente-prudente-parque-residencial-caranda-1195359139,26/Jun/2023,22:14:01
Terrenos,,R$ 9.280,Centro,Presidente Prudente,SP,180m²,LEAL IMOVEIS LTDA - ME,10/03/2023,https://sp.olx.com.br/regiao-de-presidente-prudente/terrenos/terreno-para-venda-em-presidente-prudente-residencial-bongiovani-1157345761,26/Jun/2023,22:14:01
Terrenos,,R$ 345.000,Residencial Damha Belvedere,Presidente Prudente,SP,420m²,Sandra F. Mendes,10/03/2023,https://sp.olx.com.br/regiao-de-presidente-prudente/terrenos/cond-damha-belvedere-terreno-a-venda-tem-420-m2-bem-localizado-1157398310,26/Jun/2023,22:14:01
Terrenos,,R$ 58.000,Centro,Presidente Prudente,SP,160m²,L4S,07/06/2023,https://sp.olx.com.br/regiao-de-presidente-prudente/terrenos/terreno-para-venda-em-centro-de-160-00m-1195106723,26/Jun/2023,22:14:01
