tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 180.000,Bonfim Paulista,Ribeirão Preto,SP,200m²,SANTA MARIA TEM NEGÓCIOS IMOBILIÁRIOS,30/04/2023,https://sp.olx.com.br/regiao-de-ribeirao-preto/terrenos/terreno-terreno-normal-1179255471,01/May/2023,20:32:42
Terrenos,,R$ 200.000,Jardim Salgado Filho,Ribeirão Preto,SP,623m²,SANTA MARIA TEM NEGÓCIOS IMOBILIÁRIOS,30/04/2023,https://sp.olx.com.br/regiao-de-ribeirao-preto/terrenos/terreno-terreno-normal-1179255420,01/May/2023,20:32:42
Terrenos,,R$ 642.000,Bonfim Paulista,Ribeirão Preto,SP,942m²,SANTA MARIA TEM NEGÓCIOS IMOBILIÁRIOS,30/04/2023,https://sp.olx.com.br/regiao-de-ribeirao-preto/terrenos/terreno-terreno-em-condominio-fechado-em-condominio-fechado-1179255245,01/May/2023,20:32:42
Terrenos,,R$ 410.000,Recreio das Acácias,Ribeirão Preto,SP,290m²,SANTA MARIA TEM NEGÓCIOS IMOBILIÁRIOS,30/04/2023,https://sp.olx.com.br/regiao-de-ribeirao-preto/terrenos/terreno-terreno-normal-1179255300,01/May/2023,20:32:42
Terrenos,,R$ 650.000,Bonfim Paulista,Ribeirão Preto,SP,507m²,SANTA MARIA TEM NEGÓCIOS IMOBILIÁRIOS,30/04/2023,https://sp.olx.com.br/regiao-de-ribeirao-preto/terrenos/terreno-terreno-em-condominio-fechado-portaria-24hs-lazer-espaco-gourmet-salao-de-f-1179255219,01/May/2023,20:32:42
Terrenos,,R$ 468.000,Vila do Golf,Ribeirão Preto,SP,336m²,SANTA MARIA TEM NEGÓCIOS IMOBILIÁRIOS,30/04/2023,https://sp.olx.com.br/regiao-de-ribeirao-preto/terrenos/terreno-terreno-em-condominio-fechado-portaria-24-horas-lazer-espaco-gourmet-salao-1179255227,01/May/2023,20:32:42
Terrenos,,R$ 11.930.000,Quinta da Primavera,Ribeirão Preto,SP,4096m²,SANTA MARIA TEM NEGÓCIOS IMOBILIÁRIOS,30/04/2023,https://sp.olx.com.br/regiao-de-ribeirao-preto/terrenos/terreno-outros-1179277272,01/May/2023,20:32:50
Terrenos,,R$ 500.000,Jardim Cybelli,Ribeirão Preto,SP,472m²,MARTINELLI IMOBILIARIA E CONSULTORIA LTDA,14/04/2023,https://sp.olx.com.br/regiao-de-ribeirao-preto/terrenos/ribeirao-preto-loteamento-condominio-cond-villa-romana-ii-1172670598,01/May/2023,20:32:50
Terrenos,,R$ 309.000,Bonfim Paulista,Ribeirão Preto,SP,387m²,MUNDIAL IMOVEIS LTDA - EPP,30/04/2023,https://sp.olx.com.br/regiao-de-ribeirao-preto/terrenos/terreno-terreno-em-condominio-fechado-portaria-24hs-salao-de-festa-em-condominio-fec-1179235953,01/May/2023,20:32:50
Terrenos,,R$ 3.500,Jardim Califórnia,Ribeirão Preto,SP,270m²,MUNDIAL IMOVEIS LTDA - EPP,30/04/2023,https://sp.olx.com.br/regiao-de-ribeirao-preto/terrenos/terreno-terreno-normal-1179236068,01/May/2023,20:32:50
