tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 90.000,,Águas de Lindóia,SP,700m²,Petrucci Gestão Imobiliária,30/10/2022,https://sp.olx.com.br/grande-campinas/terrenos/terreno-jardim-do-salto-2-aguas-de-lindoia-1103606295,23/Mar/2023,16:38:58
Terrenos,,R$ 25.000.000,,Águas de Lindóia,SP,2000000m²,Petrucci Gestão Imobiliária,24/12/2022,https://sp.olx.com.br/grande-campinas/terrenos/area-mato-dentro-aguas-de-lindoia-999738277,23/Mar/2023,16:38:58
Terrenos,,R$ 12.000.000,,Águas de Lindóia,SP,12000m²,DUARTE CONSULTORIA IMOBILIÁRIA,01/01/2023,https://sp.olx.com.br/grande-campinas/terrenos/aguas-de-lindoia-terreno-padrao-regiao-central-1046121981,23/Mar/2023,16:38:58
Terrenos,,R$ 16.000.000,,Águas de Lindóia,SP,16000m²,DD PRIME IMÓVEIS,21/12/2022,https://sp.olx.com.br/grande-campinas/terrenos/terreno-comercial-a-venda-centro-aguas-de-lindoia-1049629576,23/Mar/2023,16:38:58
Terrenos,,R$ 360.000,,Águas de Lindóia,SP,2400m²,Petrucci Gestão Imobiliária,30/10/2022,https://sp.olx.com.br/grande-campinas/terrenos/terreno-jardim-do-salto-2-aguas-de-lindoia-1103511895,23/Mar/2023,16:38:58
Terrenos,,R$ 13.000.000,,Águas de Lindóia,SP,65000m²,DUARTE CONSULTORIA IMOBILIÁRIA,08/01/2023,https://sp.olx.com.br/grande-campinas/terrenos/aguas-de-lindoia-terreno-padrao-fazendo-do-morro-pelado-1049146136,23/Mar/2023,16:38:58
Terrenos,,R$ 3.700.000,,Águas de Lindóia,SP,54000m²,Rede Provectum - Nova Europa,15/07/2022,https://sp.olx.com.br/grande-campinas/terrenos/area-jaboticabal-aguas-de-lindoia-1058521812,23/Mar/2023,16:38:58
Terrenos,,R$ 90.000,,Águas de Lindóia,SP,700m²,Petrucci Gestão Imobiliária,30/10/2022,https://sp.olx.com.br/grande-campinas/terrenos/terreno-jardim-do-salto-2-aguas-de-lindoia-1103513733,23/Mar/2023,16:38:58
Terrenos,,R$ 360.000,,Águas de Lindóia,SP,2400m²,CLAUDIA MIRANDA ALCANTARA RIBEIRO,30/10/2022,https://sp.olx.com.br/grande-campinas/terrenos/terreno-jardim-do-salto-2-aguas-de-lindoia-1103511450,23/Mar/2023,16:38:58
Terrenos,,R$ 25.000.000,,Águas de Lindóia,SP,2000000m²,CLAUDIA MIRANDA ALCANTARA RIBEIRO,17/09/2022,https://sp.olx.com.br/grande-campinas/terrenos/area-mato-dentro-aguas-de-lindoia-1085394278,23/Mar/2023,16:38:58
Terrenos,,R$ 180.000,,Águas de Lindóia,SP,,MÁRIO IMÓVEIS,22/03/2023,https://sp.olx.com.br/grande-campinas/terrenos/terreno-centro-1028265926,23/Mar/2023,16:38:58
Terrenos,,R$ 360.000,,Águas de Lindóia,SP,2400m²,Petrucci Gestão Imobiliária,30/10/2022,https://sp.olx.com.br/grande-campinas/terrenos/terreno-jardim-do-salto-2-aguas-de-lindoia-1103605513,23/Mar/2023,16:38:58
Terrenos,,R$ 250.000,,Águas de Lindóia,SP,250m²,V R Oliveira Corretor de Imóveis,17/01/2023,https://sp.olx.com.br/grande-campinas/terrenos/terreno-a-venda-250-m-por-r-250-000-00-maria-andrade-residence-aguas-de-lindoia-sp-1086981757,23/Mar/2023,16:38:58
Terrenos,,R$ 100.000,,Águas de Lindóia,SP,446m²,Francis Tieko Cabral,21/03/2023,https://sp.olx.com.br/grande-campinas/terrenos/vendo-lote-no-parque-das-fontes-aguas-de-lindoia-sp-995519147,23/Mar/2023,16:38:58
Terrenos,,R$ 297.000,,Águas de Lindóia,SP,,MÁRIO IMÓVEIS,21/03/2023,https://sp.olx.com.br/grande-campinas/terrenos/condominio-alto-padrao-1029424732,23/Mar/2023,16:38:58
Terrenos,,R$ 90.000,,Águas de Lindóia,SP,700m²,CLAUDIA MIRANDA ALCANTARA RIBEIRO,30/10/2022,https://sp.olx.com.br/grande-campinas/terrenos/terreno-jardim-do-salto-2-aguas-de-lindoia-1103511353,23/Mar/2023,16:38:58
Terrenos,,R$ 130.000,,Águas de Lindóia,SP,,MÁRIO IMÓVEIS,21/03/2023,https://sp.olx.com.br/grande-campinas/terrenos/loteamento-grand-ville-1029429377,23/Mar/2023,16:38:58
Terrenos,,R$ 220.000,,Águas de Lindóia,SP,300m²,Francis Tieko Cabral,21/03/2023,https://sp.olx.com.br/grande-campinas/terrenos/vendo-excelente-terreno-condominio-maria-andrade-aguas-de-lindoia-sp-1148078917,23/Mar/2023,16:38:58
Terrenos,,R$ 98.000,,Águas de Lindóia,SP,422m²,Francis Tieko Cabral,22/03/2023,https://sp.olx.com.br/grande-campinas/terrenos/vendo-lote-de-terreno-parque-das-fontes-com-vista-espetacular-996063234,23/Mar/2023,16:38:58
Terrenos,,R$ 280.000,,Águas de Lindóia,SP,,Prole Imóveis,20/03/2023,https://sp.olx.com.br/grande-campinas/terrenos/lote-terreno-em-pimenteis--aguas-de-lindoia-1151137357,23/Mar/2023,16:38:58
Terrenos,,R$ 115.000,,Águas de Lindóia,SP,,MÁRIO IMÓVEIS,20/03/2023,https://sp.olx.com.br/grande-campinas/terrenos/loteamento-vale-dos-ipes-1029421985,23/Mar/2023,16:38:58
Terrenos,,R$ 150.000,,Águas de Lindóia,SP,,MÁRIO IMÓVEIS,19/03/2023,https://sp.olx.com.br/grande-campinas/terrenos/terreno-fundo-pra-mata-1028267335,23/Mar/2023,16:38:58
