tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 150.000,,Águas de Santa Bárbara,SP,600m²,COMPACTO IMOBILIÁRIA LTDA,17/11/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/terreno-padrao-em-aguas-de-santa-barbara-931980139,23/Mar/2023,11:33:20
Terrenos,,R$ 65.000,,Águas de Santa Bárbara,SP,910m²,Andreia Rizzi,22/03/2023,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/terreno-a-venda-910-m-santa-barbara-resort-residence-aguas-de-santa-barbara-sp-1159990031,23/Mar/2023,11:33:20
Terrenos,,R$ 220.000,,Águas de Santa Bárbara,SP,1125m²,Casari Imovéis,05/08/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/terreno-residencial-a-venda-centro-aguas-de-santa-barbara-te3852-1048556838,23/Mar/2023,11:33:20
Terrenos,,R$ 2.300.000,,Águas de Santa Bárbara,SP,71995m²,PALAZZO IMOVEIS EMPREENDIMENTOS IMOBILIARIOS EIRELI,23/03/2023,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/area-71-995m2-junto-thermas-aguas-de-santa-barbara-rodovia-castelo-branco-1103168179,23/Mar/2023,11:33:20
Terrenos,,R$ 74.470,,Águas de Santa Bárbara,SP,432m²,GOMES SANJIORATO IMOVEIS LTDA,17/11/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/terreno-residencial-em-aguas-de-santa-barbara-sp-thermas-de-santa-barbara-1004516141,23/Mar/2023,11:33:20
Terrenos,,R$ 114.990,,Águas de Santa Bárbara,SP,430m²,PILARES ASSESSORIA IMOBILIARIA LTDA,02/09/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/terreno-de-430m2-para-venda-no-condominio-aguas-de-santa-barbara-1079297916,23/Mar/2023,11:33:20
Terrenos,,R$ 85.000,,Águas de Santa Bárbara,SP,450m²,LOPES ONE 4,25/10/2021,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/lote-resort-santa-barbara-resort-residence-vendo-terreno-948551417,23/Mar/2023,11:33:20
Terrenos,,R$ 179.000,,Águas de Santa Bárbara,SP,600m²,LOCABENS NEGOCIOS IMOBILIARIOS LTDA - EPP,23/03/2023,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/terreno-padrao-em-aguas-de-santa-barbara-1162944098,23/Mar/2023,11:33:20
Terrenos,,R$ 170.000,,Águas de Santa Bárbara,SP,490m²,SEVEN7 Imóveis,22/03/2023,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/terreno-no-santa-barbara-residence-resort-1029713914,23/Mar/2023,11:33:20
Terrenos,,R$ 30.000,,Águas de Santa Bárbara,SP,450m²,lucianaschnvendler,05/03/2023,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/vendo-lotes-no-resort-residence-aguas-de-santa-barbara-sp-1155034238,23/Mar/2023,11:33:20
Terrenos,,R$ 80.000,,Águas de Santa Bárbara,SP,450m²,CORADINI IMÓVEIS,26/10/2022,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/terreno-a-venda-450-m-por-r-80-000-00-thermas-de-santa-barbara-aguas-de-santa-barba-1049099328,23/Mar/2023,11:33:20
