tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Venda - apartamento padrão,3,R$ 1.350.000,Alto da Boa Vista,São Paulo,SP,120m²,Marcelo S. Brito,25/02/2023,https://sp.olx.com.br/sao-paulo-e-regiao/imoveis/apartamento-para-venda-possui-120-metros-quadrados-com-3-quartos-1151572389,24/Mar/2023,00:38:33
Venda - casa em rua pública,5 ou mais,R$ 4.600.000,Alto da Boa Vista,São Paulo,SP,815m²,IQ IMÓVEIS,22/02/2023,https://sp.olx.com.br/sao-paulo-e-regiao/imoveis/maravilhosa-casa-no-alto-da-boa-vista-815m-construcao-1-150m-terreno-1150338715,24/Mar/2023,00:38:33
Venda - casa em rua pública,4,R$ 3.180.000,Alto da Boa Vista,São Paulo,SP,363m²,C. LORCA IMOVEIS,05/03/2023,https://sp.olx.com.br/sao-paulo-e-regiao/imoveis/casa-com-4-dormitorios-a-venda-363-m-por-r-3-180-000-00-alto-da-boa-vista-sao-paulo-1007364694,24/Mar/2023,00:38:33
Venda - apartamento padrão,2,R$ 1.750.000,Alto da Boa Vista,São Paulo,SP,143m²,Moscou Imóveis,05/02/2023,https://sp.olx.com.br/sao-paulo-e-regiao/imoveis/sao-paulo-apartamento-padrao-chacara-santo-antonio-1094917540,24/Mar/2023,00:38:33
Venda - casa em rua pública,4,R$ 2.150.000,Alto da Boa Vista,São Paulo,SP,433m²,CFR Imóveis,25/02/2023,https://sp.olx.com.br/sao-paulo-e-regiao/imoveis/sobrado-a-venda-433-m-por-r-2-150-000-00-alto-da-boa-vista-sao-paulo-sp-1048553757,24/Mar/2023,00:38:33
Venda - casa em rua pública,2,R$ 668.000,Alto da Boa Vista,São Paulo,SP,135m²,Marcos Stewers Oliveira,19/01/2023,https://sp.olx.com.br/sao-paulo-e-regiao/imoveis/casa-para-uso-comercial-ou-residencial-alto-da-boa-vista-1003662330,24/Mar/2023,00:38:33
Venda - casa em condominio fechado,4,R$ 5.350.000,Alto da Boa Vista,São Paulo,SP,443m²,PLUS IMÓVEIS,05/03/2023,https://sp.olx.com.br/sao-paulo-e-regiao/imoveis/casa-em-condominio-com-lazer-alto-da-boa-vista-1085699576,24/Mar/2023,00:38:33
Venda - casa em rua pública,4,R$ 2.200.000,Alto da Boa Vista,São Paulo,SP,335m²,Broker House,18/02/2023,https://sp.olx.com.br/sao-paulo-e-regiao/imoveis/casa-padrao-a-venda-em-sao-paulo-sp-1001773423,24/Mar/2023,00:38:33
Venda - casa em rua pública,4,R$ 2.200.000,Alto da Boa Vista,São Paulo,SP,336m²,RAUL IMÓVEIS.,23/01/2023,https://sp.olx.com.br/sao-paulo-e-regiao/imoveis/venda-sobrado-com-04-dorm-chacara-santo-antonio-sao-paulo-sp-1004730612,24/Mar/2023,00:38:33
Venda - casa em condominio fechado,4,R$ 5.550.000,Alto da Boa Vista,São Paulo,SP,443m²,BDI - CENTRAL DE DADOS LTDA,22/03/2023,https://sp.olx.com.br/sao-paulo-e-regiao/imoveis/casa-em-condominio-alto-da-boa-vista-sp-1162725526,24/Mar/2023,00:38:33
