tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 315.000,Centro (Arcadas),Amparo,SP,1004m²,Zeloimóveis,27/08/2022,https://sp.olx.com.br/grande-campinas/terrenos/terreno-centro-arcadas-amparo-1076593918,23/Mar/2023,16:22:33
Terrenos,,R$ 22.217.547,Centro (Arcadas),Amparo,SP,38109m²,FL BROKERS,12/08/2022,https://sp.olx.com.br/grande-campinas/terrenos/terreno-a-venda-38109-m-por-r-22-217-547-08-conjunto-habitacional-alberto-marques-a-1070178549,23/Mar/2023,16:22:33
Terrenos,,R$ 3.135.374,Centro (Arcadas),Amparo,SP,5378m²,FL BROKERS,12/08/2022,https://sp.olx.com.br/grande-campinas/terrenos/terreno-a-venda-5378-m-por-r-3-135-374-08-conjunto-habitacional-alberto-marques-amp-1070179122,23/Mar/2023,16:22:33
Terrenos,,R$ 2.983.794,Centro (Arcadas),Amparo,SP,5118m²,FL BROKERS,12/08/2022,https://sp.olx.com.br/grande-campinas/terrenos/terreno-a-venda-5118-m-por-r-2-983-794-08-conjunto-habitacional-alberto-marques-amp-1070178838,23/Mar/2023,16:22:33
Terrenos,,R$ 315.000,Centro (Arcadas),Amparo,SP,1004m²,Dut Prime Imóveis,12/07/2022,https://sp.olx.com.br/grande-campinas/terrenos/terreno-clube-fazenda-arcadas-amparo-960693287,23/Mar/2023,16:22:33
Terrenos,,R$ 3.200.000,Chácara das Águas (Três Pontes),Amparo,SP,35000m²,I3 NEGOCIOS IMOBILIARIOS LTDA,20/08/2022,https://sp.olx.com.br/grande-campinas/terrenos/area-a-venda-35000-m-por-r-3-200-000-00-chacara-das-aguas-tres-pontes-amparo-sp-1073576388,23/Mar/2023,16:22:33
Terrenos,,R$ 315.000,Silvestre,Amparo,SP,1004m²,Petrucci Gestão Imobiliária,28/08/2022,https://sp.olx.com.br/grande-campinas/terrenos/terreno-silvestre-amparo-1076973893,23/Mar/2023,16:22:33
Terrenos,,R$ 315.000,Centro (Arcadas),Amparo,SP,1004m²,Davanti Negócios Imobiliários,20/07/2022,https://sp.olx.com.br/grande-campinas/terrenos/terreno-centro-arcadas-amparo-1060777238,23/Mar/2023,16:22:33
Terrenos,,R$ 212.800,Silvestre,Amparo,SP,1004m²,Petrucci Gestão Imobiliária,26/04/2022,https://sp.olx.com.br/grande-campinas/terrenos/terreno-silvestre-amparo-999728916,23/Mar/2023,16:22:33
Terrenos,,R$ 3.148.783,Centro (Arcadas),Amparo,SP,5401m²,FL BROKERS,12/08/2022,https://sp.olx.com.br/grande-campinas/terrenos/terreno-a-venda-5401-m-por-r-3-148-783-08-conjunto-habitacional-alberto-marques-amp-1070178695,23/Mar/2023,16:22:33
Terrenos,,R$ 2.673.055,Centro (Arcadas),Amparo,SP,4585m²,FL BROKERS,12/08/2022,https://sp.olx.com.br/grande-campinas/terrenos/terreno-a-venda-4585-m-por-r-2-673-055-08-conjunto-habitacional-alberto-marques-amp-1070178702,23/Mar/2023,16:22:33
Terrenos,,R$ 61.213.400,Centro (Três Pontes),Amparo,SP,736402m²,Pena Empreendimento,05/08/2022,https://sp.olx.com.br/grande-campinas/terrenos/area-para-venda-em-amparo-centro-tres-pontes-1067527609,23/Mar/2023,16:22:33
Terrenos,,R$ 3.500.000,Jardim Seabra,Amparo,SP,224200m²,D. LANGE IMÓVEIS,23/07/2022,https://sp.olx.com.br/grande-campinas/terrenos/area-a-venda-224200-m-por-r-3-500-000-00-jardim-seabra-amparo-sp-1061784756,23/Mar/2023,16:22:33
Terrenos,,R$ 2.899.000,Jardim Seabra,Amparo,SP,224000m²,A Granja Viana Imóveis,07/05/2022,https://sp.olx.com.br/grande-campinas/terrenos/area-rural-a-venda-jardim-seabra-amparo-1029735595,23/Mar/2023,16:22:33
Terrenos,,R$ 160.000,Centro (Arcadas),Amparo,SP,2093m²,AF JUNIOR IMÓVEIS,23/03/2023,https://sp.olx.com.br/grande-campinas/terrenos/terreno-residencial-em-amparo-sp-centro-arcadas-1116826177,23/Mar/2023,16:22:33
Terrenos,,R$ 270.000,Silvestre,Amparo,SP,1000m²,Petrucci Gestão Imobiliária,09/05/2022,https://sp.olx.com.br/grande-campinas/terrenos/terreno-silvestre-amparo-999729037,23/Mar/2023,16:22:33
Terrenos,,R$ 180.000,Jardim Silvestre I,Amparo,SP,162m²,VHD Casanova,22/03/2023,https://sp.olx.com.br/grande-campinas/terrenos/lote-a-venda-jardim-silvestre-i-amparo-sp-1136763454,23/Mar/2023,16:22:33
Terrenos,,R$ 315.000,Silvestre,Amparo,SP,1004m²,Petrucci Gestão Imobiliária,28/08/2022,https://sp.olx.com.br/grande-campinas/terrenos/terreno-silvestre-amparo-1076988680,23/Mar/2023,16:22:33
Terrenos,,R$ 320.000,Jardim Vista Alegre (Arcadas),Amparo,SP,1000m²,Lotus Imobiliária,22/03/2023,https://sp.olx.com.br/grande-campinas/terrenos/terreno-a-venda-10000-m-centro-arcadas-amparo-sp-1102807226,23/Mar/2023,16:22:33
Terrenos,,R$ 300.000,Jardim Silvestre IV,Amparo,SP,347m²,VHD Casanova,19/03/2023,https://sp.olx.com.br/grande-campinas/terrenos/lote-a-venda-jardim-silvestre-iv-amparo-sp-1110648417,23/Mar/2023,16:22:33
Terrenos,,R$ 452.000,Residencial Santa Maria do Amparo,Amparo,SP,628m²,CASA+ IMÓVEIS,19/03/2023,https://sp.olx.com.br/grande-campinas/terrenos/terreno-a-venda-627-m-por-r-452-000-00-residencial-santa-maria-amparo-amparo-sp-1107134999,23/Mar/2023,16:22:33
Terrenos,,null,Centro,Amparo,SP,,daniela,07/03/2023,https://sp.olx.com.br/grande-campinas/terrenos/terreno-sakaida-1155750805,23/Mar/2023,16:22:33
Terrenos,,R$ 3.028.685,Centro (Arcadas),Amparo,SP,5195m²,FL BROKERS,12/08/2022,https://sp.olx.com.br/grande-campinas/terrenos/terreno-a-venda-5195-m-por-r-3-028-685-08-conjunto-habitacional-alberto-marques-amp-1070195120,23/Mar/2023,16:22:33
Terrenos,,R$ 3.500.000,Jardim Seabra,Amparo,SP,224200m²,CONSULTORIA IMOBILIÁRIA CASULO & BS LTDA,07/03/2023,https://sp.olx.com.br/grande-campinas/terrenos/area-venda-jardim-seabra-cod-325-1096231541,23/Mar/2023,16:22:33
Terrenos,,R$ 315.000,Centro (Arcadas),Amparo,SP,1004m²,Ritt Negócios Imobiliários,27/02/2023,https://sp.olx.com.br/grande-campinas/terrenos/terreno-centro-arcadas-amparo-1078823904,23/Mar/2023,16:22:33
Terrenos,,R$ 3.500.000,Jardim Seabra,Amparo,SP,1600m²,Imobiliária Casa Verde,20/03/2023,https://sp.olx.com.br/grande-campinas/terrenos/amparo-rural-jardim-seabra-995441032,23/Mar/2023,16:22:33
Terrenos,,R$ 250.000,Centro (Arcadas),Amparo,SP,1000m²,SIGNUS ADMINISTRACAO IMOBILIARIA,23/02/2023,https://sp.olx.com.br/grande-campinas/terrenos/terreno-a-venda-em-amparo-1007231832,23/Mar/2023,16:22:33
Terrenos,,R$ 240.000,Centro (Arcadas),Amparo,SP,1004m²,RC Campidelli Corretora de Imóveis,20/02/2023,https://sp.olx.com.br/grande-campinas/terrenos/terreno-a-venda-1004-m-em-condominio-fechado-amparo-sp-1007868035,23/Mar/2023,16:22:33
Terrenos,,R$ 315.000,Silvestre,Amparo,SP,1004m²,Petrucci Gestão Imobiliária,22/02/2023,https://sp.olx.com.br/grande-campinas/terrenos/terreno-silvestre-amparo-1007668706,23/Mar/2023,16:22:33
Terrenos,,R$ 245.000,Jardim Silmara,Amparo,SP,360m²,CORADINI IMÓVEIS,19/02/2023,https://sp.olx.com.br/grande-campinas/terrenos/terreno-a-venda-360-m-por-r-245-000-jardim-silmara-amparo-sp-1049097806,23/Mar/2023,16:22:33
Terrenos,,R$ 90.000,,Amparo,SP,,said elias jorge domene jorge,21/03/2023,https://sp.olx.com.br/grande-campinas/terrenos/parque-das-nacoes-amparo-1121644891,23/Mar/2023,16:22:33
Terrenos,,R$ 11.000.000,Jardim Santa Helena,Amparo,SP,2913400m²,VALENTINA CARAN IMOVEIS LTDA,23/02/2023,https://sp.olx.com.br/grande-campinas/terrenos/area-comercial-a-venda-jardim-santa-helena-amparo-ar0015-1048456377,23/Mar/2023,16:22:33
Terrenos,,R$ 600.000,Silvestre,Amparo,SP,32000m²,Lopes Real,18/02/2023,https://sp.olx.com.br/grande-campinas/terrenos/terreno-silvestre-amparo-957538146,23/Mar/2023,16:22:33
Terrenos,,R$ 3.500.000,Jardim Seabra,Amparo,SP,,GUIMARAES SOUSA CONSULTORIA LTDA - ME,22/03/2023,https://sp.olx.com.br/grande-campinas/terrenos/sitio-area-rural-jardim-seabra-amparo-sp-1037100109,23/Mar/2023,16:22:33
Terrenos,,R$ 205.000,,Amparo,SP,250m²,Caires Imóveis,19/02/2023,https://sp.olx.com.br/grande-campinas/terrenos/terreno-a-venda-250-m-por-r-205-000-00-chacaras-miracatu-monte-mor-sp-1013796512,23/Mar/2023,16:22:33
Terrenos,,R$ 450.000,Jardim Itália,Amparo,SP,474m²,Imobiliaria Jazz,05/12/2022,https://sp.olx.com.br/grande-campinas/terrenos/terreno-com-474-m-em-excelente-localizacao-na-cidade-de-amparo-1101823770,23/Mar/2023,16:22:33
Terrenos,,R$ 317.001,Centro (Arcadas),Amparo,SP,1033m²,PRIME HOME IMÓVEIS,01/11/2022,https://sp.olx.com.br/grande-campinas/terrenos/terreno-clube-fazenda-arcadas-amparo-1104479858,23/Mar/2023,16:22:33
Terrenos,,R$ 150.001,Jardim Europa,Amparo,SP,200m²,SAR,13/02/2023,https://sp.olx.com.br/grande-campinas/terrenos/terreno-200metros-quadrado-1146794803,23/Mar/2023,16:22:34
